contract_id,input_or_artifact,may_s3_consume,allowed_use_in_s3,forbidden_use_in_s3,thesis_usability_status,required_guard,current_status,action_before_s3,notes
S211_CONTRACT_001,topology,yes_with_guard,Use frozen C0 and C1 topology as the structural base for S3.0,Do not add or remove routes units arcs or sinks silently,false,Topology must remain read only unless a new S2 gate reopens it,frozen_dev_only,Read the S2 freeze contract before any S3 model edit,Topology is the canonical structural surface
S211_CONTRACT_002,process_activity_variables,yes_with_guard,Reuse existing material-flow activity structure and naming,Do not reinterpret them as energy market or bidding decisions,false,Keep process activities material-flow only in S3.0,frozen_dev_only,Preserve current variable semantics,Existing activity semantics are non-market and non-thesis
S211_CONTRACT_003,carrier_balances,yes_with_guard,Build energy cost and emissions layers on top of frozen metallic balance structure,Do not alter metallic balance identities without a governed review,false,Keep metallic balances as frozen physical scaffolding,frozen_dev_only,Reference the S2 builder contract before adding overlays,Balances are allowed only as frozen physical scaffolding
S211_CONTRACT_004,process_bounds,yes_with_guard,Read current dev-only bounds as provisional S3.0 inputs,Do not silently recalibrate or promote them to thesis truth,false,Bounds remain dev-only placeholders and must stay traceable,frozen_dev_only,Record any future bound change as a new governed review,No silent bound drift is allowed
S211_CONTRACT_005,conversion_coefficients,yes_with_guard,Read current dev-only coefficients as provisional S3.0 inputs,Do not silently change recipes yields or reciprocal flow factors,false,Coefficients remain dev-only placeholders and must stay traceable,frozen_dev_only,Record any future coefficient change as a new governed review,No silent coefficient drift is allowed
S211_CONTRACT_006,production_targets,yes_with_guard,Use smoke targets only as dev-only diagnostic targets,Do not reinterpret feasible_smoke feasible_smoke_168h or stress targets as public annual validation truth,false,Targets remain route-neutral smoke constructs and must stay non-thesis,frozen_dev_only,Keep explicit target_variant labels in any S3 run contract,Production targets are diagnostic not validation truth
S211_CONTRACT_007,active_stores,yes_with_guard,Reuse only the three first-buffer stores already activated in S2,Do not activate new stores or reinterpret them as strategic flexibility,false,Store scope remains limited to c0_hot_metal_buffer c1_hot_metal_buffer and c1_dri_hdri_buffer,frozen_dev_only,Keep blocked stores blocked unless a new S2 gate reopens them,Only first-buffer stores may carry into S3.0
S211_CONTRACT_008,blocked_stores,reference_only,Use blocked-store rows as refusal guidance and scope boundary,Do not activate cold slab hot slab liquid steel side or excluded bulk stocks,false,Blocked stores remain blocked until a governed reopening,blocked_scope,Carry blocked-store refusals forward into S3 design notes,Blocked stores are part of the contract not optional context
S211_CONTRACT_009,CYC50_policy,yes_with_guard,Reuse CYC50 only as endpoint-neutrality policy for active first buffers,Do not reinterpret CYC50 as capacity evidence or as proof of economic value,false,CYC50 stays an endpoint policy only,frozen_dev_only,Preserve current endpoint semantics in S3.0,CYC50 is policy not evidence
S211_CONTRACT_010,one_week_smoke_results,reference_only,Use weekly smoke results as diagnostic evidence for scope gating,Do not treat them as thesis validation or production truth,false,Weekly smoke remains diagnostic and non-thesis,diagnostic_only,Keep weekly results labelled as dev-only in any S3 note,Weekly smoke is not a validation target
S211_CONTRACT_011,S2_run_folders,reference_only,Read run folders only for diagnostics and traceability,Do not treat run folders as canonical source artifacts or approved data,false,Run folders remain generated outputs and should not be committed,generated_output_only,Reference canonical CSV and doc artifacts first,Run folders are diagnostic lineage only
S211_CONTRACT_012,validation_targets,no,Do not use validation targets as executable constraints in S3.0,Do not drive S3 constraints from validation targets,false,Validation targets stay separate from executable builder inputs,blocked_scope,Preserve validation-only status,Validation targets remain non-executable
S211_CONTRACT_013,approved_input_shells,reference_only,Use approved-input shells only as zero-row governance evidence,Do not populate or consume them as non-empty S3 inputs,false,Approved tables must remain zero-row until formal approval,zero_row_shells,Keep zero-row validation in place,Approved shells prove absence of approved data
S211_CONTRACT_014,provisional_dev_inputs,yes_with_guard,Consume provisional dev inputs only as dev-only non-thesis surfaces for S3.0 overlays,Do not claim thesis usability or approval from their existence,false,All provisional dev inputs stay traceable and non-thesis,frozen_dev_only,Retain reviewer_decision_required and codex_may_decide flags,Provisional dev inputs are the only executable numeric surface today
