carrier_id,carrier_name,carrier_class,material_or_energy,s2_in_scope,external_supply_flag,internal_carrier_flag,structural_status,numerical_status,executable_status,thesis_usability,approval_status,source_ids,notes
coal_or_coke_input_boundary,Coal or coke input boundary,raw_material_boundary,material,true,true,false,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F16,External carbonaceous feed boundary carrier.
iron_ore_or_pellet_input_boundary,Iron ore or pellet input boundary,raw_material_boundary,material,true,true,false,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F17,External iron-bearing feed boundary carrier.
scrap_input_boundary,Scrap input boundary,raw_material_boundary,material,true,true,false,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F09,External scrap supply boundary carrier.
flux_input_boundary,Flux input boundary,raw_material_boundary,material,true,true,false,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03,External flux supply boundary carrier.
coke,Coke,intermediate_reductant,material,true,false,true,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F16,Internal reductant carrier used between coke boundary treatment and blast-furnace treatment.
sinter_or_pellet_feed,Sinter or pellet feed,prepared_burden,material,true,false,true,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F17,Prepared burden carrier for ironmaking treatment.
hot_metal,Hot metal,intermediate_metal,material,true,false,true,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F03,Intermediate metallic carrier from blast furnace to converter treatment.
crude_steel_or_liquid_steel,Crude steel or liquid steel,intermediate_metal,material,true,false,true,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F09;F13,Intermediate metallic carrier from steelmaking units into casting treatment.
DRI_or_HDRI,DRI or HDRI,intermediate_metal,material,true,false,true,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F04;F05;F06;F07,Intermediate metallic carrier for direct-reduction output and EAF charging.
slab_or_WIP,Slab or WIP,semi_finished_metal,material,true,false,true,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F13;F14;F15,Semifinished metallic carrier for slab or downstream WIP treatment.
hot_rolled_or_final_metallic_sink,Hot-rolled or final metallic sink,final_metal_sink,material,true,false,true,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F14;F15,Final metallic sink carrier for downstream output accounting.
