parameter_id,category,process_or_carrier,description,value_or_range,unit,source_id,source_quality,confidence,suitable_use,required_phase,approval_status,caveat,notes
WC_BF_PRODUCTIVITY_01,bf_hourly_envelope,blast_furnace,Generic BF productivity range for continuity-driven envelope design,1.8-2.5,tHM per m3WV per day,WC01;WC14;WC15,generic_technology_sources,medium,candidate_range_for_envelope_design,S2,candidate_not_approved,"Generic technology range only; not Tata-specific and not an approved hourly limit.","Use only to frame narrow continuity-driven BF envelopes later."
WC_BF_SINTER_PELLET_01,bf_hourly_envelope,blast_furnace,Generic ferrous burden range as sinter plus pellet input per tonne hot metal,1.4-1.8,t burden per tHM,WC01;WC15,generic_technology_sources,medium,candidate_range_for_material_balance_sensitivity,S2,candidate_not_approved,"Range is route-generic and should not be promoted without site-specific calibration logic.","Useful only after Wave C translation rules are frozen."
WC_BF_COKE_01,bf_hourly_envelope,blast_furnace,Generic coke input range per tonne hot metal,0.25-0.40,t coke per tHM,WC01;WC14,generic_technology_sources,medium,candidate_range_for_material_balance_sensitivity,S2,candidate_not_approved,"Not a Tata-specific recipe and not approved for direct model use.","Later candidate for broad BF recipe sensitivity."
WC_BF_PCI_01,bf_hourly_envelope,blast_furnace,Generic pulverised-coal injection range per tonne hot metal,0.10-0.25,t PCI per tHM,WC01;WC15,generic_technology_sources,medium,candidate_range_for_material_balance_sensitivity,S2,sensitivity_only_candidate,"PCI practice varies materially by site and campaign.","Use only if a generic BF recipe sensitivity is explicitly opened."
WC_BF_SLAG_01,bf_hourly_envelope,blast_furnace,Generic BF slag output range per tonne hot metal,0.20-0.35,t slag per tHM,WC01;WC15,generic_technology_sources,medium,candidate_range_for_byproduct_balance,S2,candidate_not_approved,"Generic range only; slag depends on burden quality and gangue.","For later by-product and balance checks."
WC_BOF_HM_01,bof_metallic_mix_envelope,bof,Generic BOF hot-metal input range per tonne liquid steel,0.70-0.90,t hot metal per tLS,WC01;WC15,generic_technology_sources,medium,candidate_range_for_bof_mix_envelope,S2,candidate_not_approved,"Generic metallic-mix range only; do not freeze as Tata truth.","Supports BOF route-balance sensitivity."
WC_BOF_SCRAP_01,bof_metallic_mix_envelope,bof,Generic BOF scrap input range per tonne liquid steel,0.10-0.30,t scrap per tLS,WC01;WC15,generic_technology_sources,medium,candidate_range_for_bof_mix_envelope,S2,candidate_not_approved,"Generic range only and likely coupled to oxygen and thermal balance.","Useful for later BOF mix-feasibility checks."
WC_BOF_O2_01,bof_metallic_mix_envelope,bof,Generic BOF oxygen input range,35-60,Nm3 per tLS,WC01,generic_technology_sources,medium,later_material_balance_or_utility_sensitivity,S3,later_only,"Utility-linked range; outside minimum S2 metallic LP unless explicitly simplified.","Keep out of core S2 unless a very coarse oxygen balance is needed."
WC_BOF_SLAG_01,bof_metallic_mix_envelope,bof,Generic BOF slag output range,0.10-0.20,t slag per tLS,WC01,generic_technology_sources,medium,candidate_range_for_byproduct_balance,S2,candidate_not_approved,"Generic range only; not approved for direct use.","Useful only for broad mass-balance checking."
WC_DRP_MET_01,drp_quality_band,dri,Generic DRI metallisation band,92-96,percent,WC06;WC08;WC04,generic_technology_sources,medium_high,candidate_quality_band,S2,candidate_not_approved,"Generic DRI-quality band only; not a site-specific design point.","Supports DRI quality abstraction rather than exact operating truth."
