asset_id,configuration,asset_name,status,role,carrier_inputs,carrier_outputs,source_id,model_treatment,confidence,approval_status,caveat,notes
stockyards,baseline_bf_bof,Stockyards and blending fields,retained,intake and bulk buffering,iron ore; coal,blended ore streams; blended coal streams,S03;S09,aggregate_include,high,candidate_not_approved,"Public topology evidence only; not yet a detailed yard optimisation model.","For first LP one or a few aggregate bulk-input nodes should suffice."
kgf1,baseline_bf_bof,Coke and Gas Plant 1,retained,coke and coke-oven-gas production,coal blend,coke; coke-oven gas,S03;S09,include_or_aggregate,high,candidate_not_approved,"Rounded website numbers should not drive exact operating coefficients.","Separate KGF1 and KGF2 only when gas/coke detail matters."
kgf2,baseline_bf_bof,Coke and Gas Plant 2,retained,coke and coke-oven-gas production,coal blend,coke; coke-oven gas,S03;S09,include_or_aggregate,high,candidate_not_approved,"Baseline asset only; default closure occurs in Phase 1 future case.","Useful explicit baseline asset."
pefa,baseline_bf_bof,Pellet plant,retained,pellet production,ore; additives; fine coke,pellets,S03;S09,include,high,candidate_not_approved,"Public topology evidence, not exact yield support.","Good explicit node candidate."
sifa,baseline_bf_bof,Sinter plant,retained,sinter production,ore fines; additives; residues,sinter,S03;S09,include,high,candidate_not_approved,"Rest-stream detail remains later work.","Keep explicit for baseline and future hybrid."
bf6,baseline_bf_bof,Blast Furnace 6,retained,hot-metal production,sinter; pellets; coke; PCI; hot blast,hot metal; BF slag; BF gas,S03;S09,include,high,candidate_not_approved,"Annual route magnitudes are not hourly caps.","Baseline asset and retained future asset."
bf7,baseline_bf_bof,Blast Furnace 7,retained,hot-metal production,sinter; pellets; coke; PCI; hot blast,hot metal; BF slag; BF gas,S02;S03,include,high,candidate_not_approved,"Explicit baseline asset only; inactive in default Phase 1 case.","Needed for baseline-to-Phase-1 topology switch."
osf_converters,baseline_bf_bof,Oxystaalfabriek converters,retained,converter steelmaking,hot metal; scrap; oxygen; fluxes,liquid steel; slag; oxygas,S03;S09;S10,include,high,candidate_not_approved,"Do not infer per-converter hourly detail from public text alone.","Aggregate converter block in early LP."
cast_split,baseline_bf_bof,DSP and caster split hub,retained,first downstream split of liquid steel,liquid steel,DSP feed; slab feed,S03;S09,include_as_split_or_hub,high,candidate_not_approved,"Public routing shares are planning-level and not grade-specific scheduling truth.","Simple DSP-vs-slab sink split is sufficient early."
dsp,baseline_bf_bof,Direct Sheet Plant,retained,downstream hot-routing sink,liquid steel feed,rolled product,S03;S09,aggregate_or_validation_only,high,candidate_not_approved,"Public annual sink values are not direct hourly limits.","Useful sink or validation node."
wbw,baseline_bf_bof,Hot Strip Mill and downstream finishing,retained,downstream slab-processing sink,slabs; coils,finished products,S03;S09,aggregate_sink_or_validation_only,high,candidate_not_approved,"Do not build full product model from public source alone.","Treat as sink/export demand initially."
wags_vattenfall_interface,baseline_bf_bof,Works-arising gas and Vattenfall interface,retained,internal energy and by-product-gas balancing,BF gas; COG; oxygas,internal energy services; export interface; flare risk,S03;S09,validation_only_now_later_include,high,candidate_not_approved,"Public topology exists but internal valuation and dispatch rules remain unresolved.","Later energy/cost module item."
bf6,phase1_hybrid_bf_bof_plus_dri_eaf,Blast Furnace 6,retained,remaining BF route,sinter; pellets; coke; fuels,hot metal; slag; BF gas,S03,include,high,candidate_not_approved,"Public annual route volumes should not be used as hourly caps.","Hybrid route anchor."
kgf1,phase1_hybrid_bf_bof_plus_dri_eaf,Coke and Gas Plant 1,retained,remaining coke and gas source,coal,coke; coke-oven gas,S03;S05,include_if_coke_or_gas_modeled_otherwise_aggregate,high,candidate_not_approved,"Retained in default Phase 1, but not a proof of detailed operating policy.","Important default-retained nuance."
bf7,phase1_hybrid_bf_bof_plus_dri_eaf,Blast Furnace 7,closed,retired BF route,n/a,n/a,S02;S03;S05,closed_in_default_future_case,high,candidate_not_approved,"Closed in default Phase 1 public reading only; do not conflate with broader historical pathways.","Core closure-pair asset."
kgf2,phase1_hybrid_bf_bof_plus_dri_eaf,Coke and Gas Plant 2,closed,retired coke and gas route,n/a,n/a,S02;S03;S05,closed_in_default_future_case,high,candidate_not_approved,"Closed in default Phase 1 public reading only; early closure governance is a separate scenario flag.","Core closure-pair asset."
dri,phase1_hybrid_bf_bof_plus_dri_eaf,DRI plant,new,pellet reduction to hot and cold DRI,pellets; natural gas or later H2 mix; electricity; water,hot DRI; cold DRI; process gas; captured CO2,S02;S03,include,high,candidate_not_approved,"Public annual planning values are not enough to define exact hourly behaviour.","Core new asset."
eaf,phase1_hybrid_bf_bof_plus_dri_eaf,EAF,new,melting of DRI and scrap to liquid steel,hot DRI; scrap; oxygen; fluxes; electricity,liquid steel; slag; off-gas,S03,include,high,candidate_not_approved,"Public source confirms batch nature; avoid direct hourly-cap inference.","Core new flexible route asset."
scrap_sop,phase1_hybrid_bf_bof_plus_dri_eaf,SOP4 and SOP5 scrap receiving and storage,new,explicit scrap logistics and buffering,external or internal scrap,scrap feed to EAF,S03,include_as_buffer_nodes,high,candidate_not_approved,"Logistics node evidence exists, but detailed handling policy remains later work.","One or two scrap buffer nodes are defensible."
hot_dri_arc,phase1_hybrid_bf_bof_plus_dri_eaf,Hot DRI transfer to EAF,new,continuous link from DRI process to EAF,hot DRI,hot DRI feed to EAF,S03,aggregate_arc,high,candidate_not_approved,"Public topology evidence only; no detailed transport dynamics yet.","Model as DRI-to-EAF arc."
cold_dri_buffer,phase1_hybrid_bf_bof_plus_dri_eaf,Cold DRI buffer and silos,new,buffering of cold DRI,cold DRI,cold DRI inventory and feed,S03,include_as_aggregate_buffer,high,candidate_not_approved,"Must not become free flexibility or unlimited inventory.","Explicit anti-arbitrage caveat required later."
new_secondary_met,phase1_hybrid_bf_bof_plus_dri_eaf,New secondary metallurgy for EAF steel,new,refining of EAF steel before casting,EAF liquid steel; refining utilities,treated liquid steel to casting hub,S03,include_as_aggregate_refining_node,high,candidate_not_approved,"Public topology is strong, but exact station detail is unnecessary early.","Topologically important."
oxygas_holder_new,phase1_hybrid_bf_bof_plus_dri_eaf,Replacement oxygas holder,modified,utility buffering for oxygas,oxygas,buffered oxygas,S03,validation_only_now_later_utility_layer,high,candidate_not_approved,"Buffer evidence only; not yet a dispatch model rule.","Relevant later for utility realism."
