review_category,decision_item,candidate_count,evidence_strength_summary,recommended_nonbinding_option,sensitivity_required,high_risk_flag,blocker_before_promotion,blocker_before_executable_use,next_human_decision_needed,notes
buffer_capacity,HDRI_DRI_surge_capacity,1,high_vendor_context_class_support,later_base_assumption,true,true,site_transfer_and_exact_tonnes_review_missing,no_approved_store_capacity_row,Decide_whether_1_to_2_EAF_heats_is_the_first_base_screening_class,Main_short_term_flexibility_buffer
buffer_capacity,cold_slab_WIP_capacity,1,medium_order_of_magnitude_support_with_site_transfer_caveat,sensitivity-only,true,true,non_IJmuiden_evidence_and_exact_tonnes_review_missing,no_approved_store_capacity_row,Decide_whether_1_to_3_days_can_be_used_as_a_base_screening_class_or_only_sensitivity,Main_downstream_flexibility_buffer
buffer_capacity,hot_metal_synchronisation_capacity,1,high_class_support_but_secondary_role,later_base_assumption,true,false,relative_sizing_interpretation_still_unreviewed,no_approved_store_capacity_row,Decide_whether_1_to_3_BOF_heats_is_a_defensible_small_sync_class,Must_remain_secondary_not_strategic
buffer_capacity,hot_slab_WIP_treatment,1,high_thermal_transfer_support_not_strategic_store,defer,true,true,hot_vs_cold_and_omit_vs_tiny_choice_unreviewed,no_approved_store_capacity_row,Choose_omit_vs_tiny_thermal_transfer_only,Must_not_be_multi_hour_day_arbitrage
buffer_capacity,liquid_steel_ladle_tundish_treatment,1,policy_only_and_missing_numerical_evidence,defer,true,true,no_reviewed_capacity_basis_and_policy_prefers_omit_or_tiny,no_approved_store_capacity_row,Confirm_omit_or_tiny_feasibility_only_treatment,Should_not_be_hidden_slack
process_bounds_translation,annual_to_hourly_translation_method,4,high_method_row_support_but_no_numeric_bounds,defer,true,true,no_explicit_translation_selection,no_approved_tph_rows,Choose_conservative_central_and_flexible_translation_assumptions,Requires_online_hours_availability_and_utilisation
process_bounds_translation,BF_near_must_run_band,1,medium_candidate_range_support,sensitivity-only,true,true,minimum_stable_load_not_frozen,no_approved_tph_rows,Decide_whether_BF_band_should_start_as_sensitivity_only_or_narrow_base_case,BF_is_not_free_on_off
process_bounds_translation,DRP_turndown_interpretation,1,high_vendor_context_support,sensitivity-only,true,true,central_turndown_band_not_frozen,no_approved_tph_rows,Choose_a_narrower_central_band_inside_the_broad_technology_range,DRP_is_continuous_not_free_cycling
process_bounds_translation,BOF_batch_equivalent_hourly_capacity,1,high_policy_support_without_numeric_cap,defer,true,true,hourly_equivalent_method_not_frozen,no_approved_tph_rows,Choose_hourly_equivalent_BOF_interpretation_before_any_tph_value,BOF_is_not_a_dimmer
process_bounds_translation,EAF_batch_equivalent_hourly_capacity,2,high_policy_support_without_numeric_cap,defer,true,true,tap_to_tap_heat_size_and_hourly_equivalent_method_not_frozen,no_approved_tph_rows,Choose_hourly_equivalent_EAF_interpretation_before_any_tph_value,EAF_is_not_a_dimmer
production_target,target_basis_choice,1,high_method_support_policy_only,later_base_assumption,true,true,target_basis_not_frozen,no_approved_target_rows,Choose_between_crude_steel_and_last_modelled_metallic_sink,Route_specific_base_targets_excluded
production_target,horizon_total_target_scale_translation,2,high_public_anchor_support_but_validation_only,defer,true,true,annual_to_horizon_translation_not_reviewed,no_approved_target_rows,Choose_translation_logic_from_annual_anchor_to_horizon_total_target,Annual_anchors_are_not_direct_operational_targets
production_target,route_specific_annual_anchors,2,high_validation_anchor_support,sensitivity-only,true,true,validation_only_route_anchors_must_not_become_base_constraints,no_approved_target_rows,Confirm_route_anchors_stay_validation_only,Base_case_must_stay_route_neutral
production_target,shortfall_treatment,1,policy_only_support,defer,true,false,no_reviewed_shortfall_design,no_approved_target_rows,Decide_whether_shortfall_is_still_out_of_scope_or_requires_explicit_reported_design,Hidden_infeasibility_penalties_not_allowed
