input_category,target_schema_table,required_for_s2,current_review_status,candidate_rows_available,validation_target_available,unit_review_complete,sign_review_complete,source_review_complete,structural_review_complete,numerical_review_complete,structural_ready_for_structure_only_use,numerical_ready_for_approved_input,thesis_grade_numerical_ready,candidate_review_executable,approval_ready,approval_blocker,next_review_action
process_units,process_units_schema.csv,true,normalised_candidate_rows_prepared,true,false,false,false,false,true,false,true,false,false,false,false,Structural topology support exists but hourly envelopes and process-role calibration remain unresolved,Keep structural route and process presence separate from numerical bounds.
carriers,carriers_schema.csv,true,normalised_candidate_rows_prepared,true,false,false,false,false,true,false,true,false,false,false,false,Carrier dictionary and sign conventions are not yet frozen,Freeze carrier names units and loader-side sign conventions without claiming numerical approval.
stores,stores_schema.csv,true,partial_candidate_rows_prepared,true,false,false,false,false,false,false,false,false,false,false,false,Store capacities and slab or WIP abstraction remain unresolved,Review DRI and slab-buffer classes and keep structural store support separate from numerical capacities.
conversion_coefficients,conversion_coefficients_schema.csv,true,partial_candidate_rows_prepared,true,false,false,false,false,false,false,false,false,false,false,false,Generic ranges are not site-calibrated and sign convention is unresolved,Use the S2.5b promotion packet to freeze one executable sign and unit convention before any promotion review.
process_bounds,process_bounds_schema.csv,true,partial_candidate_rows_prepared,true,true,false,false,false,false,false,false,false,false,false,false,Annual anchors are not hourly caps and methodology choices are not frozen,Use the S2.5b promotion packet to review process-class annual-to-hourly methods before any executable bound proposal.
production_targets,production_targets_schema.csv,true,validation_anchor_rows_prepared,true,true,false,false,false,false,false,false,false,false,false,false,Target-policy anchors are annual public references only and must not become active constraints,Use the S2.5b promotion packet to separate validation anchors from any future executable target-policy row.
initial_inventories,initial_inventories_schema.csv,true,placeholder_rows_only,true,false,false,false,false,false,false,false,false,false,false,false,Only toy placeholders exist and no reviewed opening-inventory evidence is available,Use the S2.5c promotion packet to freeze opening-state semantics before any executable inventory review.
terminal_inventory_rules,terminal_inventory_rules_schema.csv,true,assumption_rows_only,true,false,false,false,false,true,false,true,false,false,false,false,Only structural endpoint-rule support exists and no numeric terminal policy is reviewed,Use the S2.5c promotion packet and shared convention note to separate endpoint rule type from any future numeric terminal quantity.
topology_routes,topology_routes_schema.csv,true,normalised_candidate_rows_prepared,true,false,false,false,false,true,false,true,false,false,false,false,Configuration activation and route-membership interpretation need review,Freeze baseline and Phase-1 route-membership sets without implying numerical approval.
validation_targets,validation_targets_schema.csv,true,normalised_validation_rows_prepared,true,true,false,false,false,true,false,true,false,false,false,false,Validation targets must remain non-constraints and non-executable,Keep annual anchors separate from executable model-input promotion.
