parameter_id,category,subcategory,description,unit,applies_to_process_or_carrier,configuration,model_role,required_phase,priority,likely_source_tier,public_reportability,value_status,candidate_range_low,candidate_range_high,range_basis,citation_key,owner,last_reviewed,notes
TIME_GRANULARITY,time and market structure,time set,Dispatch timestep definition and granularity label,hour or quarter-hour,all,both,model_input,S2,critical,planning_docs,public,category_only,,,planning_docs,STEEL_MODEL_BLUEPRINT;STEEL_IMPLEMENTATION_ROADMAP,codex_phase_s1,2026-06-13,Hourly first and quarter-hour later
TIME_HORIZON,time and market structure,horizon set,Optimisation horizon definition such as D_only or later D_plus_4,hours or days,all,both,model_input,S2,critical,planning_docs,public,category_only,,,planning_docs,AGENTS;STEEL_MODEL_BLUEPRINT,codex_phase_s1,2026-06-13,DST-safe handling required later
DA_TIMING_CONVENTION,time and market structure,information timing,Forecast-origin gate closure and settlement timing conventions,timestamp convention,market interface,both,constraint,S5,important,planning_docs,public,category_only,,,planning_docs,AGENTS;STEEL_VALIDATION_AND_TRACTABILITY_PLAN,codex_phase_s1,2026-06-13,Must preserve non-anticipativity and DA timing
SCENARIO_PROBABILITY,time and market structure,scenario probability,Scenario probabilities for stochastic DA optimisation,probability,scenarios,both,model_input,S6,important,forecasting_artifacts,public,category_only,,,planning_docs,AGENTS;DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Not required before stochastic phase
CONFIG_ROUTE_ENABLE,site boundary and configurations,configuration topology,Configuration-level route availability and enabled process blocks,flag or share,route blocks,current or phase1,model_input,S2,critical,site_public,mixed,category_only,,,planning_docs,STEEL_MODEL_BLUEPRINT;STEEL_ASSUMPTION_REGISTER,codex_phase_s1,2026-06-13,Baseline BF-BOF and later Phase 1 hybrid must stay explicit
SITE_BOUNDARY_POLICY,site boundary and configurations,model boundary,Boundary rule for internal balances and allowed external imports or exports,boundary rule,site,current or phase1,assumption,S2,critical,planning_docs,assumption_only,assumption_placeholder,,,planning_docs,STEEL_ASSUMPTION_REGISTER,codex_phase_s1,2026-06-13,Do not imply full site digital twin
RESIDUAL_LOAD_POLICY,site boundary and configurations,residual loads,Policy for non-modelled residual electricity demand,MW or policy,site,both,assumption,S3,important,planning_docs,assumption_only,assumption_placeholder,,,planning_docs,STEEL_ASSUMPTION_REGISTER,codex_phase_s1,2026-06-13,Residual loads must be explicit rather than ignored
PRODUCTION_TARGET,production target and product mix,target policy,Chosen production target metric for the phase,t/day or t/h,production sink,both,model_input,S2,critical,site_public,mixed,category_only,,,planning_docs,STEEL_ASSUMPTION_REGISTER;STEEL_VALIDATION_AND_TRACTABILITY_PLAN,codex_phase_s1,2026-06-13,Target policy must be frozen before coding
PRODUCT_MIX_POLICY,production target and product mix,product family mix,Product family or grade-mix abstraction used in the model,share or bands,downstream demand,both,sensitivity_only_parameter,S3,important,technology_literature,likely_confidential,candidate_not_approved,,,deepsearch_category_scan,DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Keep as exogenous or banded until stronger evidence exists
ROUTE_SHARE_TARGET,production target and product mix,route split,Public or assumed route-share anchor used only for validation or sensitivity,share,route mix,phase1,validation_target,S4,important,site_public,mixed,validation_target_placeholder,,,planning_docs_and_public_targets,STEEL_MODEL_BLUEPRINT;DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Do not treat as approved operating input without review
PROCESS_THROUGHPUT,process-unit operating parameters,capacity bounds,Minimum and maximum throughput by process block,t/h or MW,process units,both,model_input,S2,critical,site_public,mixed,category_only,,,planning_docs,STEEL_MODEL_BLUEPRINT;STEEL_DATA_AND_PARAMETER_PLAN,codex_phase_s1,2026-06-13,Shared downstream capacities must also be captured
PROCESS_AVAILABILITY,process-unit operating parameters,availability,Availability or outage status by period,0-1,process units,both,model_input,S2,important,site_public,mixed,candidate_not_approved,,,deepsearch_category_scan,DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Public support likely coarse only
PROCESS_RAMPING,process-unit operating parameters,ramping,Ramping or minimum stable load logic for selected units,t/h^2 or MW/h,selected units,both,constraint,S4,important,technology_literature,mixed,candidate_not_approved,,,deepsearch_category_scan,STEEL_MODEL_BLUEPRINT;DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,EAF and major utility users likely need explicit treatment later
MATERIAL_RECIPE,material conversion and yields,process recipe,Input recipe coefficients by process and route,coefficient,material carriers,both,model_input,S2,critical,technology_literature,mixed,category_only,,,planning_docs_and_memo,STEEL_DATA_AND_PARAMETER_PLAN;DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Keep units explicit and route-specific
PROCESS_YIELD,material conversion and yields,yield and losses,Yield loss and by-product coefficients per process block,coefficient,process units,both,model_input,S2,critical,technology_literature,mixed,category_only,,,planning_docs_and_memo,STEEL_MODEL_BLUEPRINT;DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,High-risk family for fake feasibility if omitted
QUALITY_WINDOW,material conversion and yields,quality constraints,Grade or quality-linked recipe bounds for scrap DRI or route usage,bands or limits,selected units,both,sensitivity_only_parameter,S4,important,technology_literature,likely_confidential,candidate_not_approved,,,deepsearch_category_scan,DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Reserve for later once evidence improves
ENERGY_CARRIER_DEF,energy carriers,carrier definition,Definitions and units for electricity gas steam oxygen hydrogen nitrogen water and similar carriers,carrier-specific unit,energy carriers,both,model_input,S2,critical,planning_docs,public,category_only,,,planning_docs,STEEL_DATA_AND_PARAMETER_PLAN,codex_phase_s1,2026-06-13,Needed for schema consistency before values
ENERGY_INTENSITY,energy carriers,process intensity,Carrier consumption coefficients by process block,carrier-specific coefficient,process units,both,model_input,S3,important,technology_literature,mixed,candidate_not_approved,,,deepsearch_category_scan,DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Should not enter approved tables without stable source support
WAGS_NETWORK,WAGs/internal gas network,gas topology,Definitions and routing logic for BFG COG BOF/LD gas and mixed-gas handling,network rule,internal gases,both,model_input,S3,important,site_public,mixed,category_only,,,deepsearch_category_scan,DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Explicitly reserve category even if first LP aggregates it
WAGS_HOLDER_BOUNDS,WAGs/internal gas network,holders and flare,Holder capacity throughput and spill or flare treatment,m3 or energy unit,gas holders,both,constraint,S3,important,site_public,mixed,candidate_not_approved,,,deepsearch_category_scan,DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Needed to avoid free-battery behaviour
STORE_BOUNDARY,buffers/stores/inventory,store definition,Storage identity and policy for scrap DRI slab WIP oxygen and gas holders,carrier-specific unit,stores,both,model_input,S2,critical,planning_docs,mixed,category_only,,,planning_docs,STEEL_DATA_AND_PARAMETER_PLAN;STEEL_ASSUMPTION_REGISTER,codex_phase_s1,2026-06-13,Store semantics must be explicit
STORE_TERMINAL_POLICY,buffers/stores/inventory,terminal conditions,Initial and terminal inventory rules plus anti-arbitrage treatment,carrier-specific unit,stores,both,constraint,S2,critical,planning_docs,assumption_only,assumption_placeholder,,,planning_docs,STEEL_ASSUMPTION_REGISTER;STEEL_VALIDATION_AND_TRACTABILITY_PLAN,codex_phase_s1,2026-06-13,Terminal conditions required to stop intertemporal arbitrage
THERMAL_DEGRADATION,thermal and quality degradation,hot cold state,Penalty or dwell rule for thermal state or reheating effects,hours or penalty coefficient,slab WIP or hot material,both,sensitivity_only_parameter,S4,important,technology_literature,mixed,candidate_not_approved,,,deepsearch_category_scan,DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Later proxy to avoid unrealistic hot-material storage freedom
CONNECTION_CAPACITY,electricity connection and network costs,grid connection,Technical or contracted site import bounds,MW,grid connection,both,model_input,S3,critical,site_public,mixed,category_only,,,deepsearch_category_scan,DEEPMEMO_1_NONAUTHORITATIVE,codex_phase_s1,2026-06-13,Public topology exists but detailed contract economics may not
