parameter_family,parameter_name,required_for,current_status,source_or_policy_basis,evidence_tier,model_use_status,selected_value,unit,sensitivity_required,blocks_physical_ledger,blocks_emissions_ledger,blocks_monetary_ledger,limitations,next_action
physical_accounting,WAG generation coefficients,WAG generation by carrier,selected_dev_input,s3_wag_selected_dev_inputs.csv,D/E development assumption,static_physical_ledger,selected per BFG/COG/BOFG rows,Nm3 or m3 per activity unit,true,false,false,false,Development only; sensitivity required for material WAG generation.,Keep in sensitivity register before thesis use.
physical_accounting,WAG LHV,WAG energy conversion,selected_dev_input,s3_wag_selected_dev_inputs.csv,D/E development assumption,static_physical_ledger,selected per BFG/COG/BOFG rows,MJ/Nm3,false,false,false,false,Public generic gas-property basis; composition caveat.,Review if thesis-grade source is selected.
physical_accounting,WAG power conversion efficiency,proxy WAG offset,selected_dev_input,s3_wag_selected_dev_inputs.csv,D/E development assumption,static_physical_ledger,37.15,% net electric efficiency,true,false,false,false,"Potential offset only; no dispatch, price response, export, or settlement.",Keep as sensitivity before DA/cost use.
physical_accounting,DRP natural-gas coefficient,C1 DRP natural-gas volume,selected_tier_b_assumption,s3_c1_route_energy_inputs.csv,B public secondary literature derived,static_physical_ledger,195,m3_NG/t_pellets,true,false,false,false,Not Tata-exact; liquid/crude-steel proxy caveat.,Retain sensitivity status.
physical_accounting,DRP electricity coefficient,C1 DRP electricity,selected_tier_b_assumption,s3_c1_route_energy_inputs.csv,B public secondary literature derived,static_physical_ledger,0.1,MWh/t_pellets,true,false,false,false,Not Tata-exact; material C1 assumption.,Retain sensitivity status.
physical_accounting,EAF electricity coefficient,C1 EAF electricity,selected_tier_b_assumption,s3_c1_route_energy_inputs.csv,B public secondary literature derived,static_physical_ledger,0.5,MWh/t_DRI,true,false,false,false,Not Tata-exact; material C1 assumption.,Retain sensitivity status.
physical_accounting,downstream accounting drivers,downstream throughput continuity,profile_driver_present,fixed_profiles/*.csv and downstream registers,D user-selected scenario policy,driver_only_no_energy_coefficient,selected driver rows,t_per_hour proxy,false,false,true,true,Drivers are present but coefficients are missing; do not treat as zero energy.,Select electricity/heat coefficients before cost readiness.
physical_accounting,downstream electricity coefficient,complete site electricity ledger,missing,s3_downstream_accounting_boundary_register.csv,not selected,blocked,,MWh/t,true,true,false,true,Missing coefficient blocks complete site-energy and monetary ledger; it is not a hidden zero.,Select reviewed downstream electricity coefficients.
physical_accounting,ASU/oxygen electricity coefficient,auxiliary electricity ledger,missing,s3_downstream_accounting_boundary_register.csv,not selected,blocked,,MWh/t or MWh/Nm3 O2,true,true,false,true,Oxygen driver exists but electricity coefficient is missing.,Select reviewed ASU/oxygen electricity coefficient.
physical_accounting,heat/steam/reheating coefficient,heat and reheating ledger,missing,s3_downstream_accounting_boundary_register.csv,not selected,blocked,,GJ/t or MWh/t,true,true,true,true,Heat/steam closure missing; not hidden as zero.,Select reviewed heat/steam/reheating coefficients.
physical_accounting,residual electricity boundary policy,proxy gross electricity import exposure,selected_proxy_sensitivity,s3_electricity_boundary_sensitivity_register.csv,D user-selected scenario policy,static_proxy_only,2.25/3.00/3.75 million,MWh/year,true,false,false,true,Proxy boundary only; not plant import truth and not cost-ready.,Review residual/site-load policy before DA/cost use.
emissions_accounting,WAG CO2 factors,WAG oxidation emissions,selected_dev_input,s3_wag_selected_dev_inputs.csv,D/E development assumption,partial_emissions_proxy,selected per BFG/COG/BOFG rows,kg CO2/GJ,false,false,false,false,Point-of-oxidation proxy only; public reporting factors.,Retain no-double-counting separation.
emissions_accounting,DRP direct CO2 proxy,C1 direct emissions proxy,selected_tier_b_assumption,s3_c1_route_energy_inputs.csv,B public secondary literature derived,partial_emissions_proxy,derived in fixed profiles,t CO2/t liquid-steel proxy,true,false,false,false,Direct proxy is partial and not a complete plant emissions ledger.,Review with complete emissions boundary.
emissions_accounting,natural-gas CO2 factor,natural-gas combustion emissions,factor_exists_policy_blocked,s3_wag_selected_dev_inputs.csv,D/E development assumption,not_additive_without_policy,56.1,kg CO2/GJ,true,false,true,true,Not added to DRP direct CO2 proxy without explicit non-double-counting policy.,Decide DRP direct-vs-combustion treatment before ETS.
emissions_accounting,electricity scope-2 factor,optional indirect electricity reporting,missing,not selected,not selected,blocked,,t CO2/MWh,true,false,true,true,No selected factor; scope-2 not computed.,Select only if thesis reporting needs indirect emissions.
emissions_accounting,downstream emissions factors,complete direct emissions ledger,missing,s3_downstream_accounting_boundary_register.csv,not selected,blocked,,various,true,false,true,true,Downstream emissions missing; complete direct emissions false.,Select reviewed downstream emissions policy/factors.
emissions_accounting,complete direct-emissions ledger policy,gross ETS readiness,missing,STEEL_S3_0D gate and downstream closure,policy not selected,blocked,,policy,true,false,true,true,Partial direct emissions only; no gross ETS result.,Close direct-emissions boundary and double-counting policy.
economic_accounting,electricity price input,electricity import cost,missing,not selected,not selected,formula_hook_only,,EUR/MWh,true,false,false,true,Missing static price blocks monetary result; no DA price.,Select static non-DA price only after boundary review.
economic_accounting,natural-gas price input,natural-gas cost,missing,not selected,not selected,formula_hook_only,,EUR/MWh or EUR/m3,true,false,false,true,Missing price blocks monetary result.,Select static price and unit conversion policy.
economic_accounting,CO2/ETS price input,CO2/ETS gross cost proxy,missing,not selected,not selected,formula_hook_only,,EUR/t CO2,true,false,true,true,Missing price and complete emissions ledger block ETS result.,Select ETS price only after emissions boundary review.
economic_accounting,tariff/network cost input,network and tariff accounting,missing,not selected,not selected,blocked,,EUR/MWh or tariff schedule,true,false,false,true,No tariff logic or settlement implemented.,Keep outside static S3.0e-a ledger.
economic_accounting,WAG avoided-cost valuation policy,future avoided import value,policy_blocked,S3.0d plant-boundary gate,policy not selected,formula_hook_only,,policy,true,false,false,true,WAG offset is not revenue and not cost saving until price/boundary policy exists.,Define valuation policy before monetary reporting.
economic_accounting,product revenue input,product economics,out_of_scope_missing,not selected,not selected,blocked,,EUR/t product,true,false,false,true,Product revenue is out of scope for S3.0e-a.,Reopen only in later economic model stage.
