current_file_path,current_field_value_family,proposed_target_table,proposed_target_columns,c0_c1_relevance,model_role,status,caveat
scripts/Data/04_Steel_Test_Case/steel/site_calibration_inputs.py,annual final-product target and shared constants,production_targets.csv,target_value;time_basis;configuration_id,C0_and_C1,physical_input,reusable_with_transformation,Annual/static target must become explicit horizon target.
scripts/Data/04_Steel_Test_Case/steel/site_calibration_inputs.py,C0 Table 8 annual electricity WAG NG CO2 anchors,validation_anchors.csv,metric;anchor_value;anchor_unit;time_basis,C0,validation_target,reusable_directly,Not hourly dispatch inputs.
scripts/Data/04_Steel_Test_Case/steel/site_calibration_runner.py,C1 annual target dictionary,validation_anchors.csv,metric;anchor_value;anchor_unit;time_basis,C1,validation_target,reusable_directly,Boundary-aligned anchor not hourly truth.
data/03_Optimisation/inputs/assets/steel/S3/s3_candidate_review/s3_4_eaf_drp_guardrail_dev_inputs.csv,DRP EAF and DRI buffer development values,process_units.csv;process_energy_intensities.csv;process_io_coefficients.csv;buffers_and_stores.csv,process_id;carrier;coefficient;capacity,C1,physical_input,candidate_only,Development-only and not Tata measured truth.
scripts/Data/04_Steel_Test_Case/steel/s3_4_guardrails.py,C1 EAF binary DRP ramp and DRI buffer constraints,process_units.csv;buffers_and_stores.csv,commitment_type;ramp_up;ramp_down;terminal_rule,C1,constraint_bound,reusable_with_transformation,Prototype wrapper should become unified modelbuilder component.
data/03_Optimisation/inputs/assets/steel/S3/s3_candidate_review/s3_4_s4_0a_physical_guardrail_source_audit.csv,guardrail evidence strengths and gaps,validation_anchors.csv,comparison_role;source_card_ids,C1,reporting_only,reusable_directly,Use for evidence status not executable values.
data/03_Optimisation/inputs/assets/steel/source_evidence/steel_source_card_register.csv,source-card metadata,all_tables,source_card_ids,C0_and_C1,source_link,reusable_directly,Source cards identify evidence only.
data/03_Optimisation/inputs/assets/steel/source_evidence/steel_candidate_parameter_evidence_register.csv,candidate parameter evidence,all_tables,candidate_id;evidence_strength;input_status,C0_and_C1,source_link,reusable_directly,Candidate rows need human review before approved inputs.
data/03_Optimisation/inputs/assets/steel/S4/s4_1_da_price_taking/s4_1_da_price_taking_config.json,real DAM price file and 24h window,market_price_inputs.csv,price_file;timestamp_column;price_column;window_start;window_end,C0_and_C1,objective_parameter,reusable_with_transformation,Market input reusable but not a market settlement module.
data/03_Optimisation/inputs/assets/steel/S4/s4_2c_economic_objective/s4_2c_economic_objective_config.json,common external-cost economic policy,policy_modes.csv;external_supply_costs.csv,policy_id;forbidden_terms;cost_value,C0_and_C1,objective_parameter,reusable_with_transformation,NG price is development-only convention.
data/03_Optimisation/inputs/assets/steel/S4/s4_2d_energy_economic_reconciliation/,annualized energy reconciliation outputs,validation_anchors.csv,comparison_role;anchor_value;difference_pct,C0_and_C1,validation_target,reusable_with_transformation,24h annualization is diagnostic not forecast.
data/03_Optimisation/inputs/assets/steel/S4/s4_2e_benchmark_economic_comparison/,C1 benchmark and DA prototype results,policy_modes.csv,policy_mode;expected_outputs,C1,reporting_only,prototype,Useful pattern but not common site-scope proof.
data/03_Optimisation/inputs/assets/steel/S4/s4_3b_c0_da_common_policy_runner/,C0 static-settled gross-electricity result,validation_anchors.csv;policy_modes.csv,comparison_role;policy_id,C0,reporting_only,prototype,Static-settled baseline not C0 DA optimisation.
