requirement_id,coefficient_family,description,required_for_s3_0b,linked_wag_carrier,linked_activity_or_node,unit_requirement,time_basis_requirement,allowed_status_before_execution,minimum_review_status_before_use,may_be_approved_in_s3_0b_a,thesis_usability,notes
S30B_WAG_COEFF_001,bfg_generation_coefficient,BFG generation coefficient linked to BF activity,true,BFG,BF activity,energy_per_tonne_or_volume_per_tonne,per activity unit and timestep,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,Development-only selection exists in s3_wag_selected_dev_inputs.csv; sensitivity required
S30B_WAG_COEFF_002,bofg_ld_gas_generation_coefficient,BOFG or LD gas generation coefficient linked to BOF activity,true,BOFG_LD_gas,BOF activity,energy_per_tonne_or_volume_per_tonne,per activity unit and timestep,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,Development-only selection exists in s3_wag_selected_dev_inputs.csv; sensitivity required
S30B_WAG_COEFF_003,cog_generation_coefficient,COG generation coefficient for coking-route accounting candidate,true,COG,coking boundary candidate,energy_per_tonne_or_volume_per_tonne,per activity unit and timestep,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,C0 capacity-capped COG chain selected for development-only diagnostic; C1 retained coking basis remains unresolved
S30B_WAG_COEFF_004,wag_lower_heating_value,WAG lower heating value or energy-content coefficient,true,BFG;BOFG_LD_gas;COG,WAG carrier,energy_per_volume_or_energy_per_mass,carrier specific,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,Development-only carrier LHV selections exist in s3_wag_selected_dev_inputs.csv
S30B_WAG_COEFF_005,wag_process_fuel_substitution,WAG process-fuel substitution coefficient,true,BFG;BOFG_LD_gas;COG,process fuel consumer,useful_energy_per_wag_energy,timestep compatible,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,C0 mandatory BFG and COG process-use coefficients selected; no separate mandatory BOFG sink selected
S30B_WAG_COEFF_006,wag_steam_boiler_use,WAG steam or boiler-use coefficient,true,BFG;BOFG_LD_gas;COG,steam boiler consumer,useful_energy_per_wag_energy,timestep compatible,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,C0 minimum-known coking steam demand and boiler efficiency selected for development-only sensitivity
S30B_WAG_COEFF_007,wag_to_power_conversion_efficiency,WAG-to-power conversion or interface efficiency,true,BFG;BOFG_LD_gas;COG,WAG-to-power interface,electric_mwh_per_wag_energy,timestep compatible,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,Development-only WAG-to-power efficiency selected for potential_import_offset sensitivity
S30B_WAG_COEFF_008,wag_to_power_capacity_interface_limit,WAG-to-power capacity or interface limit,true,BFG;BOFG_LD_gas;COG,WAG-to-power interface,energy_per_timestep_or_power_limit,timestep explicit,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,No reviewed WAG-power capacity selected; C0 uses annual-average site demand cap with capacity_mode potential_import_offset
S30B_WAG_COEFF_009,flare_spill_residual_treatment,Flare spill or unused residual treatment,true,BFG;BOFG_LD_gas;COG,flare spill sink,energy,per timestep,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,Complete-oxidation development convention selected; residual sink remains mandatory
S30B_WAG_COEFF_010,wag_combustion_flare_emissions_factor,WAG combustion or flare emissions factor,true,BFG;BOFG_LD_gas;COG,WAG consumer or flare sink,t_co2e_per_wag_energy,per carrier and use mode,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,Carrier-specific development factors selected; count only at oxidation or explicit transfer
S30B_WAG_COEFF_011,natural_gas_displacement_factor,Natural-gas displacement factor for useful-energy substitution,true,natural_gas,process fuel or boiler consumer,ng_energy_displaced_per_wag_useful_energy,timestep compatible,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,Useful-energy substitution convention selected; 0.667 FAR factor is not a physical coefficient
S30B_WAG_COEFF_012,net_electricity_import_offset_convention,Net-electricity-import offset convention,true,electricity,WAG-to-power interface,mwh_offset_per_interface_output,timestep compatible,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,Import-offset convention selected; no settlement export revenue or Vattenfall dispatch
S30B_WAG_COEFF_013,captured_co2_visibility_convention,Captured CO2 visibility convention where applicable,false,CO2,DRP or capture visibility node,t_co2_or_flag,per reporting interval,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,Visibility convention selected; no automatic emissions credit without explicit sink
S30B_WAG_COEFF_014,no_double_counting_emissions_boundary_rule,No-double-counting emissions boundary rule,true,BFG;BOFG_LD_gas;COG;natural_gas,WAG and emissions boundary,rule_id,applies across diagnostic horizon,candidate_or_provisional_only,reviewed_for_diagnostic,false,false,Point-of-oxidation boundary selected; no emissions at WAG generation
