contract_item_id,contract_layer,required_input_or_rule,expected_source,applies_to_configuration,applies_to_stage,allowed_status,forbidden_status,required_governance_check,executable_status,thesis_usability,approval_status,notes
MBIC01,configuration_gate,configuration_selection,data/03_Optimisation/inputs/assets/steel/s2_candidate_review/s2_configuration_scope_register.csv,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,main_configuration_only,C1S_as_main_branch;C2_as_main_branch;phase_2_branch;phase_3_branch,frozen_main_configurations_only,non_executable,false,interface_contract_only,"Future deterministic S2 builder may select only C0 or C1 as main configurations."
MBIC02,structural_topology_view,topology_view_consumption,scripts/Data/04_Steel_Test_Case/steel/topology_queries.py,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,structural_view_required_before_builder,raw_csv_bypass_without_validation,validated_topology_view_required,non_executable,false,interface_contract_only,"Builder must consume validated topology views rather than ad hoc route definitions."
MBIC03,structural_topology_view,route_membership,scripts/Data/04_Steel_Test_Case/steel/topology_queries.py,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,structural_view_required_before_builder,route_outside_frozen_topology,frozen_route_membership_only,non_executable,false,interface_contract_only,"Only frozen C0 and C1 route memberships may enter future model construction."
MBIC04,structural_topology_view,process_unit_membership,scripts/Data/04_Steel_Test_Case/steel/topology_queries.py,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,structural_view_required_before_builder,process_unit_outside_validated_route,validated_process_unit_membership_only,non_executable,false,interface_contract_only,"Process-unit sets must come from the validated topology object and query layers."
MBIC05,structural_topology_view,carrier_membership,scripts/Data/04_Steel_Test_Case/steel/topology_queries.py,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,structural_view_required_before_builder,carrier_outside_validated_topology,validated_carrier_membership_only,non_executable,false,interface_contract_only,"Carrier sets must come from validated structural topology only."
MBIC06,structural_topology_view,store_membership,scripts/Data/04_Steel_Test_Case/steel/topology_queries.py,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,structural_view_required_before_builder,unbounded_store_or_store_outside_topology,bounded_store_membership_only,non_executable,false,interface_contract_only,"Store sets must remain bounded structural candidates drawn from validated views."
MBIC07,structural_topology_view,arc_membership,scripts/Data/04_Steel_Test_Case/steel/topology_queries.py,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,structural_view_required_before_builder,arc_outside_validated_topology,validated_arc_membership_only,non_executable,false,interface_contract_only,"Arc sets must come from validated structural views only."
MBIC08,endpoint_policy_contract,inventory_endpoint_policy,data/03_Optimisation/inputs/assets/steel/s2_candidate_review/s2_topology_skeleton/inventory_policy.csv,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,endpoint_policy_contract_only,CYC50_as_approved_numeric_value,endpoint_policy_must_remain_contract_logic_only,non_executable,false,interface_contract_only,"CYC50 is contract logic for future endpoint handling and remains non-approved at this stage."
MBIC09,deterministic_policy_contract,fixed_production_target_policy,future approved production target table,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,fixed_target_contract_only,free_output_maximisation_without_target_or_penalty,fixed_target_required_before_execution,non_executable,false,interface_contract_only,"Future deterministic S2 builder must use explicit production-target logic when executable work is opened."
MBIC10,future_numerical_input_gate,future_process_bounds_table,data/03_Optimisation/inputs/assets/steel/s2_schema/process_bounds_schema.csv,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,future_approved_input_required_before_execution,candidate_review_bounds_as_live_parameters,approved_process_bounds_required,non_executable,false,not_approved,"Process bounds remain blocked until approved numerical inputs exist."
MBIC11,future_numerical_input_gate,future_conversion_coefficients_table,data/03_Optimisation/inputs/assets/steel/s2_schema/conversion_coefficients_schema.csv,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,future_approved_input_required_before_execution,candidate_review_coefficients_as_live_parameters,approved_conversion_coefficients_required,non_executable,false,not_approved,"Conversion coefficients remain blocked until approved numerical inputs exist."
MBIC12,future_numerical_input_gate,future_store_capacity_table,future approved store-capacity table or approved stores table,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,future_approved_input_required_before_execution,candidate_review_store_capacity_as_live_parameter,approved_store_capacity_required,non_executable,false,not_approved,"No approved store-capacity surface exists yet."
MBIC13,future_numerical_input_gate,future_initial_inventory_table,data/03_Optimisation/inputs/assets/steel/s2_schema/initial_inventories_schema.csv,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,future_approved_input_required_before_execution,candidate_review_initial_inventory_as_live_parameter,approved_initial_inventories_required,non_executable,false,not_approved,"Initial inventories remain blocked until approved numerical inputs exist."
MBIC14,future_numerical_input_gate,future_terminal_inventory_rule_table,data/03_Optimisation/inputs/assets/steel/s2_schema/terminal_inventory_rules_schema.csv,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,future_approved_input_required_before_execution,candidate_review_terminal_rules_as_live_parameter,approved_terminal_inventory_rules_required,non_executable,false,not_approved,"Terminal inventory rules remain blocked until approved numerical inputs exist."
MBIC15,future_numerical_input_gate,future_production_target_table,data/03_Optimisation/inputs/assets/steel/s2_schema/production_targets_schema.csv,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,future_approved_input_required_before_execution,candidate_review_targets_as_live_parameters,approved_production_targets_required,non_executable,false,not_approved,"Production-target values remain blocked until approved numerical inputs exist."
MBIC16,future_numerical_input_gate,future_validation_target_table,data/03_Optimisation/inputs/assets/steel/s2_schema/validation_targets_schema.csv,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,validation_target_reference_only,validation_target_as_constraint,validation_targets_cannot_drive_constraints,non_executable,false,blocked,"Validation targets may support checking later but must not become live constraints."
MBIC17,boundary_policy_contract,external_raw_material_boundary_policy,scripts/Data/04_Steel_Test_Case/steel/topology_queries.py,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,external_boundary_contract_only,external_raw_material_as_internal_flexibility_buffer,external_boundaries_must_remain_external,non_executable,false,interface_contract_only,"External raw-material supplies differ from internal flexibility buffers and must remain separate in future builder design."
MBIC18,sensitivity_metadata_contract,C1S_sensitivity_overlay_contract,data/03_Optimisation/inputs/assets/steel/s2_candidate_review/s2_configuration_scope_register.csv,C1S_phase1_sensitivity_variants,future_S2_builder,sensitivity_overlay_metadata_only,new_pathway_branch;new_topology_branch,C1S_must_remain_overlay_only,non_executable,false,interface_contract_only,"C1S may later modify approved overlay dimensions inside C1 only."
MBIC19,optional_later_metadata_contract,C2_optional_later_exogenous_hydrogen_contract,data/03_Optimisation/inputs/assets/steel/s2_candidate_review/s2_configuration_scope_register.csv,C2_exogenous_hydrogen_sensitivity_optional_later,optional_later_only,optional_later_metadata_only,main_configuration_branch;endogenous_hydrogen_production;on_site_electrolysis,C2_must_remain_optional_later_only,non_executable,false,interface_contract_only,"C2 remains optional later and exogenous-hydrogen-only."
MBIC20,reporting_contract,solver_status_reporting,future deterministic S2 runner outputs,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_execution,reporting_contract_required,missing_solver_status_reporting,solver_status_must_be_reported,non_executable,false,interface_contract_only,"Future executable work must report solver status explicitly."
MBIC21,reporting_contract,objective_reporting,future deterministic S2 runner outputs,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_execution,reporting_contract_required,missing_objective_reporting,objective_value_must_be_reported,non_executable,false,interface_contract_only,"Future executable work must report objective value explicitly."
MBIC22,reporting_contract,runtime_reporting,future deterministic S2 runner outputs,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_execution,reporting_contract_required,missing_runtime_reporting,runtime_must_be_reported,non_executable,false,interface_contract_only,"Future executable work must report runtime and solve diagnostics."
MBIC23,reporting_contract,variable_constraint_count_reporting,future deterministic S2 runner outputs,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_execution,reporting_contract_required,missing_variable_constraint_counts,model_size_stats_must_be_reported,non_executable,false,interface_contract_only,"Future executable work must report variable and constraint counts."
MBIC24,reporting_contract,infeasibility_diagnostics,future deterministic S2 runner outputs,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_execution,reporting_contract_required,missing_infeasibility_diagnostics,infeasibility_diagnostics_required,non_executable,false,interface_contract_only,"Future executable work must report infeasibility diagnostics when solve fails."
MBIC25,refusal_rule,refusal_of_candidate_review_values_unless_approved_later,data/03_Optimisation/inputs/assets/steel/s2_candidate_review,all,future_S2_builder,refusal_rule_active,candidate_review_value_as_model_parameter,candidate_review_values_cannot_drive_builder,non_executable,false,blocked,"Candidate-review values must stay blocked until explicitly approved later."
MBIC26,refusal_rule,refusal_of_validation_targets_as_constraints,data/03_Optimisation/inputs/assets/steel/s2_candidate_review/validation_targets_candidate_review.csv,all,future_S2_builder,refusal_rule_active,validation_target_as_constraint,validation_targets_cannot_drive_constraints,non_executable,false,blocked,"Validation targets may support checking only."
MBIC27,refusal_rule,refusal_of_annual_public_anchors_as_hourly_caps,data/03_Optimisation/inputs/assets/steel/s2_candidate_review/s2_deepsearch_f_candidate_assumption_register.csv,all,future_S2_builder,refusal_rule_active,annual_public_anchor_as_hourly_cap,annual_values_cannot_become_hourly_caps,non_executable,false,blocked,"Annual public anchors remain blocked from becoming hourly capacities."
MBIC28,refusal_rule,refusal_of_S3_DA_stochastic_mFRR_CVaR_product_revenue_order_book_logic,docs/optimisation/steel/STEEL_S2_S3_IMPLEMENTATION_SCOPE.md,all,S2_only,refusal_rule_active,S3_logic;DA_bidding;stochastic;mfrr;cvar;product_revenue;order_book,S2_builder_must_refuse_later_stage_logic,non_executable,false,blocked,"S2 builder contract excludes later-stage market, risk, and revenue logic."
MBIC29,refusal_rule,refusal_of_D_only_D_plus_4_comparison_logic,docs/optimisation/steel/STEEL_CONFIGURATION_SCOPE_FREEZE.md,all,S2_only,refusal_rule_active,D_only_comparison;D_plus_4_comparison,S2_builder_must_refuse_horizon_comparison_logic,non_executable,false,blocked,"D-only versus D+4 comparison logic is out of scope for the deterministic S2 builder contract."
