backlog_item_id,parameter_category,review_priority,why_review_needed,current_policy_status,future_decision_needed,affected_model_risk,suggested_review_stage,candidate_sources_available,sensitivity_likely_required,notes
FRB001,exact_DRI_HDRI_surge_capacity,high,Main_flexibility_buffer_capacity_drives_decoupling_value_and_feasibility,policy_recorded_but_no_exact_capacity_reviewed,Choose_relative_and_then_tonnes_capacity_basis_for_DRI_HDRI_surge,high_flexibility_value_and_feasibility_risk,S2_capacity_review_after_policy_bundle,F05;F02;review_packets,true,Review_after_store_capacity_governance_gate_not_before
FRB002,exact_cold_slab_WIP_capacity,high,Downstream_buffer_capacity_drives_medium_term_decoupling_and_target_feasibility,policy_recorded_but_no_exact_capacity_reviewed,Choose_cold_slab_or_slab_WIP_capacity_basis_and_later_tonnes_values,high_flexibility_value_and_validation_risk,S2_capacity_review_after_policy_bundle,F14;F15;review_packets,true,Cold_slab_or_slab_WIP_is_high_risk_for_final_thesis_use
FRB003,exact_hot_metal_buffer_capacity,medium,Needed_to_bound_secondary_BF_BOF_synchronisation_without_overstating_flexibility,secondary_buffer_policy_recorded_but_no_exact_capacity_reviewed,Choose_small_relative_hot_metal_buffer_basis_and_capacity_range,medium_feasibility_and_policy_risk,S2_capacity_review_after_main_buffers,F03;F02,true,Should_remain_secondary_not_main_flexibility
FRB004,exact_hot_slab_WIP_treatment_or_capacity,medium,Needed_to_decide_between_omit_tiny_transfer_or_tightly_bounded_thermal_WIP,treatment_restriction_recorded_but_numeric_policy_not_reviewed,Choose_omit_vs_tiny_feasibility_only_vs_small_thermal_buffer_treatment,medium_fake_flexibility_and_downstream_timing_risk,S2_special_case_review_after_main_buffers,F14;review_packets,true,Must_not_become_multi_hour_or_multi_day_arbitrage_buffer
FRB005,exact_conversion_coefficients,high,Future_builder_needs_explicit_values_after_convention_freeze,convention_recorded_but_no_values_reviewed,Review_recipe_yield_share_and_loss_coefficients_per_process,high_balance_and_feasibility_risk,S2_coefficient_review_after_convention_bundle,F02;technology_sources;candidate_review,true,Keep_validation_coefficients_separate_from_executable_coefficients
FRB006,process_bounds_and_annual_to_hourly_translation,high,Annual_public_anchors_cannot_become_executable_without_translation_method,translation_gate_blocked_and_process_policies_recorded,Choose_annual_to_hourly_method_and_process_specific_bound_structure,high_feasibility_and_validation_risk,S2_bound_review_after_policy_bundle,public_annual_anchors;candidate_review,true,Translation_method_must_be_reviewed_before_hourly_use
FRB007,production_target_basis_and_scale,high,Need_one_sink_or_carrier_basis_and_horizon_total_scale_before_future_target_rows,policy_recorded_but_basis_and_scale_not_reviewed,Choose_single_target_basis_and_later_target_scale_method,high_feasibility_and_comparison_risk,S2_target_review_after_policy_bundle,public_annual_anchors;candidate_review,true,No_route_specific_base_target_allowed
FRB008,store_capacity_sensitivity_ranges,high,High_risk_store_capacities_need_controlled_base_vs_sensitivity_ranges,store_policy_recorded_but_ranges_not_reviewed,Define_assumption_backed_capacity_ranges_for_main_buffers,high_flexibility_value_and_thesis_credibility_risk,S2_sensitivity_design_after_capacity_review,review_packets;Deepsearch_F,true,Store_capacities_should_be_reviewed_carefully_before_final_thesis_use
FRB009,DRP_turndown,high,Continuous_with_turndown_policy_requires_numeric_band_later,policy_recorded_but_no_turndown_band_reviewed,Choose_DRP_turndown_band_and_if_needed_sensitivity_range,high_feasibility_and_flexibility_risk,S2_process_bound_review_after_policy_bundle,technology_sources;candidate_review,true,No_free_on_off_cycling
FRB010,BF_near_must_run_band,high,Near_must_run_policy_requires_numeric_band_later,policy_recorded_but_no_band_reviewed,Choose_BF_near_must_run_band_and_related_sensitivity_range,high_feasibility_and_operability_risk,S2_process_bound_review_after_policy_bundle,public_process_context;candidate_review,true,No_free_hourly_start_stop_flexibility
FRB011,BOF_EAF_batch_equivalent_capacity,medium,Batch_equivalent_hourly_policy_needs_numeric_hourly_interpretation_later,policy_recorded_but_no_capacity_reviewed,Choose_batch_equivalent_hourly_capacity_basis_for_BOF_and_EAF,medium_feasibility_and_throughput_risk,S2_process_bound_review_after_policy_bundle,technology_sources;candidate_review,true,Avoid_perfect_dimmer_interpretation
FRB012,validation_target_selection,medium,Need_clean_validation_anchor_set_separate_from_live_constraints,validation_target_separation_policy_already_exists_but_selection_not_final,Choose_which_validation_targets_are_kept_for_stage_gate_and_reporting,medium_validation_credibility_risk,S2_validation_review_after_policy_bundle,validation_targets_candidate_review;review_plan,false,Validation_targets_must_not_turn_into_constraints_without_reclassification
