layer_id,layer_name,expected_status,source_module_present,runner_present,test_present,artifact_present,stage_status,current_status,issue,action_needed
C5f,KGF/coking,implemented,True,True,True,True,pass,present,,
C5g,WAG aggregate diagnostic hygiene,implemented,True,True,True,True,pass,present,,
C5h,BF and BF hot stove / BF WAG self-use,implemented,True,True,True,True,pass,present,,
C5j,BOF/OSF,implemented,True,True,True,True,pass,present,,
C5l_d,HSM/WBW with C5l_d base_0_50,implemented,True,True,True,True,pass,present,,
C5m,Sinter,implemented,True,True,True,True,pass,present,,
C5n_a,PEFA / Pelletizing,implemented,True,True,True,True,pass,present,,
C5n_b,Pellet burden balance and bulk-solid storage,implemented,True,True,True,True,pass,present,,
C5o_a,NG-DRP physical layer with DRI buffer/interface,implemented,True,True,True,True,pass,present,,
C5o_b,EAF minimal physical layer with DRI handoff,implemented,True,True,True,True,pass,present,,
C5o_c,DSP downstream physical layer,implemented,True,True,True,True,pass,present,,
C5p_a,Linde/ASU oxygen accounting,implemented,True,True,True,True,pass,present,,
C5 ledger,compact plant ledger/healthcheck,implemented,True,False,True,True,pass,present,,
C5 diagnostics,anchor/route/denominator diagnostics,implemented,True,True,True,True,pass,present,,
C5m_f,bounded coke reconciliation active baseline,implemented,True,True,True,True,pass,present,,
deferred_boiler,boiler/steam layer,not_yet_implemented,False,False,False,False,deferred_ok,not_present_as_expected,,
deferred_generator,Vattenfall/IJM01/VN24/VN25 generator interface,not_yet_implemented,False,False,False,False,deferred_ok,not_present_as_expected,,
