topology_id,carrier_or_interface,generated_by,consumed_by,stored_or_buffered_where,evidence_type,source_id,model_treatment,confidence,approval_status,caveat,notes
WET01,bfg,blast_furnaces,hot_stoves_and_internal_thermal_sinks_and_vattenfall_interface,generic_holder_possible_but_tata_capacity_unknown,generic_plus_tata_public,WD01;WD02;WD03,include,high,candidate_not_approved,Carrier split is approved only as structure and not as approved coefficient set,Core BF residual gas carrier in minimal S3
WET02,cog,coke_plants,batteries_internal_thermal_sinks_and_vattenfall_interface,network_buffering_not_publicly_quantified,tata_public,WD02,include,high,candidate_not_approved,Default Phase 1 keeps KGF1 and closes KGF2 so scarcity direction matters,Retain separate carrier and do not collapse into one aggregated WAG
WET03,bof_ld_gas,bof_converters,internal_thermal_sinks_and_vattenfall_interface,oxygas_holder_exists_capacity_unknown,tata_public_plus_generic,WD01;WD02,include,high,candidate_not_approved,Holder existence is public but capacity is not,Use optional simple holder logic only
WET04,mixed_gas,mixing_stations_or_energy_company,major_thermal_sinks,through_underlying_holders_only,generic_industry,WD07;WD08;WD09,later_only,medium,later_only,Mixed-gas setpoints and calorific control remain too under-specified for minimal S3,Keep out of B_lite default
WET05,natural_gas,external_import,dri_and_backup_thermal_sinks,none_explicit,mer_public,WD02,include,high,candidate_not_approved,No confidential purchase price or contract logic,Explicit import carrier needed for substitution logic
WET06,electricity,external_grid_and_vattenfall_interface,site_loads,none_explicit,public_topology,WD02;WD03;WD06,include,high,candidate_not_approved,Average demand is not connection capacity,Minimal S3 uses explicit electricity import not full internal dispatch
WET07,steam,waste_heat_and_power_units_and_utilities,dri_capture_utilities_and_other_sinks,internal_steam_system_not_fully_public,public_plus_generic,WD01;WD02;WD07,aggregate,medium,assumption_support,Detailed steam-pressure layers remain postponed,Only aggregate placeholder if needed before S3 plus
WET08,oxygen,utility_system,bof_and_eaf_and_related_processes,buffering_not_publicly_quantified,mer_public_plus_generic,WD02;WD16,validation_only,medium,validation_only_candidate,Detailed oxygen scheduling remains postponed,Keep as validation or later utility check only
WET09,hydrogen,external_supply_future_backbone,dri_route_future_state,none_default_phase1,mer_public,WD02,later_only,high,later_only,Default Phase 1 still starts with natural-gas DRI,Do not force hydrogen carrier into minimal S3 base case
WET10,dri_process_gas_tailgas,dri_process_loop,dri_heater_and_internal_recirc,local_process_loop_only,mer_public,WD02,later_only,high,later_only,Important physically but not part of first B_lite WAG backbone,Keep separate from classical BFG COG LD-gas layer
WET11,eaf_off_gas_heat_recovery,eaf_and_secondary_met,local_heat_recovery_or_steam_system,local_recovery_only,mer_public,WD02,later_only,medium,later_only,Recovery efficiency and steam integration not publicly robust enough,Can enter later as sensitivity or reporting module
WET12,vattenfall_interface,residual_gas_exports_and_power_heat_returns,site_power_and_heat_balance,external_interface_only,tata_public,WD02;WD03;WD05;WD06,include_as_interface,high,assumption_support,Minimal S3 treats Vattenfall as exogenous interface not a dispatch plant,No confidential contract or unit-commitment logic
