contract_step_id,step_order,step_name,input_dependency,output_object,allowed_in_s3_0b_a,allowed_in_s3_0b_b,requires_reviewed_coefficient,requires_capacity_limit,requires_emissions_rule,may_use_price_signal,may_optimise_objective,may_create_revenue,blocked_reason,validation_requirement,thesis_usability,notes
S30B_CALC_001,1,load_fixed_activity_profile_package,s3_0b_fixed_activity_profile_input_schema,fixed_activity_profile,false,true,false,false,false,false,false,false,S3.0b-a is contract only,Package must be canonical governed input not generated run folder,false,No loading code in S3.0b-a
S30B_CALC_002,2,validate_profile_provenance_and_units,s3_0b_activity_profile_provenance_policy,profile_validation_report,false,true,false,false,false,false,false,false,S3.0b-a is contract only,UTC timestamp timestep hours units source artifact ID path hash required,false,No validation code in S3.0b-a
S30B_CALC_003,3,calculate_wag_generation_by_carrier,wag_generation_coefficients,wag_generation_by_carrier,false,true,true,false,false,false,false,false,S3.0b-a is contract only,BFG BOFG LD gas and COG generation coefficients reviewed,false,Future calculation only
S30B_CALC_004,4,calculate_eligible_wag_use_modes,s3_wag_allocation_mode_register,wag_use_mode_eligibility,false,true,true,false,false,false,false,false,S3.0b-a is contract only,Use modes limited to fixed process-first hierarchy with proportional carrier allocation in shared stages,false,No price-responsive allocation or hierarchy sensitivity
S30B_CALC_005,5,apply_capacity_interface_constraints_if_reviewed,wag_to_power_capacity_interface_limit_or_potential_import_offset_mode,constrained_interface_use,false,true,true,true,false,false,false,false,S3.0b-a is contract only,Reviewed capacity or explicit potential_import_offset mode required before use,false,No unconstrained interface use and no Vattenfall dispatch
S30B_CALC_006,6,calculate_residual_flare_spill_unused_wag,flare_spill_residual_treatment,residual_wag_sink,false,true,true,false,true,false,false,false,S3.0b-a is contract only,Residual flare spill unused sink must be visible,false,Mandatory residual accounting
S30B_CALC_007,7,calculate_diagnostic_net_electricity_import_offset,net_electricity_import_offset_convention;site_electricity_demand_cap,diagnostic_net_import_offset,false,true,true,true,false,false,false,false,S3.0b-a is contract only,Offset is diagnostic only capped by site demand and not settlement,false,No export revenue and no power-market claim
S30B_CALC_008,8,calculate_diagnostic_natural_gas_substitution,natural_gas_displacement_factor;useful_energy_substitution_convention,diagnostic_ng_substitution,false,true,true,false,false,false,false,false,S3.0b-a is contract only,Natural gas displacement must be useful-energy based,false,Do not use raw one-to-one energy substitution
S30B_CALC_009,9,calculate_emissions_by_boundary_rule,wag_combustion_flare_emissions_factor;no_double_counting_emissions_boundary_rule;point_of_oxidation_ledger,diagnostic_emissions_by_boundary,false,true,true,false,true,false,false,false,S3.0b-a is contract only,Boundary rule must prevent double counting and count WAG once at oxidation or explicit transfer,false,No complete site-emissions or gross ETS claim from partial ledger
S30B_CALC_010,10,check_wag_mass_energy_balance_closure,wag_generation_and_use_outputs,wag_balance_residual,false,true,true,false,true,false,false,false,S3.0b-a is contract only,Balance residual must be reported,false,No hidden residual disposal
S30B_CALC_011,11,produce_diagnostic_output_tables,s3_0b_wag_diagnostic_output_schema,diagnostic_output_tables,false,true,true,false,true,false,false,false,S3.0b-a is contract only,Outputs must contain no price settlement or revenue fields,false,Development-only output
