source_card_id,source_item,source_status,structure_or_value,classification,figure_or_table,value,unit,c1_relevance,figure_caption_ambiguity_note
S33G_ATH_GAS_001,Section 3.3.2 Gas Network,existing_human_verified_source_packet_pdf_not_available_in_allowed_paths,gas network controller with WAG and NG substitution pathways,athanasiadis_source_backed_structure,Section 3.3.2,,,Defines named gas sinks and internal WAG routing context.,PDF-direct check blocked because the thesis PDF was not present in the allowed checked locations.
S33G_ATH_GAS_002,main plants gas controller,existing_prompt_screenshot_and_research_memo_context,"HSM, Coking Plant 1, pelletizing firing, and pelletizing grinding gas-fuel pathways",athanasiadis_source_backed_structure,Figure 31 in extracted text; uploaded screenshot caption ambiguity recorded,,,Supports named process gas sinks but not every numeric allocation.,User notes screenshots show main-plants controller; extracted text maps this to Figure 31 while Figure 32 refers to boilers/steam.
S33G_ATH_GAS_003,boiler and steam demand gas controller,existing_prompt_screenshot_and_research_memo_context,boilers consume WAGs and/or natural gas to satisfy plant and residual steam demand,athanasiadis_model_assumption,Figure 32 in extracted text,,,Supports explicit boiler_steam_ng and boiler_steam_wag diagnostic sinks.,Caption numbering not reverified against PDF because the PDF was not available locally in allowed paths.
S33G_ATH_GAS_004,"Vattenfall generators IJ01, VN24, VN25",existing_prompt_screenshot_and_research_memo_context,"generator gas mixture limited by gas availability, contracts, prices, and LHV constraints; VN24 backup",athanasiadis_model_assumption,Figure 33 in extracted text,,,"Supports LHV-limited WAG-to-power diagnostic mechanism, not a fitted WAG availability factor.",PDF-direct figure check not completed for lack of local PDF in allowed paths.
S33G_ATH_GAS_005,upper generator mixture heating value,source_needed_for_approved_input,upper mixture heating value around 5,diagnostic_only,Figure 33 surrounding explanation,5.0,MJ/m3,Used only to label Vattenfall LHV-limited generation cases.,
S33G_ATH_GAS_006,COG lower heating value,source_needed_for_approved_input,COG LHV,diagnostic_only_numeric,Gas-network explanation,18.5,MJ/m3,Classifies high-LHV gas injection paths.,
S33G_ATH_GAS_007,BOFG lower heating value,source_needed_for_approved_input,BOFG LHV,diagnostic_only_numeric,Gas-network explanation,8.6,MJ/m3,Classifies pelletizing grinding fuel substitution path.,
S33G_ATH_GAS_008,BFG lower heating value,source_needed_for_approved_input,BFG LHV,diagnostic_only_numeric,Gas-network explanation,3.85,MJ/m3,Classifies generator BFG-equivalent WAG use.,
S33G_ATH_GAS_009,NG lower heating value,source_needed_for_approved_input,NG LHV,diagnostic_only_numeric,Gas-network explanation,37.5,MJ/m3,Classifies external NG sink energy basis.,
S33G_ATH_GAS_010,Phase 1 Table 9 / Figure 104,human_verified_s3_3_target_packet,C1 target boundary used for diagnostic scoring only,athanasiadis_source_backed_target,Table 9 and Figure 104,,,C1 alignment score target; not used to back-calculate a residual.,
