mapping_id,s3_accounting_object,source_boundary,source_object_id,source_object_type,allowed_mapping_status,may_change_source_object,may_create_new_activity_variable,may_create_new_store,may_receive_accounting_coefficient,may_drive_objective_in_s3_0a,allowed_future_stage,blocked_reason,review_status,thesis_usability,notes
S30A_MAP_001,BF activity accounting,S2_11_flexible_metallic_core,c0_blast_furnace;c1_retained_blast_furnace,process_activity,read_only_mapping,false,false,false,true,false,S3_0c,S3.0a is schema only,not_approved,false,May later receive energy emissions cost or WAG generation coefficients
S30A_MAP_002,BOF activity accounting,S2_11_flexible_metallic_core,c0_bof_converter;c1_retained_bof_converter,process_activity,read_only_mapping,false,false,false,true,false,S3_0c,S3.0a is schema only,not_approved,false,May later receive energy emissions cost or WAG generation coefficients
S30A_MAP_003,DRP activity accounting,S2_11_flexible_metallic_core,c1_ng_drp,process_activity,read_only_mapping,false,false,false,true,false,S3_0c,S3.0a is schema only,not_approved,false,C1 only
S30A_MAP_004,EAF activity accounting,S2_11_flexible_metallic_core,c1_eaf,process_activity,read_only_mapping,false,false,false,true,false,S3_0c,S3.0a is schema only,not_approved,false,C1 only
S30A_MAP_005,Hot-metal buffer accounting,S2_11_active_store_freeze,c0_hot_metal_buffer;c1_hot_metal_buffer,active_first_buffer_store,read_only_mapping,false,false,false,false,false,S3_0c,Active stores remain S2.11 buffers only,not_approved,false,No new store or capacity change
S30A_MAP_006,DRI/HDRI buffer accounting,S2_11_active_store_freeze,c1_dri_hdri_buffer,active_first_buffer_store,read_only_mapping,false,false,false,false,false,S3_0c,Active stores remain S2.11 buffers only,not_approved,false,No new store or capacity change
S30A_MAP_007,Secondary metallurgy accounting,S2_12_downstream_continuation,c0_secondary_metallurgy_continuation;c1_secondary_metallurgy_continuation,throughput_coupled_downstream_node,read_only_mapping,false,false,false,true,false,S3_0c,Downstream node cannot become flexible scheduling,not_approved,false,Accounting coefficient candidate only
S30A_MAP_008,Casting accounting,S2_12_downstream_continuation,c0_casting_continuation;c1_casting_continuation,throughput_coupled_downstream_node,read_only_mapping,false,false,false,true,false,S3_0c,Casting cannot create slab inventory in S3.0a,not_approved,false,Accounting coefficient candidate only
S30A_MAP_009,Slab handling and transfer accounting,S2_12_downstream_continuation,c0_slab_transfer_continuation;c1_slab_transfer_continuation,throughput_coupled_downstream_node,read_only_mapping,false,false,false,true,false,S3_0c,Cold slab and slab-WIP storage remain blocked,not_approved,false,Accounting coefficient candidate only
S30A_MAP_010,Reheating accounting,S2_12_downstream_continuation,c0_reheating_continuation;c1_reheating_continuation,throughput_coupled_downstream_node,read_only_mapping,false,false,false,true,false,S3_0c,Reheating cannot become flexible dispatch in S3.0a,not_approved,false,Accounting coefficient candidate only
S30A_MAP_011,HSM downstream boundary accounting,S2_12_downstream_continuation,c0_hsm_downstream_boundary;c1_hsm_downstream_boundary,target_boundary_candidate,read_only_mapping,false,false,false,true,false,S3_0c,HSM boundary is not a flexible scheduling asset,not_approved,false,Future target-boundary candidate only
S30A_MAP_012,ASU oxygen interface accounting,S2_12_accounting_auxiliary,c0_asu_oxygen_interface;c1_asu_oxygen_interface,accounting_only_auxiliary_interface,read_only_mapping,false,false,false,true,false,S3_0c,Auxiliary dispatch is not reopened,not_approved,false,Accounting-only auxiliary class
S30A_MAP_013,WAG producer accounting,S2_12_wag_boundary,c0_bfg_boundary_node;c0_bofg_ld_gas_boundary_node;c0_cog_boundary_candidate;c1_bfg_boundary_node;c1_bofg_ld_gas_boundary_node;c1_cog_boundary_candidate,wag_producer_or_boundary_candidate,read_only_mapping,false,false,false,true,false,S3_0b,WAG production cannot create free revenue,not_approved,false,Fixed-profile diagnostic candidate
