parameter_id,parameter_group,unit,activity_basis,lower,central,upper,source_or_policy_basis,evidence_tier,model_use_status,limitations,sensitivity_status,classification
residual_auxiliary_electricity_scale,residual auxiliary electricity,multiplier,residual MWh/t final product,1.0,1.0,5.0,S3.1 residual auxiliary electricity selected row with S3.3 calibration range,D,calibration_parameter,Aggregate site-electricity closure; weakly physically identified.,eligible,calibratable
downstream_electricity_scale,caster/DSP/HSM/ASU electricity intensity scales,multiplier,selected downstream and ASU MWh/t coefficients,0.75,1.0,1.5,S3.1 selected coefficient ranges,D,calibration_parameter,Grouped scale cannot identify individual plant components.,eligible,calibratable
residual_c0_ng_m3_per_t_final,residual C0 natural-gas demand,m3/t_final_product,per tonne final product,0.0,0.0,70.0,Explicit S3.3 residual site NG closure parameter,D,calibration_parameter,Required because represented C0 process heat can be fully WAG-served.,eligible,calibratable
steam_process_heat_scale,steam/boiler/process-heat demand scale,multiplier,WAG process and steam useful demand,0.8,1.0,1.5,S3.1 WAG heat-use assumptions,D,calibration_parameter,Aggregates several heat sinks.,eligible,calibratable
bfg_generation_nm3_per_t_hot_metal,BFG generation yield,Nm3/t_hot_metal,per tonne BF hot metal,1200.0,1600.0,2000.0,STEEL-SC-0001 JRC/BREF range,B/C,calibration_parameter,Not Tata-exact.,eligible,calibratable
cog_generation_m3_per_t_dry_coal,COG generation yield,m3/t_dry_coal,per tonne dry coal,280.0,365.0,450.0,STEEL-SC-0001 JRC/BREF range,B/C,calibration_parameter,Not Tata-exact.,eligible,calibratable
bofg_generation_nm3_per_t_liquid_steel,BOFG generation yield,Nm3/t_liquid_steel,per tonne BOF liquid steel,50.0,75.0,100.0,STEEL-SC-0001 JRC/BREF range,B/C,calibration_parameter,Suppressed-combustion proxy.,eligible,calibratable
wag_lhv_scale,carrier LHV scale,multiplier,BFG COG BOFG LHV values,0.9,1.0,1.1,S3.0b selected WAG LHV ranges collapsed to compact group,B/C,calibration_parameter,Grouped LHV scale weakens carrier-level identifiability.,eligible,calibratable
wag_to_power_efficiency_fraction,WAG-to-power efficiency,fraction,per GJ WAG fuel input,0.321,0.3715,0.422,S3.0b selected WAG-to-power efficiency range,B/C,calibration_parameter,"Interface proxy, not Vattenfall dispatch.",eligible,calibratable
wag_residual_utilisation_fraction,WAG residual utilisation/interface limit,fraction,residual WAG after mandatory heat uses,0.5,0.5,1.0,S3.3 policy range extends S3.2 no-export interface to test near-zero normal flare,D,calibration_parameter,Not export revenue; bounded internal generation only.,eligible,calibratable
coal_primary_energy_factor_gj_per_t_dry_coal,coal/coke primary-energy factor,GJ/t_dry_coal,per tonne coking dry coal proxy,25.0,29.3,52.0,S3.3 Athanasiadis-compatible carrier proxy factor,D,calibration_parameter,Primary-energy proxy only; not a WAG double-counting term.,eligible,calibratable
bf_bof_aggregate_direct_co2_t_per_t_bof,BF-BOF/coking residual direct-emissions factor,tCO2/t_BOF_liquid_steel,per tonne BOF liquid steel,1.6,1.8,2.5,S3.2 BF-BOF aggregate direct CO2 proxy range extended for C0 target fitting,D,calibration_parameter,Boundary uncertain; cannot be interpreted as Tata-exact.,eligible,calibratable
c1_route_share,C1 route share,fraction,BF-BOF share,0.55,0.61,0.68,User-confirmed C1 holdout route-share scenarios,D,holdout_scenario,Not used in C0 calibration score.,eligible,holdout/scenario
drp_natural_gas_intensity,DRP NG intensity,multiplier,C1 DRP m3/t steel,0.8,1.0,1.3,Athanasiadis C1 component source,B,holdout_sensitivity_only,Not varied in S3.3 C0 calibration.,eligible,holdout/scenario
da_prices,price parameters,not_applicable,market prices,0.0,0.0,0.0,S3.3 physical calibration policy,not_applicable,excluded,Prices must not calibrate physical energy and emissions targets.,eligible,excluded
production_target,production target,t/year,annual final product,6200000.0,6200000.0,6200000.0,User-confirmed 6.2 Mt calibration scale,D,fixed_physical_parameter,Not varied.,eligible,fixed physical
slab_yard_capacity,storage capacity,t_slab,absolute cold slab yard,25000.0,25000.0,25000.0,Athanasiadis S2.13a amendment,B,fixed_physical_parameter,Not varied in base calibration.,eligible,fixed physical
hot_metal_buffer_capacity,storage capacity,t_hot_metal,absolute hot-metal buffer,500.0,500.0,500.0,Athanasiadis Figure 65,B,fixed_physical_parameter,Not varied.,eligible,fixed physical
