scenario_id,configuration,metric,raw_source_value_mt_y,active_central_mt_y,annual_lower_mt_y,annual_upper_mt_y,band_relative_tolerance,physical_quantity_attribute,model_expression,scenario_definition_status,constraint_status,independent_validation_status,reporting_context_status,source_status,source_locator,unit,caveat
c0_c1_mer_fixed_reference_v1,C0,bof_liquid_steel,7.2,7.043478261,7.008260870,7.078695652,0.005,C0_BOF_crude_steel_output_t,sum basic_oxygen_furnace,scenario_definition,cumulative_reference_band,excluded_scenario_definition,reported_separately,boundary_reconciled_development,MER annual rounded reference volumes and accepted v2 reference_definition.csv,Mt/y,No hourly schedule or fixed throughput.
c0_c1_mer_fixed_reference_v1,C0,hsm_final_output,5.4,5.282608696,5.256195652,5.309021739,0.005,C0_HSM_final_product_t,sum hot_strip_mill times governed yield,scenario_definition,cumulative_reference_band,excluded_scenario_definition,reported_separately,boundary_reconciled_development,MER annual rounded reference volumes and accepted v2 reference_definition.csv,Mt/y,Downstream cumulative band only.
c0_c1_mer_fixed_reference_v1,C0,dsp_final_output,1.5,1.467391304,1.460054348,1.474728261,0.005,C0_DSP_final_product_t,sum direct_sheet_plant times governed yield,scenario_definition,cumulative_reference_band,excluded_scenario_definition,reported_separately,boundary_reconciled_development,MER annual rounded reference volumes and accepted v2 reference_definition.csv,Mt/y,Downstream cumulative band only.
c0_c1_mer_fixed_reference_v1,C0,site_final_product_quota,6.75,6.75,6.75,,0,final_product_output_t,cumulative executed final product,not_scenario_definition,cumulative_quota_lower_bound,excluded_user_selected_target,quota_reporting,accepted_development,PROJECT_DECISIONS.md product denominator contract,Mt/y,Hard lower-bound quota remains separate from reference bands.
c0_c1_mer_fixed_reference_v1,C1,bof_liquid_steel,3.4,3.329952026,3.313302265,3.346601786,0.005,C1_BOF_liquid_steel_output_t_h,sum retained BOF liquid steel,scenario_definition,cumulative_reference_band,excluded_scenario_definition,reported_separately,boundary_reconciled_development,MER annual rounded reference volumes and accepted v2 reference_definition.csv,Mt/y,Fixed cumulative route scenario without hourly fixing.
c0_c1_mer_fixed_reference_v1,C1,eaf_liquid_steel,3.3,3.232012260,3.215852199,3.248172321,0.005,C1_EAF_liquid_steel_output_t_h,sum EAF liquid steel,scenario_definition,cumulative_reference_band,excluded_scenario_definition,reported_separately,boundary_reconciled_development,MER annual rounded reference volumes and accepted v2 reference_definition.csv,Mt/y,Fixed cumulative route scenario without hourly fixing.
c0_c1_mer_fixed_reference_v1,C1,hsm_final_output,5.5,5.303571429,5.277053571,5.330089286,0.005,C1_HSM_final_product_output_t,sum HSM final product,scenario_definition,cumulative_reference_band,excluded_scenario_definition,reported_separately,boundary_reconciled_development,MER annual rounded reference volumes and accepted v2 reference_definition.csv,Mt/y,All slab origins receive the same governed HSM conversion.
c0_c1_mer_fixed_reference_v1,C1,dsp_final_output,1.5,1.446428571,1.439196429,1.453660714,0.005,C1_DSP_final_product_output_t,sum DSP final product,scenario_definition,cumulative_reference_band,excluded_scenario_definition,reported_separately,boundary_reconciled_development,MER annual rounded reference volumes and accepted v2 reference_definition.csv,Mt/y,Imported slab cannot enter DSP.
c0_c1_mer_fixed_reference_v1,C1,imported_slab,0.6,0.578571429,0.575678571,0.581464286,0.005,C1_imported_slab_to_HSM_t_h,sum actual imported slab to HSM,scenario_definition,cumulative_reference_band,excluded_scenario_definition,reported_separately,boundary_reconciled_development,MER annual rounded reference volumes and accepted v2 reference_definition.csv,Mt/y,Actual use remains below the separate 0.6 Mt/y physical cap.
c0_c1_mer_fixed_reference_v1,C1,imported_slab_cap,0.6,0.6,,0.6,0,C1_imported_slab_to_HSM_t_h,rolling-horizon converted annual cap,not_scenario_definition,physical_upper_bound,excluded_physical_constraint,reported_separately,boundary_reconciled_development,PROJECT_DECISIONS.md imported-slab boundary,Mt/y,Cap is never a priced quantity.
c0_c1_mer_fixed_reference_v1,C1,site_final_product_quota,6.75,6.75,6.75,,0,final_product_output_t,cumulative executed final product,not_scenario_definition,cumulative_quota_lower_bound,excluded_user_selected_target,quota_reporting,accepted_development,PROJECT_DECISIONS.md product denominator contract,Mt/y,Hard lower-bound quota remains separate from reference bands.
