parameter_id,base_value,low_value,high_value,unit,parameter_group,source_card,input_status,thesis_usability,human_review_required,codex_may_decide,evidence_strength,caveat
DSP_OUTPUT_BASIS,t DSP hot-rolled coil,,,-,activity_basis,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Activity basis is final DSP coil output.
DSP_RECONCILIATION_MODE,preserve_current_C5_downstream_routing_and_replace_DSP_placeholder,,,-,downstream_policy,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Use existing C5l_d DSP placeholder as active output and wrap it in explicit DSP process accounting.
DSP_C0_OUTPUT_ANNUAL_MT_Y,1.5,,,Mt/y,validation_anchor,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Raw MER anchor only; not hourly dispatch truth.
DSP_C1_OUTPUT_ANNUAL_MT_Y,1.5,,,Mt/y,validation_anchor,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Raw MER anchor only; not hourly dispatch truth.
DSP_C0_SHARE_OF_OSF_TO_DSP,0.2,,,fraction,route_share_anchor,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,C0 route-share validation anchor; not a hidden constraint.
DSP_C1_EAF_ROUTE_SHARE_OF_DSP,0.9,,,fraction,route_share_anchor,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,C1 EAF-route share validation anchor; current C5 pooled route cannot fully track origin.
DSP_C0_ACTIVE_TARGET_SCALING_DENOMINATOR_MT_Y,7.2,,,Mt liquid steel/y,anchor_scaling_context,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Used only to report active-scaled anchor gap.
DSP_C1_ACTIVE_TARGET_SCALING_DENOMINATOR_MT_Y,6.8,,,Mt liquid steel/y,anchor_scaling_context,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Used only to report active-scaled anchor gap.
DSP_PROCESS_CHANGED_IN_C1,false,,,boolean,topology_anchor,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Public MER states DSP process remains structurally unchanged.
DSP_ALLOWED_INPUT_C0,BOF/OSF liquid steel,,,carrier,topology,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,C0 input topology only; route-origin shares are validation checks.
DSP_ALLOWED_INPUT_C1,BOF/OSF liquid steel + EAF-route liquid steel,,,carrier,topology,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,C1 input topology only; pooled C5 interface cannot yet prove exact origin split.
DSP_LIQUID_STEEL_INPUT_T_PER_T_COIL_BASE,1.05,1.03,1.07,t liquid steel/t coil,material,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,"Compact yield assumption, not Tata-validated."
DSP_COIL_YIELD_T_PER_T_LS_DERIVED,0.9523809523809523,,,t coil/t liquid steel,material_check,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_diagnostic,false,true,false,source_card_candidate_not_Tata_validated,Derived inverse check only.
DSP_INTERNAL_SCRAP_LOSS_T_PER_T_COIL_DERIVED,0.05,,,t/t coil,material_diagnostic,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_diagnostic,false,true,false,source_card_candidate_not_Tata_validated,Internal route loss/cutting loss reporting; not free EAF scrap.
DSP_INTERNAL_SCRAP_RECYCLED,true,,,boolean,scrap_topology_reporting,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Topology/reporting only unless governed internal scrap loop is active.
DSP_ELECTRICITY_MWH_PER_T_COIL_BASE,0.056,0.028,0.111,MWh_e/t coil,electricity,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Development rolling/casting electricity candidate; not DA-responsive.
DSP_TOTAL_FINAL_ENERGY_GJ_PER_T_BEST_PRACTICE,0.2,,,GJ/t coil,validation_check,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,development_diagnostic,false,true,false,source_card_candidate_not_Tata_validated,Best-practice cross-check only; not additive to active electricity.
