parameter_id,description,unit,public_evidence_source_type,model_role,suitable_phase,approval_status,proxy_or_site_specific,caveat,notes
NET_ELEC_IMPORT_CAP,Electricity import capacity,MW,contract_or_connection_data,constraint,S3,candidate_not_approved,site_specific_required,Do not infer from average demand,Physical or contractual cap candidate
NET_ELEC_EXPORT_CAP,Electricity export capacity,MW,contract_or_connection_data,constraint,S4,candidate_not_approved,site_specific_required,Only relevant if export is allowed later,Keep separate from import rights
NET_CONTRACTED_TRANSPORT_IMPORT,Contracted transport capacity import,MW_or_kW,public_tariff_structure_or_contract,constraint_or_tariff_basis,S3,candidate_not_approved,proxy_or_site_specific,Contracted rights are not the same as technical connection cap,Separate field required by N1 policy
NET_CONTRACTED_TRANSPORT_EXPORT,Contracted transport capacity export,MW_or_kW,public_tariff_structure_or_contract,constraint_or_tariff_basis,S4,candidate_not_approved,proxy_or_site_specific,Export rights may differ from import rights,Separate field required
NET_TECH_CONNECTION_CAP,Technical connection capacity,MVA_or_MW,engineering_or_connection_data,constraint,S3,candidate_not_approved,site_specific_required,Do not use tariff-sheet values as proof,Absolute upper-bound concept only
NET_AVERAGE_DEMAND_TARGET,Average demand validation target,average_MW,public_reporting,validation_target,S3,validation_only,public_validation_only,Must never be used as connection capacity,Validation anchor only
NET_FIXED_NETWORK_CHARGE,Fixed network charge,EUR_per_period,public_tariff_sheet,cost_input,S3,candidate_not_approved,proxy_public_nl_structure,Proxy only and not Tata contract truth,Part of N1 tariff proxy
NET_CONTRACT_CAPACITY_TARIFF,Contracted-capacity tariff,EUR_per_kW_period,public_tariff_sheet,cost_input,S3,candidate_not_approved,proxy_public_nl_structure,Structure can vary by network segment or contract form,Separate from volumetric tariff
NET_PEAK_CAPACITY_TARIFF,Peak-capacity tariff or maximum-month demand component,EUR_per_kW_peak_period,public_tariff_sheet,cost_input,S3,candidate_not_approved,proxy_public_nl_structure,May depend on tariff design and market segment,Keep explicit if used
NET_VOLUMETRIC_TARIFF,Volumetric network tariff,EUR_per_MWh,public_tariff_sheet,cost_input,S3,candidate_not_approved,proxy_public_nl_structure,Often smaller than energy price but not zero,Separate from capacity charges
NET_FLEX_OFFPEAK_CONTRACT,Flexible or off-peak contract sensitivity,rule_or_discount,public_regulatory_context,sensitivity_only,S3,sensitivity_only,proxy_public_nl_structure,Do not assume any site has this contract by default,Later sensitivity under N1 proxy
NET_TAXES_LEVIES,Taxes or levies if relevant,EUR_per_MWh_or_period,public_policy_context,cost_input,S4,sensitivity_only,proxy_public_nl_structure,Too context-specific for the first minimal layer,Keep optional and explicit
NET_IMBALANCE_SETTLEMENT_LATER,Imbalance or settlement cost later,EUR_per_MWh,market_rules_or_tso_data,later_market_layer,S5,later_only,site_and_market_specific,Not part of current governance stage,Reserved for later market implementation
