parameter_id,parameter_class,s3_3h_use,unit,lower,upper,basis,source_status,approved_input_status,c0_retuned,notes
c1_route_share,C1-only,varied_block_a,fraction BF-BOF,0.5033645161290323,0.55,C1 route-share scenario; not applied to C0 regression.,source_carded_scenario,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
hsm_fuel_substitution_ng,C1-only,varied_block_a,PJ_NG_NCV/year,7.936,9.3,HSM/reheating NG range from S3.3g source-card review.,source_supported_numeric,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
pelletizing_firing_ng,C1-only,varied_block_a,PJ_NG_NCV/year,1.50672,2.26008,Pelletizing firing NG range from S3.3g source-card review.,governed_provisional_numeric,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
boiler_steam_ng,C1-only,varied_block_a_gap_sizing,PJ_NG_NCV/year,0.0,6.0,0-2 PJ/y existing diagnostic range; 3/4/6 PJ/y labelled gap-sizing only.,diagnostic_only_extended,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
boiler_steam_wag,C1-only,varied_block_a_gap_sizing,PJ_WAG_NCV/year,0.0,6.0,0-2 PJ/y existing diagnostic range; 3/4/6 PJ/y labelled gap-sizing only.,diagnostic_only_extended,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
vattenfall_generator_bfg_equivalent_wag,C1-only,varied_block_a,fraction,0.5,1.0,C1-only Vattenfall/LHV interface diagnostic; not applied to C0 regression.,existing_governed_diagnostic,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
downstream_electricity_scale,shared,varied_block_b_with_c0_regression,multiplier,0.75,1.5,Grouped downstream and ASU electricity scale with governed range.,governed_shared_parameter,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
residual_auxiliary_electricity_scale,shared,varied_block_b_with_c0_regression,multiplier,1.0,5.0,Shared residual auxiliary electricity closure parameter.,governed_shared_parameter,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
wag_to_power_efficiency_fraction,shared,varied_block_b_with_c0_regression,fraction,0.321,0.422,Shared WAG-to-power efficiency range; not an arbitrary WAG availability factor.,governed_shared_parameter,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
wag_lhv_scale,shared,varied_block_b_with_c0_regression,multiplier,0.9,1.1,Shared grouped WAG LHV scale.,governed_shared_parameter,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
eaf_electricity_intensity,shared,not_varied_source_needed,MWh/t,,,"Relevant category, but no independent governed S3.3 calibration knob exists in the current runner.",source_needed_not_exposed,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
drp_electricity_intensity,shared,not_varied_source_needed,MWh/t,,,"Relevant category, but no independent governed S3.3 calibration knob exists in the current runner.",source_needed_not_exposed,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
residual_c0_ng_m3_per_t_final,forbidden,blocked,m3/t_final_product,,,Inherited C0 residual NG must not be used as C1 fit term.,rejected_gap_closure,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
c1_residual_ng_boundary_m3_per_t_final,forbidden,blocked,m3/t_final_product,,,Back-calculated Table 9 residual NG closure is forbidden.,rejected_gap_closure,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
c1_wag_availability_factor,forbidden,blocked,fraction,,,Arbitrary WAG availability factor remains forbidden.,rejected_arbitrary_factor,not_approved_input,false,S3.3h diagnostic alignment only; no freeze or S4 entry.
