candidate_id,parameter_family,parameter_name,carrier,linked_activity_or_node,configuration_relevance,candidate_lower,candidate_central,candidate_upper,unit,activity_basis,energy_basis,time_basis,source_card_ids,source_locator,evidence_strength,recommended_status,central_value_method,eligible_for_dev_smoke_review,eligible_for_thesis_input,human_review_required,thesis_usability,codex_may_decide,main_caveat,notes
STEEL-WAG-EVID-0001,wag_generation_coefficient,bfg_generation_per_tonne_hot_metal,BFG,blast_furnace_activity,both,1200,not_reported,2000,Nm3/t_hot_metal,per tonne hot metal,gas_volume,not_applicable,STEEL-SC-0001,Table 6.8; Chapter 6,high,candidate_range,not_reported,true,false,true,false,false,EU sector range not Tata-specific; no hourly cap without translation assumptions,
STEEL-WAG-EVID-0002,wag_energy_output,bfg_energy_output_per_tonne_hot_metal,BFG,blast_furnace_activity,both,3377,not_reported,6061,MJ/t_hot_metal,per tonne hot metal,gas_energy_output,not_applicable,STEEL-SC-0001,Table 6.8; Chapter 6,high,candidate_range,not_reported,true,false,true,false,false,EU sector energy-output range not Tata-specific,
STEEL-WAG-EVID-0003,lower_heating_value,bfg_lhv,BFG,bfg_carrier,both,2.7,not_reported,4.0,MJ/Nm3,gas property,LHV,not_applicable,STEEL-SC-0001,Table 6.8; Chapter 6,high,candidate_range,not_reported,true,false,true,false,false,Actual LHV depends on composition and basis,
S32_EVID_SLAB_YARD_25000T,slab_yard_capacity,capacity_absolute_t,cold_slab_yard,slab_yard,both,3260.27088,25000,50000,t_slab,absolute cold-slab inventory capacity,not_applicable,static,STEEL-SC-S32-ATHANASIADIS-SLAB-YARD,human verified public thesis slab storage limit,medium,selected_development_input,central from public thesis with legacy and upper sensitivities,true,false,true,false,false,Not Tata-exact and not validation eligible; upper is diagnostic only,
S32_EVID_SLAB_YARD_INITIAL_INVENTORY,slab_yard_inventory,initial_inventory_absolute_t,cold_slab_yard,slab_yard,both,1630.13544,1630.13544,1630.13544,t_slab,absolute initial inventory,not_applicable,static,STEEL-SC-S32-ATHANASIADIS-SLAB-YARD,derived from pre-amendment S2.13 12h capacity and 50 percent inventory policy,medium,selected_development_input,preserved absolute initial inventory,true,false,true,false,false,Prevents larger capacity from creating free starting stock,
S32_EVID_GRID_SCOPE2_OPERATIONAL,scope2_grid_factor,scope2_operational_tco2_per_mwh,grid_electricity,grid_import,both,0.20,0.20,0.20,tCO2/MWh,per MWh grid import,operational_scope2,static,STEEL-SC-S32-CBS-GRID-2024,human verified CBS 2024 average electricity-production factor,medium,selected_development_input,user supplied central factor,true,false,true,false,false,Scope 2 reporting only; excluded from ETS cost,
S32_EVID_GRID_LIFECYCLE_SCOPE2,scope2_grid_factor,grid_lifecycle_tco2e_per_mwh,grid_electricity,grid_import,both,0.268,0.268,0.268,tCO2e/MWh,per MWh grid import,full_chain_sensitivity,static,STEEL-SC-S32-GRID-LIFECYCLE-2024,human verified Dutch grid-mix total factor,medium,sensitivity_only,user supplied sensitivity factor,true,false,true,false,false,Not added to operational factor,
S32_EVID_ELECTRICITY_PRICE_2024,static_price,grid_electricity_price_eur_per_mwh,grid_electricity,grid_import,both,57.9675,77.29,96.6125,EUR/MWh,per MWh grid import,price,static,STEEL-SC-S32-NL-DA-PRICE-2024,human verified Netherlands 2024 average day-ahead price,medium,selected_development_input,central plus Tier-D +/-25 percent sensitivity,true,false,true,false,false,No hourly DA logic,
S32_EVID_TTF_GAS_2024,static_price,natural_gas_price_eur_per_mwh_th,natural_gas,gas_import,both,27.56,33.50,43.30,EUR/MWh-th,per MWh thermal,price,static,STEEL-SC-S32-TTF-GAS-2024,human verified 2024 TTF static sensitivity set,medium,selected_development_input,user supplied low central high,true,false,true,false,false,EUR/GJ row derived by divide by 3.6,
S32_EVID_EUA_PRICE_2024,static_price,gross_co2_price_eur_per_t,direct_emissions,total_direct_co2,both,50,65,80,EUR/tCO2,per t direct CO2,price,static,STEEL-SC-S32-EUA-PRICE-2024,human verified static EUA sensitivity set,medium,selected_development_input,user supplied low central high,true,false,true,false,false,No free allocation or Scope 2 charging,
