parameter_id,category,carrier,description,value_or_range,unit,source_id,source_quality,confidence,suitable_use,required_phase,approval_status,public_or_derived,caveat,notes
WAG_BFG_GEN_HM,gas_generation_coeff,bfg,Blast-furnace gas generation per tonne hot metal,1200-2000,Nm3/t_HM,WD01,high,high,candidate_input,S3,candidate_not_approved,public,Generic BREF range and not Tata-specific,Use as range family only
WAG_BFG_LHV,gas_lhv,bfg,Blast-furnace gas lower heating value,2.7-4.0,MJ/Nm3,WD01,high,high,candidate_input,S3,candidate_not_approved,public,Keep as generic range and not as approved plant constant,Useful for energy-balance conversion
WAG_BFG_COMPOSITION,gas_composition,bfg,Blast-furnace gas composition range,CO 20-28 vol%; H2 1-5 vol%; CO2 17-25 vol%,vol_percent,WD01,high,high,candidate_input,S3,candidate_not_approved,public,Public generic composition only,Use for candidate emissions logic or checks
WAG_COG_GEN_COAL,gas_generation_coeff,cog,Coke-oven gas generation per tonne coal or coke basis,280-450,m3/t_coal_equivalent,WD01,high,medium-high,validation_or_candidate,S3,candidate_not_approved,public,Definition basis must be frozen before use,Do not mix coal-basis and coke-basis silently
WAG_COG_LHV,gas_lhv,cog,Coke-oven gas lower heating value,16-20,MJ/Nm3,WD01;WD16,high,high,candidate_input,S3,candidate_not_approved,public,Keep generic and review basis carefully,High-value carrier compared with BFG
WAG_COG_COMPOSITION,gas_composition,cog,Coke-oven gas composition range,H2 approx_55-65 vol%; CH4 approx_23-30 vol%; CO approx_4-8 vol%,vol_percent,WD01;WD16,medium-high,medium-high,candidate_input,S3,candidate_not_approved,public,Supporting source includes simplified factsheet composition,Use as candidate range family only
WAG_BOF_GEN_LS,gas_generation_coeff,bof_ld_gas,BOF or LD-gas generation per tonne liquid steel,50-120,Nm3/t_liquid_steel,WD01,high,high,candidate_input,S3,candidate_not_approved,public,Generic BOF range and not Tata-specific,Supports separate BOF-gas balance
WAG_BOF_LHV,gas_lhv,bof_ld_gas,BOF or LD-gas lower heating value,7-9,MJ/Nm3,WD01,high,high,candidate_input,S3,candidate_not_approved,public,Generic range only,Use for candidate energy conversion
WAG_BOF_COMPOSITION,gas_composition,bof_ld_gas,BOF or LD-gas composition range,CO approx_55-70 vol%; CO2 approx_15-20 vol%; N2 variable,vol_percent,WD01;WD16,medium-high,medium-high,candidate_input,S3,candidate_not_approved,public,Factsheet support is simplified,Use for plausibility not plant truth
WAG_BOF_FLARE_RECOVERY,flare_spill_variable,bof_ld_gas,BOF-gas requires explicit recovery or flare treatment because converter generation is batch-like,structural_rule,rule,WD01;WD02,high,high,model_structure,S3,assumption_support,public,No public Tata holder capacity yet,Core rationale for optional holder logic
WAG_MIXED_GAS_RULE,wag_balance,mixed_gas,Mixed-gas calorific-control logic and setpoints,qualitative_only,rule,WD07;WD08;WD09,medium,medium,structural_reference,S3,later_only,public,Setpoints and mixing constraints are too under-specified for B_lite,Postpone explicit mixed-gas optimisation
WAG_NG_SUBSTITUTION,wag_valuation_method,natural_gas,Natural-gas substitution is the default useful-energy valuation path for WAGs,qualitative_only,rule,WD01;WD02;WD10,high,high,model_structure,S3,assumption_support,public,Requires explicit sink path and compatible energy basis,Preferred value logic
WAG_DRI_NG_PUBLIC,energy_intensity,natural_gas,Public Phase 1 DRI natural-gas demand anchor from MER candidate layer,public_planning_value_not_repeated_here,GJ_or_Nm3_basis_pending,WD02,high,high,validation_or_candidate,S3,validation_only_candidate,public,Annual planning value is not an hourly operating coefficient,Hold in candidate layer until methodology freeze
WAG_DRI_ELEC_PUBLIC,energy_intensity,electricity,Public Phase 1 DRI route electricity-demand anchor from MER candidate layer,public_planning_value_not_repeated_here,MWh_or_MW_basis_pending,WD02,high,high,validation_or_candidate,S3,validation_only_candidate,public,Average MW is not connection capacity and annual values are not hourly truth,Use only as order-of-magnitude anchor
WAG_RESIDUAL_GAS_POWER_TARGET,site_energy_interface,electricity,Residual-gas-based on-site or Vattenfall power output public anchor,approx_2_TWh_per_year,annual_MWh,WD03,high,medium-high,validation_target,S3,validation_only_candidate,public,Reporting anchor only and not a dispatch coefficient,Used to sanity-check the interface scale
WAG_SITE_REUSE_TARGET,wag_balance,mixed_gas,Site-level residual-gas reuse public anchor,approx_two_thirds_reused_on_site,share,WD06,medium-high,medium,validation_target,S3,validation_only_candidate,public,Rounded webpage statement,Useful only as order-of-magnitude check
WAG_HOLDER_EXISTENCE,wag_holder_logic,bof_ld_gas,BOF or oxygas holder exists as public structure but capacity remains unknown,exists_capacity_unknown,rule,WD02,high,high,model_structure,S3,assumption_support,public,Do not invent Tata-specific capacity,Structure yes numeric capacity no
WAG_BFG_EF_DERIVED,emissions_factor,bfg,Derived BFG emissions-factor family from public composition and heating-value logic,derived_range_only,tCO2_per_TJ,WD01;WD12;WD15,medium,medium,sensitivity_only,S3,sensitivity_only_candidate,derived,Derived rather than directly published as plant-ready factor,Keep only as sensitivity support
WAG_COG_EF_DERIVED,emissions_factor,cog,Derived COG emissions-factor family from public composition and heating-value logic,derived_range_only,tCO2_per_TJ,WD01;WD12,medium,medium,sensitivity_only,S3,sensitivity_only_candidate,derived,Derived rather than directly published as plant-ready factor,Keep only as sensitivity support
WAG_BOF_EF_DERIVED,emissions_factor,bof_ld_gas,Derived BOF-gas emissions-factor family from public composition and heating-value logic,derived_range_only,tCO2_per_TJ,WD01;WD12;WD16,medium,medium,sensitivity_only,S3,sensitivity_only_candidate,derived,Derived rather than directly published as plant-ready factor,Keep only as sensitivity support
