parameter_family,accounting_layer,description,allowed_s3_0a_status,may_be_executable_in_s3_0a,may_be_approved_input_in_s3_0a,required_source_status_before_execution,unit_requirement,time_basis_requirement,s2_or_s2_12_dependency,blocked_until_stage,thesis_usability,notes
electricity_import_accounting,site_energy_boundary,Grid electricity import accounting category,candidate_governance_only,false,false,reviewed_source_required,MWh_or_MW_with_duration,hourly_or_profile_sum,grid_import_boundary,S3_0c,false,No DA price or settlement logic in S3.0a
natural_gas_import_accounting,site_energy_boundary,Natural-gas import accounting category,candidate_governance_only,false,false,reviewed_source_required,MWh_LHV_or_Nm3_with_basis,hourly_or_profile_sum,natural_gas_import_boundary,S3_0c,false,No procurement optimisation in S3.0a
process_energy_coefficient,flexible_metallic_core,Energy-use coefficient for frozen S2 core process activity,candidate_governance_only,false,false,reviewed_source_required,energy_per_t_activity_or_energy_per_t_output,hourly_activity_profile,freeze_s2_process_activity,S3_0c,false,May later attach to BF BOF DRP or EAF activity profiles
downstream_energy_coefficient,throughput_coupled_production_continuation,Energy-use coefficient for downstream continuation nodes,candidate_governance_only,false,false,reviewed_source_required,energy_per_t_throughput,hourly_throughput_profile,s2_12_downstream_register,S3_0c,false,Does not create downstream scheduling
auxiliary_energy_coefficient,accounting_only_auxiliary_layer,Energy-use coefficient for ASU oxygen or residual auxiliary loads,candidate_governance_only,false,false,reviewed_source_required,energy_per_t_driver_or_energy_per_unit_service,hourly_driver_profile,s2_12_auxiliary_boundary,S3_0c,false,Accounting-only auxiliary class
wag_generation_coefficient,site_energy_wag_accounting_layer,WAG generation linked to producer activity,candidate_governance_only,false,false,reviewed_source_required,energy_or_volume_wag_per_t_activity,hourly_activity_profile,s3_wag_accounting_boundary_register,S3_0b,false,Generation must not create free revenue
wag_process_fuel_use,site_energy_wag_accounting_layer,WAG use as process-fuel substitution,candidate_governance_only,false,false,reviewed_source_required,energy_wag_used_or_fuel_replaced,hourly_fixed_profile_or_accounting_period,s3_wag_allocation_mode_register,S3_0b,false,Useful-energy substitution only
wag_steam_boiler_use,site_energy_wag_accounting_layer,WAG use in steam or boiler accounting,candidate_governance_only,false,false,reviewed_source_required,energy_wag_used_or_steam_equivalent,hourly_fixed_profile_or_accounting_period,s3_wag_allocation_mode_register,S3_0b,false,Boiler accounting only
wag_to_power_interface,site_energy_wag_accounting_layer,WAG-to-power interface for later net-import offset,candidate_governance_only,false,false,reviewed_source_required,conversion_efficiency_and_MWh_basis,hourly_fixed_profile_or_accounting_period,s3_wag_accounting_boundary_register,S3_1,false,Interface only and not a dispatch plant in S3.0a
wag_flare_spill_unused_sink,site_energy_wag_accounting_layer,WAG residual flare spill or unused sink,candidate_governance_only,false,false,reviewed_source_required,energy_or_volume_wag_residual,hourly_fixed_profile_or_accounting_period,s3_wag_accounting_boundary_register,S3_0b,false,Required to prevent silent disappearance of WAG
emissions_factor_direct_process,emissions_accounting_layer,Direct process emissions factor category,candidate_governance_only,false,false,reviewed_source_required,tCO2_per_t_activity_or_tCO2_per_t_output,hourly_activity_profile,freeze_s2_process_activity,S3_0c,false,No approved factor in S3.0a
emissions_factor_wag_combustion_or_flare,emissions_accounting_layer,WAG combustion or flare emissions factor category,candidate_governance_only,false,false,reviewed_source_required,tCO2_per_MWh_or_tCO2_per_Nm3,hourly_wag_use_or_residual_profile,s3_wag_accounting_boundary_register,S3_0c,false,Must prevent double counting at generation and use
emissions_factor_natural_gas_combustion,emissions_accounting_layer,Natural-gas combustion emissions factor category,candidate_governance_only,false,false,reviewed_source_required,tCO2_per_MWh_LHV_or_tCO2_per_Nm3,hourly_gas_use_profile,natural_gas_import_boundary,S3_0c,false,Source review required before execution
captured_co2_visibility,emissions_accounting_layer,Captured CO2 reporting visibility category,candidate_governance_only,false,false,reviewed_source_required,tCO2_captured,hourly_or_period_total,ccs_visibility_placeholder,S3_0c,false,Visibility only and not CCS optimisation
indirect_electricity_emissions_reporting_only,emissions_accounting_layer,Optional indirect electricity emissions reporting category,candidate_governance_only,false,false,reviewed_source_required,tCO2_per_MWh,hourly_or_period_total,grid_import_boundary,S3_0c,false,Reporting-only unless later policy changes
gross_ets_cost_parameter,cost_accounting_layer,Gross ETS cost parameter category,candidate_governance_only,false,false,reviewed_source_required,EUR_per_tCO2,hourly_or_period_total,emissions_accounting_boundary,S3_0c,false,Visible gross cost only after reviewed inputs exist
free_allocation_credit_placeholder,cost_accounting_layer,Separate later free-allocation credit placeholder,deferred_future_stage,false,false,reviewed_source_required,tCO2_or_EUR_credit_basis,period_total,emissions_accounting_boundary,later_sensitivity,false,Must remain separate from gross ETS
network_tariff_proxy_parameter,cost_accounting_layer,Labelled network tariff proxy category,candidate_governance_only,false,false,reviewed_source_required,EUR_per_MWh_or_EUR_per_kW_or_EUR_per_period,hourly_or_period_total,grid_import_boundary,S3_0c,false,Proxy only and not Tata contract truth
validation_target_energy,validation_layer,Energy plausibility validation target category,validation_target_only,false,false,reviewed_source_required,MWh_or_intensity_range,period_total_or_intensity,site_energy_boundary,validation_only,false,Must not drive constraints directly
validation_target_emissions,validation_layer,Emissions plausibility validation target category,validation_target_only,false,false,reviewed_source_required,tCO2_or_intensity_range,period_total_or_intensity,emissions_accounting_boundary,validation_only,false,Must not drive constraints directly
validation_target_wag_balance,validation_layer,WAG balance plausibility validation target category,validation_target_only,false,false,reviewed_source_required,MWh_or_volume_balance_range,period_total_or_balance_check,wag_accounting_boundary,validation_only,false,Validation only
blocked_da_price_parameter,blocked_market_layer,DA price parameter blocked from S3.0a,blocked,false,false,not_allowed,not_applicable,not_applicable,none,S4_or_later,false,DA prices start only in later deterministic DA stages
blocked_stochastic_parameter,blocked_market_layer,Stochastic scenario parameter blocked from S3.0a,blocked,false,false,not_allowed,not_applicable,not_applicable,none,S6_or_later,false,No scenarios in S3.0a
blocked_cvar_parameter,blocked_risk_layer,CVaR parameter blocked from S3.0a,blocked,false,false,not_allowed,not_applicable,not_applicable,none,S9_or_later,false,No risk-aversion layer in S3.0a
