parameter_id,base_value,low_value,high_value,unit,parameter_group,source_card,input_status,thesis_usability,human_review_required,codex_may_decide,evidence_strength,caveat
PELLET_GRADE_MODE,single_fired_pellets_proxy,,,-,policy,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,No BF-grade/DR-grade split in first implementation.
BF_PELLET_INPUT_T_PER_T_HM_C0_DERIVED,0.9682539682539683,,,t pellets/t hot metal,material_burden,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,"Annual MER reconciliation candidate, not an independent BF technology coefficient."
BF_PELLET_INPUT_T_PER_T_HM_C1_RESIDUAL,0.505791505791506,,,t pellets/t hot metal,material_burden,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,"Residual mass-balance candidate; depends on DRP coefficient, PEFA output and import anchor."
BF_PELLET_INPUT_T_PER_T_HM_GENERIC_BREF,0.358,0.0,0.972,t pellets/t hot metal,benchmark_check,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,External benchmark/sensitivity only; not Tata base if it conflicts with MER anchors.
DRP_PELLET_INPUT_T_PER_T_DRI,1.3513513513513513,,,t pellets/t DRI,material_burden,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,"Base candidate from existing DRP-yield/project precedent, not confidential Tata truth."
DRP_PELLET_INPUT_T_PER_T_DRI_SENS,1.39,,,t pellets/t DRI,sensitivity_check,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_sensitivity,false,true,false,source_card_candidate_not_Tata_validated,Sanity-check sensitivity only; not activated in C5n_b base.
PEFA_PELLETS_ELIGIBLE_FOR_BF,true,,,boolean,topology,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Generic fired-pellets proxy ignores BF-grade quality details.
PEFA_PELLETS_ELIGIBLE_FOR_DRP,true,,,boolean,topology,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Generic fired-pellets proxy ignores DR-grade quality details.
IMPORTED_PELLETS_ALLOWED,true,,,boolean,material_supply,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,"Imported pellets are fixed exogenous development supply, not free slack."
IMPORTED_PELLETS_C0_ANCHOR_MT_Y,1.5,,,Mt/y,validation_anchor,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,C0 import context; scaled in executable balance and not used as hidden hourly cap.
IMPORTED_PELLETS_C1_BASE_MT_Y,0.2,,,Mt/y,validation_anchor,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,C1 base import context; scaled in executable balance and not used as free slack.
IMPORTED_PELLETS_C1_VARIANT_CAP_MT_Y,2.5,,,Mt/y,sensitivity_cap,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_sensitivity,false,true,false,source_card_candidate_not_Tata_validated,"Variant cap only, not active C5n_b base."
IMPORTED_PELLETS_SCALING_MODE,scale_with_active_production_target,,,-,policy,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Uses existing C5 active-target scaling convention.
DRP_DRI_OUTPUT_C1_CONTEXT_MT_Y,2.8,,,Mt DRI/y,driver_context,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,C1 DRP DRI context is scaled because detailed DRP KPI layer remains deferred in current C5 reports.
