decision_id,decision_cluster,decision_item,human_decision,modelling_interpretation,applies_to_configuration,applies_to_stage,affected_future_approved_table,evidence_basis,sensitivity_implication,unresolved_blocker,codex_allowed_role,codex_forbidden_role,approval_status,executable_status,thesis_usability,notes
HPD001,inventory_endpoint_policy,CYC50_endpoint_policy_base_case,CYC50_is_the_deterministic_S2_base_case_endpoint_neutrality_policy,Use_CYC50_as_methodological_anti_gaming_policy_not_as_Tata_operational_truth,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,inventory_endpoint_policies.csv,F02_plus_human_policy_decision,May_later_compare_against_looser_endpoint_sensitivity,Exact_store_capacities_still_unapproved,record_explicit_human_policy_and_keep_it_non_executable,approve_capacity_or_promote_endpoint_rows,human_policy_recorded,non_executable,false,CYC50_policy_recorded_without_capacity_approval
HPD002,inventory_endpoint_policy,initial_inventory_formula,Initial_inventory_equals_50pct_of_later_approved_store_capacity,Opening_state_is_policy_linked_to_later_capacity_review_not_to_site_specific_tonnes,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,initial_inventories.csv;inventory_endpoint_policies.csv,F02_plus_human_policy_decision,Formula_can_later_be_sensitivity_checked_but_not_replaced_by_hidden_absolute_stock,Store_capacity_rows_do_not_exist_yet,record_formula_policy_only,approve_absolute_opening_stock_or_populate_initial_inventory_table,human_policy_recorded,non_executable,false,This_is_formula_logic_not_absolute_site_inventory
HPD003,inventory_endpoint_policy,terminal_equality_rule,Terminal_inventory_equals_beginning_inventory,Finite_horizon_runs_must_end_neutral_to_block_horizon_borrowing,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,terminal_inventory_rules.csv;inventory_endpoint_policies.csv,F02_plus_human_policy_decision,May_later_be_tested_against_loose_band_or_terminal_penalty_sensitivity,No_numeric_terminal_tolerance_is_reviewed,record_policy_choice_only,approve_exact_terminal_quantity_or_make_rule_executable,human_policy_recorded,non_executable,false,Human_policy_bundle_selects_terminal_equality_base_case
HPD004,inventory_endpoint_policy,non_negative_inventory_state_convention,Inventory_states_are_non_negative_tonnes_of_the_relevant_carrier,State_semantics_are_positive_stock_on_hand_with_common_opening_and_terminal_basis,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,initial_inventories.csv;terminal_inventory_rules.csv;inventory_endpoint_policies.csv,STEEL_S2_UNIT_SIGN_AND_ENDPOINT_CONVENTIONS_plus_human_policy_decision,Limited_sensitivity_role_but_high_governance_importance,Exact_store_capacity_and_usable_vs_gross_semantics_still_need_later_review,record_inventory_state_convention_only,approve_numeric_state_rows_or_use_candidate_values_as_live_parameters,convention_recorded,non_executable,false,State_convention_recorded_without_approving_quantities
HPD005,buffer_classification,HDRI_DRI_surge_main_flexibility_buffer,HDRI_DRI_surge_buffer_is_the_main_short_term_DRP_EAF_decoupling_buffer,Treat_this_as_main_credible_upstream_to_EAF_flexibility_buffer,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,store_capacities.csv;inventory_endpoint_policies.csv,F05_plus_review_packets_plus_human_policy_decision,High_impact_store_capacity_sensitivity_should_be_prioritised,Exact_capacity_basis_and_HDRI_vs_CDRI_split_still_need_review,record_buffer_classification_and_sensitivity_priority,approve_capacity_value_or_create_executable_store_row,human_policy_recorded,non_executable,false,Classification_only_not_capacity_approval
HPD006,buffer_classification,cold_slab_WIP_main_flexibility_buffer,Cold_slab_or_slab_WIP_yard_is_the_downstream_medium_term_decoupling_buffer,Treat_cold_slab_or_slab_WIP_as_the_actual_downstream_flexibility_buffer,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,deterministic_S2_policy_bundle,store_capacities.csv;inventory_endpoint_policies.csv,F14;F15_plus_review_packets_plus_human_policy_decision,High_impact_store_capacity_sensitivity_should_be_prioritised,Exact_cold_slab_yard_capacity_and_semantics_still_need_review,record_buffer_classification_and_sensitivity_priority,approve_capacity_value_or_treat_downstream_inventory_as_operational_truth,human_policy_recorded,non_executable,false,Classification_only_not_capacity_approval
HPD007,buffer_classification,hot_metal_synchronisation_secondary_buffer,Hot_metal_buffer_is_small_BF_BOF_synchronisation_only,Treat_hot_metal_as_secondary_synchronisation_buffer_not_main_strategic_flexibility_asset,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_policy_bundle,store_capacities.csv;inventory_endpoint_policies.csv,F03_plus_human_policy_decision,Can_later_be_tested_as_small_relative_buffer_only,Exact_relative_size_and_capacity_still_need_review,record_secondary_buffer_classification_only,approve_large_hot_metal_storage_or_multi_day_flexibility_claim,human_policy_recorded,non_executable,false,Secondary_buffer_not_base_case_flexibility_asset
HPD008,buffer_classification,hot_slab_WIP_thermal_transfer_classification,Hot_slab_WIP_is_a_thermally_constrained_transfer_WIP_buffer_not_a_strategic_flexibility_asset,Do_not_treat_hot_slab_WIP_as_multi_hour_or_multi_day_arbitrage_buffer,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_policy_bundle,store_capacities.csv;inventory_endpoint_policies.csv,F14_plus_human_policy_decision,May_later_be_compared_against_omit_or_tiny_feasibility_only_handling,Exact_treatment_or_omission_still_needs_later_review,record_classification_and_restriction_only,approve_hot_slab_WIP_as_main_flexibility_asset,human_policy_recorded,non_executable,false,Hot_slab_WIP_is_not_main_strategic_flexibility
HPD009,buffer_classification,liquid_steel_ladle_tundish_feasibility_only,Liquid_steel_ladle_tundish_and_hot_transfer_buffers_should_be_omitted_or_tiny_feasibility_only,Use_only_for_feasibility_if_needed_and_do_not_treat_as_strategic_inventory,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_policy_bundle,store_capacities.csv,Topology_registry_plus_human_policy_decision,Low_priority_sensitivity_only_if_needed_for_feasibility_debugging,Exact_omit_vs_tiny_feasibility_choice_still_later,record_omit_or_tiny_feasibility_policy,approve_operational_inventory_values_or_main_flexibility_use,human_policy_recorded,non_executable,false,No_strategic_inventory_role_recorded
HPD010,buffer_classification,coke_sinter_pellet_excluded_from_base_flexibility,Coke_sinter_and_pellet_stocks_are_excluded_from_S2_base_case_flexibility,Treat_these_as_near_must_run_or_exogenous_or_throughput_bounded_not_dispatch_flex,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_policy_bundle,store_capacities.csv;process_bounds.csv,Scope_freeze_plus_human_policy_decision,Sensitivity_not_needed_for_early_base_case_flexibility_screening,Later_stage_work_would_require_separate_scope_change,record_scope_and_buffer_exclusion,approve_stock_capacities_or_dispatch_flexibility_for_these_buffers,human_policy_recorded,non_executable,false,Base_case_flexibility_exclusion_recorded
