assumption_id,accepted_case_value,implementation_field,accepted_interpretation,status,source_basis,overclaim_guardrail
S33J-ASSUMP-001,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,configuration_id,C1 boundary-aligned contextual validation case,accepted,"Frozen C1 configuration scope and S3.3h final case","Not strict independent validation."
S33J-ASSUMP-002,0.5033645161290323,bf_bof_share,capacity-implied C1 route share,accepted,"S3.3f-h governed route-share diagnostic","Do not reinterpret as measured production share."
S33J-ASSUMP-003,6.0 PJ/y combined,boiler_steam_ng_pj_per_year plus boiler_steam_wag_pj_per_year,combined C1 utility steam/gas sink,provisional-source-supported,"S3.3j external evidence summary and S3.3i conversion review","Not exact Tata measurement and not residual closure."
S33J-ASSUMP-004,3.0 PJ/y,boiler_steam_ng_pj_per_year,internal NG share of aggregate utility allocation,boundary-allocation placeholder,"S3.3j boundary decision","Not measured boiler NG."
S33J-ASSUMP-005,3.0 PJ/y,boiler_steam_wag_pj_per_year,internal WAG share of aggregate utility allocation,boundary-allocation placeholder,"S3.3j boundary decision","Not measured boiler WAG."
S33J-ASSUMP-006,9.3 PJ/y,hsm_fuel_substitution_ng_pj_per_year,broader downstream/light-side heat bucket using historical HSM implementation slot,relabelled provisional boundary component,"S3.3j external evidence summary; deepsearch_8 heat/reheating range","Do not call HSM-only."
S33J-ASSUMP-007,2.26008 PJ/y,pelletizing_firing_ng_pj_per_year,unresolved process-heat contribution within aggregate boundary,unresolved/not approved,"S3.3j external evidence summary; S3.3g provisional range","Do not claim firm current-state pelletizing NG."
S33J-ASSUMP-008,1.0,vattenfall_generator_bfg_equivalent_wag_fraction,gas-mixture/interface abstraction,rejected_as_literal_fraction_but_used_as_interface_abstraction,"S3.3j external evidence summary; S3.3g/h diagnostics","Do not claim literal WAG fraction 1.0."
S33J-ASSUMP-009,0.875,downstream_electricity_scale,C0-preserving shared downstream electricity adjustment,accepted_with_c0_regression,"S3.3h Block B accepted case","Must remain within C0 tolerance."
S33J-ASSUMP-010,3.85,residual_auxiliary_electricity_scale,C0-preserving residual auxiliary electricity scale,accepted_from_C0_calibration,"S3.3h Block B accepted case","Shared parameter cannot be changed in S4 without C0 regression."
S33J-ASSUMP-011,0.3715,wag_to_power_efficiency_fraction,source-governed lower WAG-to-power efficiency,accepted_within_range,"S3.3h accepted case and prior governed range","Not WAG availability cap."
S33J-ASSUMP-012,1.0,wag_lhv_scale,central WAG LHV scale,accepted,"S3.3h accepted case","No hidden LHV correction."
S33J-ASSUMP-013,0.0,param_residual_c0_ng_m3_per_t_final in C1,no inherited C0 residual NG used for C1 fit,mandatory_gate_pass,"S3.3h C1 result S33H_B_004","C0 residual remains C0-only calibration term."
