"script_name","relative_path","last_write_local","size_kb","category","recommended_action","risk_level","rationale"
"create_da_15min_extension_notebooks.py","scripts\Data\02_Forecasting\01_DA_prices\create_da_15min_extension_notebooks.py","2026-05-03 17:46:12","82,8","active_notebook_generator","keep_in_place_or_move_to_tools_non_destructively","medium","Generates active notebook flow or protected notebook assets."
"create_da_price_scenario_notebook.py","scripts\Data\02_Forecasting\01_DA_prices\create_da_price_scenario_notebook.py","2026-04-30 19:21:58","82,3","active_notebook_generator","keep_in_place_or_move_to_tools_non_destructively","medium","Generates active notebook flow or protected notebook assets."
"create_da_prices_cleaning_notebook.py","scripts\Data\02_Forecasting\01_DA_prices\create_da_prices_cleaning_notebook.py","2026-04-29 15:04:06","35,6","active_notebook_generator","keep_in_place_or_move_to_tools_non_destructively","medium","Generates active notebook flow or protected notebook assets."
"create_endogenous_feature_notebook.py","scripts\Data\02_Forecasting\01_DA_prices\create_endogenous_feature_notebook.py","2026-04-29 15:04:06","34","active_notebook_generator","keep_in_place_or_move_to_tools_non_destructively","medium","Generates active notebook flow or protected notebook assets."
"create_qh_finalisation_notebooks.py","scripts\Data\02_Forecasting\01_DA_prices\create_qh_finalisation_notebooks.py","2026-05-05 13:57:02","19,4","active_notebook_generator","keep_in_place_or_move_to_tools_non_destructively","medium","Generates active notebook flow or protected notebook assets."
"create_qh_phase3_notebooks.py","scripts\Data\02_Forecasting\01_DA_prices\create_qh_phase3_notebooks.py","2026-05-06 11:17:33","9,8","active_notebook_generator","keep_in_place_or_move_to_tools_non_destructively","medium","Generates active notebook flow or protected notebook assets."
"create_scenario_distribution_evaluation_notebook.py","scripts\Data\02_Forecasting\01_DA_prices\create_scenario_distribution_evaluation_notebook.py","2026-05-12 19:21:00","146,2","active_notebook_generator","keep_in_place_or_move_to_tools_non_destructively","medium","Generates active notebook flow or protected notebook assets."
"generate_standardized_notebooks.py","scripts\Data\02_Forecasting\01_DA_prices\generate_standardized_notebooks.py","2026-04-29 15:04:06","250,6","active_notebook_generator","keep_in_place_or_move_to_tools_non_destructively","medium","Generates active notebook flow or protected notebook assets."
"run_dplus4_applicability_scan.py","scripts\Data\02_Forecasting\01_DA_prices\run_dplus4_applicability_scan.py","2026-05-12 16:51:40","10,9","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_fs3_taxonomy_inventory.py","scripts\Data\02_Forecasting\01_DA_prices\run_fs3_taxonomy_inventory.py","2026-04-29 15:04:06","1","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_gap_audit.py","scripts\Data\02_Forecasting\01_DA_prices\run_gap_audit.py","2026-04-29 15:04:06","3,7","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_hourly_donly_calibration_sensitivity.py","scripts\Data\02_Forecasting\01_DA_prices\run_hourly_donly_calibration_sensitivity.py","2026-05-13 01:26:57","31,1","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
"run_hourly_donly_tail_diagnostics.py","scripts\Data\02_Forecasting\01_DA_prices\run_hourly_donly_tail_diagnostics.py","2026-05-12 18:23:50","15,6","campaign_or_oneoff_candidate","move_to_one_off_with_readme_and_ttl","medium","Appears tied to bounded experiments/audits/sweeps; reproducibility metadata needed before archival."
