item,intended_status,s3_3j_decision,source_basis,model_interpretation,approval_scope,limitations
C1 utility-boundary inclusion,approved boundary choice,accepted,"User-provided external evidence summary; S3.3i source-card review; deepsearch_4 and deepsearch_8 utility-boundary research memos","C1 validation uses a broader site utility boundary including internal Energiebedrijf, steam/heat/power, gas networks and Vattenfall interface.",boundary_choice_not_numeric_truth,"Does not approve a detailed full utility-network dispatch model."
Combined 6 PJ/y boiler/steam utility sink,provisional-source-supported,accepted,"User-provided external evidence summary: about 54 PJ/y WAG reused for electricity or heat/steam, about 13 PJ/y reference natural gas, large boiler capacity and Heracless WAG-to-steam/NG supplementation context","Represented as aggregate C1 utility steam/gas sink.",provisional_boundary_assumption,"Not a measured Tata boiler/steam fact and not a fitted residual closure."
3 PJ/y boiler NG,boundary-allocation placeholder,accepted_as_internal_split_only,"No direct exact 3 PJ/y public source; accepted only as half of aggregate 6 PJ/y placeholder","Internal modelling allocation inside accepted aggregate utility sink.",diagnostic_allocation_placeholder,"Not a measured Tata NG boiler demand."
3 PJ/y boiler WAG,boundary-allocation placeholder,accepted_as_internal_split_only,"No direct exact 3 PJ/y public source; accepted only as half of aggregate 6 PJ/y placeholder","Internal modelling allocation inside accepted aggregate utility sink.",diagnostic_allocation_placeholder,"Not a measured Tata WAG boiler allocation."
HSM 9.3 PJ/y as HSM-only,rejected/relabelled,rejected_as_literal_plant_value,"External evidence weakens HSM-only interpretation; deepsearch_8 supports broader reheating/hot-rolling/downstream heat range","Use implementation slot as broader downstream/light-side process-heat bucket, not literal HSM-only demand.",relabelled_boundary_bucket,"Column names in prior S3.3h artifacts remain historical implementation labels."
HSM/downstream light-side gas bucket,plausible/provisional if source-supported,accepted_as_boundary_bucket,"Hot rolling/reheating/process-heat public ranges and broader downstream boundary evidence","Broader downstream/light-side process heat component of accepted utility boundary.",provisional_source_supported_boundary_component,"Not independently validated as a single unit-level Tata measurement."
Pelletizing 2.26008 PJ/y as firm NG demand,unresolved/not approved,rejected_as_firm_current_state_value,"Pelletizing public range exists, but current-state C1 plant-specific allocation is not firm","Use as unresolved process-heat contribution only within aggregate boundary interpretation.",not_approved_numeric_truth,"Do not present as measured current pelletizing NG demand."
Vattenfall fraction 1.0,rejected as literal public value,rejected_as_literal_fraction,"Vattenfall interface is supported but exact allocation fraction is not public","Treat as mixture/interface abstraction used to reduce WAG-to-power overclaim, not pure BFG/WAG truth.",diagnostic_interface_abstraction,"No claim of exact dispatch, fuel mix or contract allocation."
Vattenfall interface inclusion,approved structural boundary,accepted,"Public evidence supports IJM-01/VN24/VN25 interface, residual-gas use and NG supplementation context","Include Vattenfall as structural gas/power interface.",structural_boundary_choice,"No unit commitment or confidential dispatch represented."
Vattenfall gas allocation,unresolved/mixture-interface abstraction,accepted_as_abstraction_only,"Exact public WAG/NG allocation fraction unavailable","Represent as LHV/gas-mixture/interface abstraction where possible.",unresolved_numeric_allocation,"Needs direct generator dispatch or gas-allocation evidence for future refinement."
