anchor_id,configuration,asset_or_flow,metric,unit,raw_source_anchor,active_scaled_anchor,model_output,absolute_gap,relative_gap,anchor_role,reconciliation_mode,source_card_or_stage,stage_introduced,thesis_usability,caveat,decision_needed
active_total_liquid_steel_target,C0_current_BF_BOF_reference,site,liquid steel production target,t/y,7200000.0,6750000.0,6750000.0,0,0,development_input,active_target_6p75_over_mer_context,C5k production normalisation,C5k,false,Freeze or explicitly sensitivity-test 6.75 Mt/y before DA.,Review or freeze before DA/economics if this metric is used in claims.
bof_liquid_steel,C0_current_BF_BOF_reference,BOF,liquid steel output,t/y,7200000.0,6750000.0,6750000.0,0,0,development_input,C5k_route_split_normalisation,C5k report,C5k,false,No DA/economic claims if route split is changed silently.,Review or freeze before DA/economics if this metric is used in claims.
eaf_liquid_steel,C0_current_BF_BOF_reference,EAF,liquid steel output,t/y,0.0,0.0,0.0,0,0,development_input,C5o_b_preserves_C5k_EAF_target,EAF source card / C5o_b,C5o_b,false,"C1 EAF target is active C5 route target, not raw anchor.",Review or freeze before DA/economics if this metric is used in claims.
bf_hot_metal,C0_current_BF_BOF_reference,BF,hot metal driver,t/y,6300000.0,,5906250.0,-393750,-0.0625,validation_anchor,C5k_no_buffer_BF_equals_BOF_HM_input,C5k / BF source context,C5k,false,BF HM differs from raw anchors after no-buffer BOF coupling.,Review or freeze before DA/economics if this metric is used in claims.
drp_dri_output,C0_current_BF_BOF_reference,DRP,DRI output,t/y,0.0,0.0,0.0,0,0,development_input,DRP_scaled_to_active_target,DRP source card / C5o_a,C5o_a,false,C0 inactive; C1 scaled from MER 2.8 Mt/y.,Review or freeze before DA/economics if this metric is used in claims.
eaf_dri_input,C0_current_BF_BOF_reference,EAF,DRI input,t/y,0.0,0.0,0.0,0,0,reconciliation_parameter,EAF_DRI_coeff_reconciled_to_available_DRP_DRI,EAF source card / C5o_b,C5o_b,false,Resolved active DRI coefficient is not a Tata EAF recipe.,Review or freeze before DA/economics if this metric is used in claims.
pefa_output,C0_current_BF_BOF_reference,PEFA,fired pellets output,t/y,4600000.0,4312500.0,4312500.0,0,0,development_input,scaled_with_active_target,PELLETIZING source card / C5n_a,C5n_a,false,Single fired-pellets proxy; no grade split.,Review or freeze before DA/economics if this metric is used in claims.
imported_pellets,C0_current_BF_BOF_reference,pellet burden,imported pellets,t/y,1500000.0,1406250.0,1406250.0,0,0,development_input,scale_with_active_production_target,PELLETIZING source card / C5n_b,C5n_b,false,"Fixed exogenous supply, not free slack.",Review or freeze before DA/economics if this metric is used in claims.
bf_pellet_demand,C0_current_BF_BOF_reference,pellet burden,BF pellet demand,t/y,,,5718750.0,,,reconciliation_parameter,BF_pellet_coeff_resolves_public_annual_burden_balance,C5n_b pellet balance,C5n_b,false,"Coefficient is reconciliation, not BF burden truth.",Review or freeze before DA/economics if this metric is used in claims.
drp_pellet_demand,C0_current_BF_BOF_reference,pellet burden,DRP pellet demand,t/y,,,0.0,,,development_input,DRP_pellet_coeff_from_DRP_yield,C5n_b / C5o_a,C5n_b/C5o_a,false,Now fed by actual C5o_a DRP input.,Review or freeze before DA/economics if this metric is used in claims.
dsp_output,C0_current_BF_BOF_reference,DSP,DSP hot rolled coil output,t/y,1500000.0,1406250.0,1350000.0,-56250,-0.04,development_input,preserve_C5l_d_DSP_placeholder,DSP source card / C5o_c,C5o_c,false,"Active output is 1.35 Mt/y placeholder replacement, not raw 1.5 Mt/y.",Review or freeze before DA/economics if this metric is used in claims.
hsm_wbw_output,C0_current_BF_BOF_reference,HSM/WBW,rolled coil output,t/y,5400000.0,,4909090.90891,-490909.09109,-0.090909,development_input,C5l_d_base_0_50_hot_charge_case,HSM C5l_d,C5l_d,false,HSM output reflects slab input factor and imported slab context.,Review or freeze before DA/economics if this metric is used in claims.
final_product_proxy,C0_current_BF_BOF_reference,downstream,HSM plus DSP final-product proxy,t/y,6900000.0,,6259090.90891,-640909.09109,-0.092885,reporting_only,C5o_c_final_product_proxy,C5l_d / C5o_c,C5l_d/C5o_c,false,"Denominator candidate, not yet final economics denominator.",Review or freeze before DA/economics if this metric is used in claims.
kgf_coke_output,C0_current_BF_BOF_reference,KGF/coking,coke production,t/y,,,1687500.0,,,development_input,C5m_f_bounded_reconciliation_active_development_baseline,C5m_f coke reconciliation,C5m_f,false,Bounded C5m_f reconciliation is active development baseline; external coke remains fallback-only.,Review or freeze before DA/economics if this metric is used in claims.
bf_coke_demand,C0_current_BF_BOF_reference,BF,coke demand,t/y,,,1687500.001687,,,development_input,C5m_f_bounded_reconciliation_active_development_baseline,C5m_e/C5m_f,C5m_e/C5m_f,false,Driver repaired; BF coke rate/KGF anchor reconciliation is no longer an open method decision.,Review or freeze before DA/economics if this metric is used in claims.
sinter_output,C0_current_BF_BOF_reference,Sinter,sinter output,t/y,3700000.0,,3468752.44056,-231247.55944,-0.062499,development_input,BF_hot_metal_coupled,SINTER source card / C5m,C5m,false,C0 site-average and C1 retained-BF coupling caveated.,Review or freeze before DA/economics if this metric is used in claims.
sinter_iron_ore_input,C0_current_BF_BOF_reference,Sinter,iron ore bus0 input,t/y,,,2820095.72736,,,development_input,per_t_sinter_input,C5m,C5m,false,Other raw-mix inputs implicit.,Review or freeze before DA/economics if this metric is used in claims.
boiler_hsm_reheat,C0_current_BF_BOF_reference,HSM/WBW,HSM reheat demand,PJ/y,,,4.5171,,,development_input,C5l_d_base_0_50_hot_charge_cap,C5l_d,C5l_d,false,"Thermal/LHV, not electricity.",Review or freeze before DA/economics if this metric is used in claims.
boiler_hsm_rolling_electricity,C0_current_BF_BOF_reference,HSM/WBW,rolling electricity,GWh/y,,,343.636363,,,development_input,existing_HSM_rolling_electricity,C5l_d,C5l_d,false,Already in process electricity scope.,Review or freeze before DA/economics if this metric is used in claims.
pefa_electricity,C0_current_BF_BOF_reference,PEFA,electricity,MWh/y,,,91856.25,,,development_input,process_coupled_not_DA_responsive,C5n_a,C5n_a,false,Not price-responsive.,Review or freeze before DA/economics if this metric is used in claims.
pefa_gas_heat,C0_current_BF_BOF_reference,PEFA,gas heat demand,PJ/y,,,1.38,,,development_input,eligible_COG_BOFG_NG_controller,C5n_a,C5n_a,false,No BFG; no WAG market value.,Review or freeze before DA/economics if this metric is used in claims.
pefa_co2,C0_current_BF_BOF_reference,PEFA,diagnostic CO2,t/y,,,452812.5,,,reporting_only,aggregate_diagnostic_no_fuel_double_count,C5n_a,C5n_a,false,Not ETS objective.,Review or freeze before DA/economics if this metric is used in claims.
sinter_electricity,C0_current_BF_BOF_reference,Sinter,electricity,MWh/y,,,118978.20612,,,development_input,process_coupled,C5m,C5m,false,Not DA-responsive.,Review or freeze before DA/economics if this metric is used in claims.
drp_electricity,C0_current_BF_BOF_reference,DRP,electricity,MWh/y,,,0.0,,,development_input,continuous_NG_DRP_auxiliary,C5o_a,C5o_a,false,Not EAF arc load.,Review or freeze before DA/economics if this metric is used in claims.
drp_ng,C0_current_BF_BOF_reference,DRP,NG total,PJ/y,,,0.0,,,development_input,external_NG_process_coupled,C5o_a,C5o_a,false,Tailgas not WAG.,Review or freeze before DA/economics if this metric is used in claims.
drp_oxygen,C0_current_BF_BOF_reference,DRP,oxygen demand diagnostic,t/y,,,0.0,,,reporting_only,oxygen_supply_not_implemented,C5o_a,C5o_a,false,Requires Linde/ASU layer.,Review or freeze before DA/economics if this metric is used in claims.
drp_co2_capture,C0_current_BF_BOF_reference,DRP,CO2 capture stream,t/y,,,0.0,,,reporting_only,capture_stream_validation,C5o_a,C5o_a,false,Not direct emissions total.,Review or freeze before DA/economics if this metric is used in claims.
eaf_electricity,C0_current_BF_BOF_reference,EAF,arc electricity,MWh/y,,,0.0,,,development_input,heat_equivalent_accounting,C5o_b,C5o_b,false,No mFRR variables or DA dispatch.,Review or freeze before DA/economics if this metric is used in claims.
eaf_ng,C0_current_BF_BOF_reference,EAF,NG demand,PJ/y,,,0.0,,,development_input,process_NG_driver,C5o_b,C5o_b,false,No WAG offgas.,Review or freeze before DA/economics if this metric is used in claims.
eaf_oxygen,C0_current_BF_BOF_reference,EAF,oxygen demand diagnostic,t/y,,,0.0,,,reporting_only,oxygen_supply_not_implemented,C5o_b,C5o_b,false,Requires Linde/ASU layer.,Review or freeze before DA/economics if this metric is used in claims.
eaf_co2,C0_current_BF_BOF_reference,EAF,diagnostic CO2 midpoint,t/y,,,0.0,,,reporting_only,aggregate_BREF_midpoint_diagnostic,C5o_b,C5o_b,false,Not ETS/full-site emissions.,Review or freeze before DA/economics if this metric is used in claims.
dsp_electricity,C0_current_BF_BOF_reference,DSP,electricity,MWh/y,,,75600.0,,,development_input,process_coupled_not_DA_responsive,C5o_c,C5o_c,false,No fuel heat active.,Review or freeze before DA/economics if this metric is used in claims.
dsp_internal_scrap,C0_current_BF_BOF_reference,DSP,internal scrap/loss,t/y,,,67500.0,,,reporting_only,reported_not_EAF_scrap_supply,C5o_c,C5o_c,false,Future scrap loop decision needed.,Review or freeze before DA/economics if this metric is used in claims.
dsp_direct_co2,C0_current_BF_BOF_reference,DSP,direct CO2,t/y,,,0.0,,,reporting_only,zero_because_fuel_inactive,C5o_c,C5o_c,false,Not physical zero-emissions claim.,Review or freeze before DA/economics if this metric is used in claims.
bof_oxygen,C0_current_BF_BOF_reference,BOF,oxygen demand diagnostic,t/y,,,530550.0,,,development_input,BOF_OSF_parameterisation,C5k/C5j,C5j/C5k,false,Requires Linde/ASU supply layer.,Review or freeze before DA/economics if this metric is used in claims.
linde_total_oxygen_demand,C0_current_BF_BOF_reference,Linde/ASU,total core oxygen demand,t/y,953000.0,,893437.5937500001,-59562.40625,-0.0625,development_input,BF_BOF_EAF_DRP_oxygen_bus_accounting,LINDE source card / C5p_a,C5p_a,false,Core demand excludes residual/unmodelled O2 users; DRP basis caveated.,Review or freeze before DA/economics if this metric is used in claims.
linde_average_oxygen_demand,C0_current_BF_BOF_reference,Linde/ASU,average core oxygen demand,t/h,150.0,,101.99059289383563,-48.009407,-0.320063,validation_anchor,comparison_to_150_t_h_precedent,LINDE source card / C5p_a,C5p_a,false,"150 t/h is a precedent/sanity check, not a capacity constraint.",Review or freeze before DA/economics if this metric is used in claims.
linde_asu_electricity,C0_current_BF_BOF_reference,Linde/ASU,ASU electricity,MWh/y,525600.0,,357375.0375000001,-168224.9625,-0.320063,development_input,0p400_MWh_per_t_O2_accounting,LINDE source card / C5p_a,C5p_a,false,Added to current C5 process scope; not full-site electricity.,Review or freeze before DA/economics if this metric is used in claims.
