parameter_id,base_value,low_value,high_value,unit,parameter_group,caveat,source_card,input_status,thesis_usability,human_review_required,codex_may_decide,evidence_strength
PEFA_OUTPUT_BASIS,fired_pellets,,,-,activity basis,Primary PEFA activity basis; not a numerical dispatch constraint.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_OPERATION_CLASS,continuous_upstream_process_not_DA_responsive,,,-,policy,"Continuous upstream process, not DA responsive.",data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_ACTIVITY_MODE,fixed_profile_scaled_to_active_target,,,-,policy,Fixed/profile-coupled development activity scaled with existing C5 target convention.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_IRON_ORE_INPUT_T_PER_T_PELLETS,0.95,0.935,0.965,t iron ore/t pellets,material,Main compact material conversion; additives deferred.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_ELECTRICITY_MWH_PER_T,0.0213,0.015,0.0275,MWh_e/t pellets,electricity,Mandatory process electricity; not DA-responsive in this layer.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_GAS_FUEL_TOTAL_GJ_PER_T,0.32,,,GJ_LHV/t pellets,gas_heat,Option A total gas heat demand.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_COG_BOFG_ENERGY_GJ_PER_T,0.306,,,GJ_LHV/t pellets,gas_heat_check,Candidate evidence/check only; allocation remains eligibility constrained.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_NG_ENERGY_GJ_PER_T,0.014,,,GJ_LHV/t pellets,gas_backup_check,Candidate backup check; NG used only if eligible WAG is insufficient.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_COKE_BREEZE_OR_ANTHRACITE_GJ_PER_T,0.342,,,GJ/t pellets,solid_fuel,"Solid-fuel diagnostic driver, not WAG.",data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_DIRECT_CO2_T_PER_T,0.105,0.017,0.193,tCO2/t pellets,aggregate_CO2,Midpoint development diagnostic; not ETS objective and not thesis truth.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
PEFA_WASTE_GAS_FLOW_NM3_PER_T,2170.0,1940.0,2400.0,Nm3/t pellets,waste_gas_reporting,Reporting only; must not enter WAG balances.,data/03_Optimisation/inputs/assets/steel/source_cards/PELLETIZING_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated
