decision_id,decision_topic,selected_policy,policy_description,selection_basis,policy_status,codex_may_change,numerical_input_required,allowed_stage,blocked_until_stage,thesis_usability,notes
S30B_WAG_POL_P1,carrier_separation,separate_wag_and_import_carriers,"Keep BFG COG BOFG_or_LD_gas natural_gas and grid_electricity separate.","User-selected freeze plus canonical WAG evidence",frozen_for_s3_0b,false,false,S3.0b,not_applicable,false,"Do not collapse WAG carriers into a generic WAG balance."
S30B_WAG_POL_P2,accounting_only_cog_proxy,throughput_coupled_coking_proxy,"COG is generated through an accounting-only coking proxy and not through flexible coking dispatch.","User-selected freeze plus S2/S3 boundary governance",frozen_for_s3_0b,false,true,S3.0b,not_applicable,false,"No coking activity variable coke storage activation or coking flexibility."
S30B_WAG_POL_P3,configuration_treatment,c0_c1_route_specific_wag_links,"C0 links WAG to BF BOF and coking proxy. C1 links WAG only to retained BF route and retained BOF coking activity.","User-selected freeze and C1 transition evidence",frozen_for_s3_0b,false,true,S3.0b,not_applicable,false,"C1 must not receive the same flat WAG credit as C0."
S30B_WAG_POL_P4,gross_allocatable_cog,separate_gross_self_use_process_use_residual,"Gross COG is not fully allocatable and mandatory self/process use must remain separate.","User-selected freeze plus process-use evidence",frozen_for_s3_0b,false,true,S3.0b,not_applicable,false,"Mandatory COG self-use coefficient remains unresolved."
S30B_WAG_POL_P5,allocation_hierarchy,process_first_hierarchy,"Use mandatory process/self-use then steam/boiler then import-offset power interface then flare or spill residual.","User-selected freeze plus source-evidence structural rows",frozen_for_s3_0b,false,true,S3.0b,not_applicable,false,"Shared-stage allocation is proportional to residual eligible carrier energy."
S30B_WAG_POL_P6,hierarchy_sensitivity_exclusion,no_hierarchy_sensitivity,"No balanced heat-max power-max or alternative allocation-order sensitivity is allowed in S3.0b.","User-selected freeze",frozen_for_s3_0b,false,false,S3.0b,S3.1_or_later,false,"Sensitivity is numerical coefficient sensitivity only."
S30B_WAG_POL_P7,power_interface,import_offset_only,"WAG-to-power reduces net site electricity import only and creates no export revenue settlement or Vattenfall dispatch.","User-selected freeze plus worldsteel and interface evidence",frozen_for_s3_0b,false,true,S3.0b,not_applicable,false,"Use potential_import_offset when reviewed capacity is absent."
S30B_WAG_POL_E1,point_of_oxidation_ledger,count_at_oxidation_or_transfer,"Carry carbon with the WAG flow and count direct CO2 once at combustion flare or explicit transfer.","User-selected freeze plus MRR FAR IPCC evidence",frozen_for_s3_0b,false,true,S3.0b,not_applicable,false,"Do not count emissions at WAG generation."
S30B_WAG_POL_E2,carrier_specific_factors,separate_energy_based_factors,"Use separate energy-based CO2 factors for BFG COG and BOFG_or_LD_gas.","User-selected freeze plus official factor evidence",frozen_for_s3_0b,false,true,S3.0b,not_applicable,false,"No aggregate route factor layered over WAG oxidation."
S30B_WAG_POL_E3,flare_oxidation,complete_co2_oxidation_first_diagnostic,"Use complete carbon oxidation for CO2 closure in the first development diagnostic.","User-selected freeze plus flare evidence",frozen_for_s3_0b,false,true,S3.0b,not_applicable,false,"Methane slip CO slip and non-CO2 flare emissions are deferred."
S30B_WAG_POL_E4,process_emissions_separation,mutually_exclusive_components,"Keep non-WAG residual process emissions WAG oxidation NG combustion other direct emissions and captured CO2 separate.","User-selected freeze plus no-double-counting evidence",frozen_for_s3_0b,false,true,S3.0b,not_applicable,false,"No complete site-emissions total until residual process factors are available."
S30B_WAG_POL_E5,useful_energy_substitution,efficiency_adjusted_substitution,"Compare WAG and natural gas on useful-energy basis rather than raw one-to-one energy.","User-selected freeze plus process-fuel evidence",frozen_for_s3_0b,false,true,S3.0b,not_applicable,false,"EU ETS/FAR 0.667 is not a physical conversion coefficient."
S30B_WAG_POL_E6,captured_co2_visibility,separate_reporting_flow,"Captured CO2 remains visible and is not automatically subtracted from emissions.","User-selected freeze plus MRR and MER visibility evidence",frozen_for_s3_0b,false,true,S3.0b,not_applicable,false,"Credit requires explicit capture process and eligible sink."
S30B_WAG_POL_E7,ets_separation,gross_ets_blocked_until_complete_ledger,"S3.0b uses a physical emissions ledger and blocks gross ETS cost while the ledger is incomplete.","User-selected freeze plus accounting-governance docs",frozen_for_s3_0b,false,true,S3.0b,S3.0c_or_later,false,"Free allocation remains separate and must never be netted silently."
