component_id,configuration_scope,emissions_component,driver,factor_or_proxy,counted_in_s3_1,counting_method,double_counting_guard,evidence_tier,model_use_status,blocks_complete_direct_emissions,sensitivity_required,limitations,next_action
S31_EMIS_001,C0 and C1,BFG oxidation,WAG BFG process/steam/reheat/power/flare sinks,bfg_combustion_factor_netherlands,true,point_of_oxidation_use,WAG generation emissions are not separately counted,E,development_only,false,false,Partial direct proxy only; not complete site emissions.,Retain point-of-oxidation convention.
S31_EMIS_002,C0 and C1,COG oxidation,WAG COG process/steam/reheat/power/flare sinks,cog_combustion_factor_netherlands,true,point_of_oxidation_use,WAG generation emissions are not separately counted,E,development_only,false,false,Coking non-WAG residual emissions are not counted.,Add coking residual process emissions before complete ledger.
S31_EMIS_003,C0 and C1,BOFG/LDG oxidation,WAG BOFG process/steam/reheat/power/flare sinks,oxygas_bofg_combustion_factor_netherlands,true,point_of_oxidation_use,WAG generation emissions are not separately counted,E,development_only,false,false,Partial direct proxy only.,Retain point-of-oxidation convention.
S31_EMIS_004,C1,DRP direct CO2 proxy,EAF/DRP route liquid-steel output,drp_direct_co2_proxy_per_t_steel,true,direct_proxy,DRP NG combustion CO2 is blank/not counted while direct proxy is active,E,derived_assumption,false,true,Not Tata-exact and not decomposed fuel/process emissions.,Review alternative explicit NG combustion policy later.
S31_EMIS_005,C1,DRP natural-gas combustion CO2,DRP natural-gas volume,natural-gas CO2 factor,false,not_counted_current_policy,Blocked to avoid double counting with DRP direct proxy,policy,blocked,true,true,Not physically zero; blank by policy.,Use only under future explicit NG combustion decomposition.
S31_EMIS_006,C0 and C1,reheating fuel emissions,reheating WAG or NG fuel use,WAG factors or NG factor,true,point_of_oxidation_use,WAG reheat emissions replace flare-sink location rather than add generation emissions,D/E,development_only,false,true,Reheating energy coefficient Tier-D; total WAG emissions may shift sinks rather than rise if flare would otherwise occur.,Replace reheating coefficient with source-backed value.
S31_EMIS_007,C0 and C1,steam/boiler NG emissions,natural-gas steam fuel use,natural-gas CO2 factor,true,combustion_if_residual_ng_used,Only residual NG after WAG steam use is counted,E,development_only,false,false,Currently zero in base because WAG covers selected steam demand.,Retain explicit residual.
S31_EMIS_008,C0 and C1,retained BF non-WAG process emissions,retained BF/BOF activity,missing residual factor,false,missing_not_zero,Do not add aggregate BF route factor on top of WAG oxidation,X,not_selected_missing,true,true,Material direct-emissions blocker.,Select non-overlapping BF process emissions boundary.
S31_EMIS_009,C0 and C1,retained BOF non-WAG process emissions,retained BOF activity,missing residual factor,false,missing_not_zero,Do not add aggregate BOF factor on top of WAG oxidation,X,not_selected_missing,true,true,Material direct-emissions blocker.,Select non-overlapping BOF process emissions boundary.
S31_EMIS_010,C0 and C1,coking non-WAG process emissions,coking proxy,missing residual factor,false,missing_not_zero,Do not double count COG oxidation,X,not_selected_missing,true,true,Material direct-emissions blocker.,Select coking non-WAG factor or explicit exclusion.
S31_EMIS_011,C0 and C1,electricity scope 2,grid import MWh,missing grid factor,false,out_of_scope_current_policy,Scope 2 is excluded from direct-emissions ledger,X,blocked,false,true,No grid emissions factor selected and not direct emissions.,Keep scope 2 blocked until explicit policy.
S31_EMIS_012,C0 and C1,downstream residual direct emissions,downstream asset throughput,missing coefficients,false,missing_not_zero,Do not infer emissions from accounting-driver rows,X,not_selected_missing,true,true,Blocks complete direct-emissions readiness.,Select downstream direct factors or explicit exclusions.
S31_EMIS_013,C0 and C1,gross ETS cost basis,total direct CO2 and CO2 price,missing CO2 price and free-allocation policy,false,blocked_cost_policy,No ETS cost without price and policy,X,blocked,true,true,ETS/gross CO2 cost remains blocked.,Select static CO2 price and ETS scope later.
