sink_id,fuel,lower,central,upper,unit,basis,numeric_parameter_support,source_or_policy_basis,eligible_for_s3_3g_diagnostic_variation,contributes_to_ng,contributes_to_wag_consumption,contributes_to_emissions,source_needed_before_approved_input,model_use_status,c0_c1_applicability,approved_input_status
hsm_fuel_substitution_ng,NG,7.936,8.618,9.3,PJ_NG_NCV/year,HSM/reheating fuel at 6.2 Mt/y final product,public/source-carded numeric range,S3.3g public reheating-furnace range 1.28-1.50 GJ/t_final from research memo,true,true,false,true,false,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
hsm_fuel_substitution_cog,COG,,,,PJ_COG_NCV/year,HSM/reheating fuel substitution,source-needed,"Athanasiadis structure supports COG or NG, but no governed numeric COG allocation was found locally",false,false,true,false,true,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
coking_plant_1_bfg,BFG,,,,PJ_BFG_NCV/year,Coking Plant 1 fuel mix,source-needed,"Athanasiadis structure supports BFG/COG/mix, but no governed numeric allocation was found locally",false,false,true,false,true,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
coking_plant_1_cog,COG,,,,PJ_COG_NCV/year,Coking Plant 1 fuel mix,source-needed,"Athanasiadis structure supports BFG/COG/mix, but no governed numeric allocation was found locally",false,false,true,false,true,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
pelletizing_firing_ng,NG,1.50672,1.8834,2.26008,PJ_NG_NCV/year,0.43 GJ/t pellet at 500 t/h DRP pellet capacity,governed provisional numeric range,JRC/BREF-style pellet firing intensity from S3 research memo; +/-20 pct diagnostic envelope,true,true,false,true,false,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
pelletizing_firing_cog,COG,,,,PJ_COG_NCV/year,pelletizing firing fuel substitution,source-needed,"Athanasiadis structure supports NG/COG/mix, but no governed COG split was found locally",false,false,true,false,true,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
pelletizing_grinding_ng,NG,,,,PJ_NG_NCV/year,pelletizing grinding fuel substitution,source-needed,"Athanasiadis structure supports NG/BOFG/mix, but no governed numeric allocation was found locally",false,false,true,false,true,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
pelletizing_grinding_bofg,BOFG,,,,PJ_BOFG_NCV/year,pelletizing grinding fuel substitution,source-needed,"Athanasiadis structure supports NG/BOFG/mix, but no governed BOFG split was found locally",false,false,true,false,true,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
boiler_steam_ng,NG,0.0,1.0,2.0,PJ_NG_NCV/year,boiler/steam demand allocation within S3.3c utility boundary,diagnostic-only governed provisional range,Athanasiadis boiler/steam structure plus S3.3c broader-boundary range; numeric split source-needed,true,true,false,true,true,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
boiler_steam_wag,WAG,0.0,1.0,2.0,PJ_WAG_NCV/year,boiler/steam demand allocation within S3.3c utility boundary,diagnostic-only governed provisional range,Athanasiadis boiler/steam structure plus S3.3c broader-boundary range; numeric split source-needed,true,false,true,false,true,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
vattenfall_generator_bfg_equivalent_wag,BFG_equivalent_WAG,0.5,0.75,1.0,fraction,WAG residual utilisation/interface limit,existing governed range,S3.3 calibration parameter wag_residual_utilisation_fraction,true,false,true,false,true,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
vattenfall_generator_high_lhv_injection_limit,high_LHV_gas_limit,5.0,5.0,5.0,MJ/m3,generator gas-mixture upper heating-value guardrail,diagnostic-only source-needed numeric,Athanasiadis gas-network explanation; PDF-direct source card still needed,true,false,true,false,true,diagnostic_only,C1 diagnostic active; C0 calibration not retuned,not_approved_input
