mechanism_id,mechanism_name,source_card_ids,source_title,source_location_or_section,extracted_value_or_statement,unit,activity_basis,c0_c1_applicability,evidence_tier,model_use_status,implementation_decision,limitation
S33B_MECH_001,BF7 closed in Phase 1,A_PHASE1_CLOSURE_PAIR_001;STEEL-SC-0013;deepsearch_2,Internal Phase 1 topology notes and climate-neutral pathways evidence,docs/optimisation/steel/STEEL_ASSUMPTION_REGISTER.md;research_memos/deepsearch_2_tata_ijmuiden_topology_validation_targets.md,BF7 closes/replaced in preferred Phase 1 reading.,qualitative,C1 topology,C1,B/C,source-backed enough,represented through C1 route-share topology proxy; no asset-level BF7 unit split yet,Public evidence supports closure but current MILP has aggregate BF-BOF route.
S33B_MECH_002,KGF2 closed in Phase 1,A_PHASE1_CLOSURE_PAIR_001;STEEL-SC-0013;deepsearch_2;deepsearch_4,Internal Phase 1 topology and WAG evidence,docs/optimisation/steel/STEEL_ASSUMPTION_REGISTER.md;research_memos/deepsearch_4_wags_internal_energy_emissions.md,KGF2 closes while KGF1 remains in default Phase 1.,qualitative,C1 coking topology,C1,B/C,provisional-dev,retain existing route-share-scaled coking proxy; do not invent a numeric KGF2-specific factor,Exact KGF1/KGF2 COG split is not public in current source cards.
S33B_MECH_003,KGF1 retained in Phase 1,A_KGF1_PHASE1_001;deepsearch_2;deepsearch_4,Internal retained coking assumption,docs/optimisation/steel/STEEL_ASSUMPTION_REGISTER.md,KGF1 remains unless a separate early-closure scenario is declared.,qualitative,C1 coking topology,C1,B/C,source-backed enough,represented by keeping nonzero COG/coking proxy in C1,Aggregate coking proxy cannot identify KGF1 independently.
S33B_MECH_004,DRP natural-gas intensity,STEEL-SC-0021;EVID-0067;s3_c1_route_energy_inputs,Athanasiadis Phase 1 component input,data/03_Optimisation/inputs/assets/steel/S3/s3_provisional_dev_input/s3_c1_route_energy_inputs.csv,195.0,m3_NG/t_pellets,pellets input,C1,B,source-backed enough,implemented via converted m3/t steel route coefficient; report explicit DRP NG separately,Activity-basis conversion must remain visible.
S33B_MECH_005,DRP capacity,STEEL-SC-0021;EVID-0064,Athanasiadis Phase 1 component capacity,steel_candidate_parameter_evidence_register.csv,500.0,t_pellets/h,pellets input,C1,B,source-backed enough,used to add capacity-implied C1 route-share diagnostic,"Capacity-implied route share is diagnostic/validation, not an approved exact route split."
S33B_MECH_006,Pellets-to-DRI efficiency,STEEL-SC-0021;EVID-0065,Athanasiadis Phase 1 component coefficient,steel_candidate_parameter_evidence_register.csv,0.74,t_DRI/t_pellets,pellets input,C1,B,source-backed enough,used in route-share capacity check and C1 route input conversion,
S33B_MECH_007,DRI-to-steel/EAF efficiency,STEEL-SC-0021;EVID-0059,Athanasiadis Phase 1 component coefficient,steel_candidate_parameter_evidence_register.csv,0.95,t_steel/t_DRI,DRI input,C1,B,source-backed enough,used in route-share capacity check and C1 route input conversion,
S33B_MECH_008,C1 route-share case near BF-BOF 0.50,STEEL-SC-0021;EVID-0064;EVID-0065;EVID-0059,Capacity-implied route split from public DRP capacity,derived from 500*0.74*0.95 at 6.2 Mt/y,0.5033645161290323,fraction BF-BOF,annual final product throughput,C1,B/D,provisional-dev,implemented as added C1 diagnostic route-share case; existing 0.55/0.61/0.68 retained,"It is a capacity-implied diagnostic, not proof of Tata exact route share."
S33B_MECH_009,Reduced C1 BFG/COG/BOFG production from topology,deepsearch_4;S30B_WAG_POLICY,WAG source volumes fall when BF7/KGF2 close and DRP/EAF enters,docs/optimisation/steel/research_memos/deepsearch_4_wags_internal_energy_emissions.md,qualitative reduction in BF/coke/oxygas availability,qualitative,route/WAG source production,C1,C,provisional-dev,represented only through route-share-scaled BF-BOF/coking proxy; no arbitrary WAG cap,Needs source-carded gas-source split for stronger implementation.
S33B_MECH_010,C1 WAG hierarchy to process/steam/boiler before power,S30B_WAG_POL_P5;deepsearch_4,WAG allocation policy and MER-derived WAG use interpretation,data/03_Optimisation/inputs/assets/steel/S3/s3_candidate_review/s3_wag_policy_decision_register.csv,"process/self-use, steam/boiler, import-offset power, flare",qualitative hierarchy,WAG allocation,C0/C1,C/D,source-backed enough,already represented in model constraints; S3.3b reports WAG-use components,Numeric C1 steam/boiler demand remains weak.
S33B_MECH_011,C1 NG top-up/back-up for process heat/steam/boilers,deepsearch_4;NG_TATA_VN25_TOPUP,MER-derived VN25/top-up/back-up discussion,docs/optimisation/steel/research_memos/deepsearch_4_wags_internal_energy_emissions.md,NG top-up when product gases do not satisfy minimum fuel need,qualitative,process heat/steam/boiler NG,C1,C,source-needed,not implemented numerically in S3.3b,No governed numeric top-up demand or efficiency was found; do not substitute S3.3a gap closure.
S33B_MECH_012,Vattenfall/WAG generator/interface Phase 1 changes,A_VATTENFALL_INTERFACE_001;STEEL-SC-0014;STEEL-SC-0015;deepsearch_7,Vattenfall interface and WAG electricity evidence,docs/optimisation/steel/STEEL_ASSUMPTION_REGISTER.md;research_memos/deepsearch_7_WAG.md,Interface/generator behaviour changes are public qualitatively.,qualitative,WAG-to-power interface,C1,C,source-needed,not implemented as numeric availability cap,No public unit-commitment/interface limit supports a specific C1 power reduction factor.
S33B_MECH_013,C1 residual/process-boundary NG,S3.3a diagnostics;C1 Table 9,Diagnostic Table 9 gap interpretation,s3_3a_c1_diagnostic_decision_summary.csv,S3.3a 89.478 m3/t_final_product diagnostic symptom,m3/t_final_product,final product residual boundary,C1,D,rejected,not promoted; no generic residual gap-closure input added,"Could be missing DRP/process/boiler NG or boundary mismatch, but is not a source-carded input."
S33B_MECH_014,C1 emissions boundary,Athanasiadis Table 9;S3.3 boundary crosswalk,Phase 1 CO2 holdout target,s3_3_target_boundary_crosswalk.csv,CO2 is treated as direct-site proxy with uncertainty flag.,tCO2/y,direct-site proxy,C1,C/D,provisional-dev,no structural change; keep boundary warning in directional validation,Athanasiadis/public boundary may include components not fully represented.
