parameter_id,configuration_scope,applies_to_configuration,plant_id,parameter_name,parameter_role,direction,carrier_or_material,base_value,low_value,high_value,unit,basis,conversion_formula,source_or_assumption_id,input_status,source_status,evidence_strength,executable_status,development_executable,thesis_usability,human_review_required,codex_may_decide,applies_to_solver,applies_to_diagnostics,applies_to_anchor_comparison,constraint_used,caveat
SINTER_BUS0,all,all,Sinter_Plant,SINTER_BUS0,mode,input,iron_ore,iron_ore,,,material_bus,bus0,,SINTER_Parameters_candidate_source_card,development_assumption,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,false,false,candidate only; not Tata-validated; not thesis-approved
SINTER_PROCESS_CLASS,all,all,Sinter_Plant,SINTER_PROCESS_CLASS,mode,input,,continuous_lp_link,,,class_label,plant_class,,SINTER_Parameters_candidate_source_card,development_assumption,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,false,false,candidate only; not Tata-validated; not thesis-approved
SINTER_STEAM_MODE,all,all,Sinter_Plant,SINTER_STEAM_MODE,mode,input,steam,active_utility_demand_with_proxy_supply,,,mode_label,utility_supply,,SINTER_Parameters_candidate_source_card,development_utility_proxy,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,false,false,candidate only; not Tata-validated; not thesis-approved
SINTER_CO2_ACCOUNTING_MODE,all,all,Sinter_Plant,SINTER_CO2_ACCOUNTING_MODE,mode,input,CO2,aggregate_counter_mode,,,mode_label,carbon_accounting,,SINTER_Parameters_candidate_source_card,development_assumption,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,false,false,aggregate CO2 counter only; Sinter COG/NG combustion CO2 objective accounting blocked
SINTER_ALLOWED_GAS_CARRIERS,all,all,Sinter_Plant,SINTER_ALLOWED_GAS_CARRIERS,eligibility,input,COG;NG,COG;NG,,,carrier_set,WAG_controller,,SINTER_Parameters_candidate_source_card,development_assumption,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,false,false,Sinter cannot use BFG or BOFG in the base C5m implementation
SINTER_WAG_PRODUCTION_FLAG,all,all,Sinter_Plant,SINTER_WAG_PRODUCTION_FLAG,eligibility,output,WAG,false,,,boolean,WAG_controller,,SINTER_Parameters_candidate_source_card,development_assumption,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,false,false,Sinter is a WAG consumer only; no Sinter off-gas useful-WAG is modelled
SINTER_PER_T_HOT_METAL_C0,C0_current_BF_BOF_reference,C0_current_BF_BOF_reference,Sinter_Plant,SINTER_PER_T_HOT_METAL_C0,driver_ratio,output,sinter,0.587302,,,t sinter / t hot metal,BF_hot_metal_coupled,ANCHOR_SINTER_C0_OUTPUT / ANCHOR_BF_C0_HOT_METAL = 3.7 / 6.3,SINTER_Parameters_candidate_source_card,development_candidate,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,false,false,development coupling coefficient; not a universal sinter recipe; not calibrated to active C0 output
SINTER_PER_T_HOT_METAL_C1,C1_phase1_BF_BOF_plus_DRP_EAF,C1_phase1_BF_BOF_plus_DRP_EAF,Sinter_Plant,SINTER_PER_T_HOT_METAL_C1,driver_ratio,output,sinter,1.0,,,t sinter / t hot metal,BF_hot_metal_coupled,ANCHOR_SINTER_C1_OUTPUT / ANCHOR_BF_C1_HOT_METAL = 2.8 / 2.8,SINTER_Parameters_candidate_source_card,development_candidate,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,false,false,development coupling coefficient; C1 operational flex band is not an hourly ramp range
SINTER_IRON_ORE_INPUT_T_PER_T_SINTER,all,all,Sinter_Plant,SINTER_IRON_ORE_INPUT_T_PER_T_SINTER,coefficient,input,iron_ore,0.813,,,t iron ore / t sinter,per_t_sinter,,SINTER_Parameters_candidate_source_card;C5_GATE1_USER_ACCEPTANCE,accepted_development_gate1,source_card_candidate_human_accepted_for_gate1,development-only; not Tata-validated; not thesis-approved,development_executable,true,false,false,false,true,true,false,true,Accepted only for coherent Gate-1 feed/output conversion; not full raw-mix truth
SINTER_OUTPUT_T_PER_T_IRON_ORE_BUS0,all,all,Sinter_Plant,SINTER_OUTPUT_T_PER_T_IRON_ORE_BUS0,derived_bus0_output_factor,output,sinter,1.23,,,t sinter / t iron ore bus0,bus0_iron_ore,1 / SINTER_IRON_ORE_INPUT_T_PER_T_SINTER,SINTER_Parameters_candidate_source_card;C5_GATE1_USER_ACCEPTANCE,accepted_development_gate1,source_card_candidate_human_accepted_for_gate1,development-only; not Tata-validated; not thesis-approved,development_executable,true,false,false,false,true,true,false,true,Active Gate-1 conversion; output exceeds bus0 input because omitted raw-mix inputs are implicit
SINTER_ELECTRICITY_MWH_PER_T_SINTER,all,all,Sinter_Plant,SINTER_ELECTRICITY_MWH_PER_T_SINTER,utility_coefficient,input,electricity,0.0343,0.0256,0.0431,MWh_e / t sinter,per_t_sinter,,SINTER_Parameters_candidate_source_card;C5_GATE1_USER_ACCEPTANCE,accepted_development_gate1,source_card_candidate_human_accepted_for_gate1,development-only; not Tata-validated; not thesis-approved,development_executable,true,false,false,false,true,true,false,true,When the electricity controller is active this denominator is converted sinter output
SINTER_COG_INPUT_GJ_PER_T_SINTER,all,all,Sinter_Plant,SINTER_COG_INPUT_GJ_PER_T_SINTER,gas_coefficient,input,COG_or_NG,0.067,0.035,0.185,GJ_LHV / t sinter,per_t_sinter,,SINTER_Parameters_candidate_source_card;C5_GATE1_USER_ACCEPTANCE,accepted_development_gate1,source_card_candidate_human_accepted_for_gate1,development-only; not Tata-validated; not thesis-approved,development_executable,true,false,false,false,true,true,false,true,Active carrier-specific Gate-1 COG demand on converted sinter output
SINTER_COG_INPUT_MWH_PER_T_SINTER,all,all,Sinter_Plant,SINTER_COG_INPUT_MWH_PER_T_SINTER,gas_coefficient,input,COG_or_NG,0.0186,,,MWh_LHV / t sinter,per_t_sinter,SINTER_COG_INPUT_GJ_PER_T_SINTER / 3.6,SINTER_Parameters_candidate_source_card;C5_GATE1_USER_ACCEPTANCE,accepted_development_gate1,source_card_candidate_human_accepted_for_gate1,development-only; not Tata-validated; not thesis-approved,development_executable,true,false,false,false,true,true,false,true,Active carrier-specific Gate-1 COG demand on converted sinter output
SINTER_STEAM_INPUT_T_PER_T_SINTER,all,all,Sinter_Plant,SINTER_STEAM_INPUT_T_PER_T_SINTER,utility_coefficient,input,steam,0.01,0.003,0.021,t steam / t sinter,per_t_sinter,,SINTER_Parameters_candidate_source_card,development_utility_proxy,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,false,false,candidate only; not Tata-validated; not thesis-approved
SINTER_DIRECT_CO2_T_PER_T_SINTER,all,all,Sinter_Plant,SINTER_DIRECT_CO2_T_PER_T_SINTER,aggregate_co2_counter,output,CO2,0.248,0.162,0.368,tCO2e / t sinter,per_t_sinter,,SINTER_Parameters_candidate_source_card,development_candidate,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,false,false,aggregate counter only; do not also book full Sinter COG/NG combustion CO2 as objective emissions
SINTER_CO2_IPCC_SANITY_T_PER_T_SINTER,all,all,Sinter_Plant,SINTER_CO2_IPCC_SANITY_T_PER_T_SINTER,sensitivity_metadata,output,CO2,0.21,,,tCO2 / t sinter,per_t_sinter,,SINTER_Parameters_candidate_source_card,development_anchor_context,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,true,false,candidate only; not Tata-validated; not thesis-approved
SINTER_CO2_EU_ETS_BENCHMARK_T_PER_T_SINTER,all,all,Sinter_Plant,SINTER_CO2_EU_ETS_BENCHMARK_T_PER_T_SINTER,sensitivity_metadata,output,CO2,0.157,,,tCO2e / t sinter,per_t_sinter,,SINTER_Parameters_candidate_source_card,development_anchor_context,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,true,false,benchmark-only reference; not used for ETS objective steering
ANCHOR_SINTER_C0_OUTPUT,C0_current_BF_BOF_reference,C0_current_BF_BOF_reference,Sinter_Plant,ANCHOR_SINTER_C0_OUTPUT,validation_anchor_context,context,sinter_or_hot_metal,3700000.0,,,t/y,public_MER_context_anchor,,SINTER_Parameters_candidate_source_card,development_anchor_context,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,true,false,validation/context only; constraint_used=false; not a dispatch or calibration constraint
ANCHOR_SINTER_C1_OUTPUT,C1_phase1_BF_BOF_plus_DRP_EAF,C1_phase1_BF_BOF_plus_DRP_EAF,Sinter_Plant,ANCHOR_SINTER_C1_OUTPUT,validation_anchor_context,context,sinter_or_hot_metal,2800000.0,,,t/y,public_MER_context_anchor,,SINTER_Parameters_candidate_source_card,development_anchor_context,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,true,false,validation/context only; constraint_used=false; not a dispatch or calibration constraint
ANCHOR_BF_C0_HOT_METAL,C0_current_BF_BOF_reference,C0_current_BF_BOF_reference,Sinter_Plant,ANCHOR_BF_C0_HOT_METAL,validation_anchor_context,context,sinter_or_hot_metal,6300000.0,,,t/y,public_MER_context_anchor,,SINTER_Parameters_candidate_source_card,development_anchor_context,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,true,false,validation/context only; constraint_used=false; not a dispatch or calibration constraint
ANCHOR_BF_C1_HOT_METAL,C1_phase1_BF_BOF_plus_DRP_EAF,C1_phase1_BF_BOF_plus_DRP_EAF,Sinter_Plant,ANCHOR_BF_C1_HOT_METAL,validation_anchor_context,context,sinter_or_hot_metal,2800000.0,,,t/y,public_MER_context_anchor,,SINTER_Parameters_candidate_source_card,development_anchor_context,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,true,false,validation/context only; constraint_used=false; not a dispatch or calibration constraint
ANCHOR_SINTER_C1_OPERATIONAL_FLEX_MIN,C1_phase1_BF_BOF_plus_DRP_EAF,C1_phase1_BF_BOF_plus_DRP_EAF,Sinter_Plant,ANCHOR_SINTER_C1_OPERATIONAL_FLEX_MIN,validation_anchor_context,context,sinter_or_hot_metal,1800000.0,,,t/y,public_MER_context_anchor,,SINTER_Parameters_candidate_source_card,development_anchor_context,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,true,false,validation/context only; constraint_used=false; not a dispatch or calibration constraint
ANCHOR_SINTER_C1_OPERATIONAL_FLEX_MAX,C1_phase1_BF_BOF_plus_DRP_EAF,C1_phase1_BF_BOF_plus_DRP_EAF,Sinter_Plant,ANCHOR_SINTER_C1_OPERATIONAL_FLEX_MAX,validation_anchor_context,context,sinter_or_hot_metal,2800000.0,,,t/y,public_MER_context_anchor,,SINTER_Parameters_candidate_source_card,development_anchor_context,source_card_candidate,candidate only; not Tata-validated; not thesis-approved,development_executable,true,false,true,false,false,true,true,false,validation/context only; constraint_used=false; not a dispatch or calibration constraint
