asset_or_boundary_id,asset_or_boundary_name,expected_stage,found_in_s2_12_register,found_in_s3_policy,found_in_fixed_profiles,found_in_executable_loader,found_in_diagnostic_outputs,found_in_tests,implementation_status,classification,flexible_scheduling_asset,accounting_only_asset,throughput_coupled,energy_boundary_role,cost_da_ready,thesis_usability,limitations,next_action
secondary_metallurgy,secondary metallurgy / ladle treatment,S3 accounting closure,true,true,true,true,false,true,profile_driver_present,accounting_driver_only,false,true,true,downstream_continuation,false,false,S2.12 registered only; S3 profile now carries driver rows but no energy coefficient or scheduling logic.,select throughput-coupled electricity/heat coefficient before cost readiness
continuous_casting,continuous casting,S3 accounting closure,true,true,true,true,false,true,profile_driver_present,accounting_driver_only,false,true,true,downstream_continuation,false,false,S2.12 registered only; S3 profile now carries liquid-steel input and slab-output proxy drivers.,select casting electricity/utility coefficients if used
slab_handling_transfer,slab handling / slab transfer / slab yard,S3 accounting closure,true,true,true,true,false,true,profile_driver_present,accounting_driver_only,false,true,true,downstream_continuation,false,false,"No slab yard optimisation, slab WIP, or storage behaviour is active.",keep scheduling deferred; select accounting coefficient only if needed
direct_sheet_or_direct_slab_processing,direct sheet plant or direct slab processing,future boundary review,false,false,false,false,false,true,not_found,not_in_current_c0_c1_scope,false,false,false,not_current_boundary,false,false,No listed executable or S2.12 register surface found for direct sheet/direct slab processing in current C0/C1 boundary.,defer until product-boundary scope is reopened
reheating_or_hot_charge,reheating furnace / hot-charge boundary,S3 accounting closure,true,true,true,true,false,true,profile_driver_present,accounting_driver_only,false,true,true,heat_steam_boundary,false,false,Driver exists; reheating fuel/heat coefficient remains missing and not zero-filled.,select heat/fuel coefficient or explicit hot/cold charge policy before cost readiness
hot_strip_mill,hot strip mill,S3 accounting closure,true,true,true,true,false,true,profile_driver_present,accounting_driver_only,false,true,true,downstream_electricity_boundary,false,false,"Driver exists; no HSM scheduling, rolling binaries, or electricity coefficient is active.",select HSM electricity coefficient before cost readiness
downstream_rolling_finishing,downstream rolling/finishing boundary,S3 accounting closure,true,true,true,true,false,true,profile_driver_present,accounting_driver_only,false,true,true,product_boundary,false,false,Represented as finished-product boundary proxy only; no product mix or revenue.,define product-output boundary and coefficients before economics
asu_oxygen_supply,ASU / oxygen production or oxygen supply,S3 accounting closure,true,true,true,true,false,true,profile_driver_present,accounting_driver_only,false,true,true,auxiliary_electricity_boundary,false,false,Oxygen/ASU driver exists; no ASU electricity coefficient is applied.,select ASU/oxygen electricity coefficient before cost readiness
residual_downstream_auxiliary_electricity,residual downstream/auxiliary electricity boundary,S3 accounting closure,true,true,true,true,false,true,profile_driver_present,accounting_driver_only,false,true,true,auxiliary_electricity_boundary,false,false,Residual auxiliary driver exists; no hidden residual load or full-site anchor is inserted.,choose component/residual/site electricity policy before cost readiness
residual_downstream_heat_steam,residual downstream heat/steam boundary,S3 accounting closure,false,true,false,false,false,true,registered_boundary_only,boundary_requirement_only,false,true,true,heat_steam_boundary,false,false,Only documented as missing boundary requirement; no explicit heat/steam profile driver or coefficient is active beyond coking steam.,select heat/steam sink coefficients or policy before cost readiness
