review_id,parameter_name,asset,selected_value,selected_lower,selected_upper,unit,evidence_tier,model_use_status,source_or_policy_basis,sensitivity_required,tata_exact_claim_allowed,thesis_validation_claim_eligible,selection_rationale,limitations,next_action
S31_EE_REVIEW_001,secondary_metallurgy_electricity_mwh_per_t,secondary_metallurgy,0.010,0.005,0.020,MWh/t,D,development_only,user-authorised S3.1 Tier-D fallback,true,false,false,Required for electricity coupling to scheduled secondary metallurgy throughput.,Not Tata-exact; replace with source-backed coefficient before final claim.,Sensitivity review and source search.
S31_EE_REVIEW_002,continuous_casting_electricity_mwh_per_t,continuous_caster,0.030,0.015,0.050,MWh/t,D,development_only,user-authorised S3.1 Tier-D fallback,true,false,false,Required for electricity coupling to caster throughput.,Not Tata-exact; replace with source-backed coefficient before final claim.,Sensitivity review and source search.
S31_EE_REVIEW_003,slab_handling_electricity_mwh_per_t,slab_handling,0.005,0.002,0.010,MWh/t,D,development_only,user-authorised S3.1 Tier-D fallback,true,false,false,Required to avoid hidden zero for slab transfer/yard electricity.,Generic proxy only.,Sensitivity review and source search.
S31_EE_REVIEW_004,dsp_electricity_mwh_per_t,DSP,0.035,0.020,0.060,MWh/t,D,development_only,user-authorised S3.1 Tier-D fallback,true,false,false,Required for DSP hot-route electricity hook.,Generic proxy only.,Sensitivity review and source search.
S31_EE_REVIEW_005,reheating_heat_gj_per_t_cold_slab,reheating_furnace,1.20,0.80,1.80,GJ/t,D,development_only,user-authorised S3.1 Tier-D fallback,true,false,false,Required to value hot charging as avoided physical reheating demand.,Useful heat/fuel proxy; not furnace-specific.,Sensitivity review and source search.
S31_EE_REVIEW_006,reheating_aux_electricity_mwh_per_t,reheating_furnace,0.010,0.005,0.020,MWh/t,D,development_only,user-authorised S3.1 Tier-D fallback,true,false,false,Required for reheating auxiliary electricity hook.,Generic proxy only.,Sensitivity review and source search.
S31_EE_REVIEW_007,hsm_electricity_mwh_per_t,HSM,0.070,0.040,0.100,MWh/t,D,development_only,user-authorised S3.1 Tier-D fallback,true,false,false,Required for HSM electricity coupling to scheduled slab input.,Generic proxy only.,Sensitivity review and source search.
S31_EE_REVIEW_008,asu_electricity_mwh_per_t_o2,ASU,0.220,0.150,0.300,MWh/t_O2,D,development_only,user-authorised S3.1 Tier-D fallback,true,false,false,Required to turn oxygen drivers into electricity demand.,Generic proxy only.,Sensitivity review and source search.
S31_EE_REVIEW_009,bof_oxygen_t_per_t_liquid_steel,BOF,0.070,0.050,0.090,t_O2/t,D,development_only,user-authorised S3.1 Tier-D fallback,true,false,false,Required to avoid free BOF oxygen.,Generic proxy only.,Sensitivity review and source search.
S31_EE_REVIEW_010,residual_auxiliary_electricity_mwh_per_t_final,residual_site_auxiliaries,0.100,0.050,0.200,MWh/t,D,development_only,user-authorised S3.1 residual-load policy,true,false,false,Represents explicitly unmodelled auxiliary electricity after excluding named assets.,Not the 3 TWh site anchor and not observed import.,Boundary review.
S31_EE_REVIEW_011,natural_gas_energy_content_gj_per_m3,natural_gas,0.03517,0.033,0.039,GJ/m3,D,development_only,user-authorised S3.1 conversion fallback,true,false,false,Needed to report DRP gas volume as energy.,Generic conversion only.,Replace with governed fuel property if selected.
S31_EE_REVIEW_012,wag_to_power_efficiency_fraction,WAG_power_interface,0.3715,0.321,0.422,dimensionless,E,derived_assumption,S30B_WAG_DEV_011 divided by 100,true,false,false,Uses existing selected S3 WAG efficiency as potential internal generation conversion.,Not Vattenfall dispatch truth.,Review interface capacity before economic credit.
S31_EE_REVIEW_013,wag_to_power_base_dispatch_mode,WAG_power_interface,potential_only_no_base_dispatch,,,accounting_rule,E,development_only,S30B_WAG_DEV_014 import-offset policy,false,false,false,Blocks unconditional WAG power credit without interface capacity validation.,Potential power only; no export or revenue.,Select interface capacity before cost credit.
S31_EE_REVIEW_014,flare_spill_treatment,WAG_flare_spill,complete_oxidation_flare_sink,,,accounting_rule,E,development_only,S30B_WAG_DEV_012 and S30B_WAG_DEV_013,false,false,false,Keeps unused WAG as explicit flare/spill oxidation sink.,Not validated actual flare operation.,Retain explicit residual.
S31_EE_REVIEW_015,natural_gas_combustion_factor_t_per_gj,natural_gas,0.0561,0.0561,0.0561,t_CO2/GJ,E,derived_assumption,S30B_WAG_DEV_010 divided by 1000,false,false,false,Used for non-DRP NG combustion only.,DRP direct proxy blocks additive DRP NG combustion CO2.,Retain non-double-counting guard.
