table_name,purpose,required_columns,unit_conventions,key_columns,source_evidence_link_columns,governance_status_columns,development_only_allowed,validation_only_allowed,codex_may_promote_values
configuration_assets.csv,Map assets to configurations,configuration_id;asset_id;active;capacity_status;controllability_status;notes,asset-specific units,configuration_id;asset_id,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,yes,false
process_units.csv,Define physical process units and bounds,process_id;asset_id;configuration_id;min_rate;max_rate;rate_unit;ramp_up;ramp_down;commitment_type,rate per hour where time indexed,configuration_id;process_id,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,no,false
process_io_coefficients.csv,Define material input-output yields,process_id;input_material;output_material;coefficient;coefficient_unit;basis,tonne per tonne unless stated,process_id;input_material;output_material,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,no,false
process_energy_intensities.csv,Define process energy demand or generation,process_id;carrier;direction;intensity;intensity_unit;basis,MWh per tonne or Nm3 per tonne,process_id;carrier;direction,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,no,false
process_emission_factors.csv,Define emissions factors for reporting,process_id;emission_scope;factor;factor_unit;basis,tCO2 per tonne or carrier unit,process_id;emission_scope,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,yes,false
buffers_and_stores.csv,Define inventories and terminal rules,buffer_id;material;configuration_id;capacity;capacity_unit;initial_rule;terminal_rule;loss_rate,tonnes or MWh,configuration_id;buffer_id,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,no,false
wag_generation_coefficients.csv,Define WAG generation from processes,process_id;wag_carrier;coefficient;coefficient_unit;basis;configuration_id,Nm3 or MWh equivalent per process unit,configuration_id;process_id;wag_carrier,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,yes,false
wag_sink_eligibility.csv,Define allowed WAG sinks and flaring,configuration_id;wag_carrier;sink_asset;eligible;priority;flaring_allowed;cost_treatment,carrier unit per hour,configuration_id;wag_carrier;sink_asset,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,yes,false
utility_demands.csv,Define fixed or process-linked utilities,configuration_id;asset_id;utility_carrier;demand_type;value;unit;allocation_basis,MWh or Nm3 or tonnes,configuration_id;asset_id;utility_carrier,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,yes,false
utility_conversion_assets.csv,Define boiler and generation conversions,asset_id;input_carrier;output_carrier;efficiency;capacity;unit;dispatchable,carrier conversion units,asset_id;input_carrier;output_carrier,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,no,false
external_supply_costs.csv,Define external costs only,carrier_or_material;cost_value;cost_unit;currency;time_basis;active_in_objective,EUR per MWh or EUR per Nm3 or EUR per tonne,carrier_or_material;time_basis,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,yes,false
market_price_inputs.csv,Define market price sources and windows,market;price_file;timestamp_column;price_column;timezone;unit;window_start;window_end,EUR per MWh and UTC timestamps,market;window_start;window_end,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,no,false
production_targets.csv,Define route-neutral production target,configuration_id;target_id;product;target_value;target_unit;time_basis;hard_target,tonnes final product,configuration_id;target_id,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,yes,false
validation_anchors.csv,Store annual or contextual anchors,configuration_id;metric;anchor_value;anchor_unit;time_basis;comparison_role;locator,PJ/y or TWh/y or tonnes/y,configuration_id;metric;time_basis,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,no,yes,false
policy_modes.csv,Define run policies and forbidden terms,policy_id;policy_mode;objective_price_treatment;settlement_treatment;forbidden_terms;allowed_terms;notes,policy text not numeric,policy_id;policy_mode,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,no,false
solver_and_horizon_config.csv,Define horizon and solver settings,run_profile_id;horizon_hours;time_step_hours;solver;objective_mode;output_policy;notes,hours and solver names,run_profile_id,source_card_ids;candidate_id,evidence_strength;input_status;thesis_usability;codex_may_decide;human_review_required;caveat,yes,no,false
