assumption_id,category,short_name,current_value_or_policy,unit,applies_to,source_or_stage,evidence_status,model_impact,checkability,reviewer_question,possible_alternatives,recommendation,priority,caveat
A001,configuration,C0 definition,current BF-BOF reference with BF-BOF route only,policy,C0,STEEL_MODEL_POLICY_DECISIONS.md,modelling_policy,Defines reference case for comparison,Check against C0/C1 scope docs,Is this acceptable as the current-route baseline for the thesis,Keep C0 BF-BOF reference; add sensitivities later,Preserve for current C5 review,P1_review_before_thesis_results,Development model is public-source inspired not a site twin
A002,configuration,C1 definition,Phase 1 hybrid BF-BOF plus NG-DRP plus EAF,policy,C1,STEEL_MODEL_POLICY_DECISIONS.md,modelling_policy,Defines transformed route and flexibility assets,Check against scope freeze,Is this the right C1 base case before economics,Keep phase 1 hybrid; defer H2-only and later stages,Preserve for current C5 review,P1_review_before_thesis_results,No full steel-plant MILP or market logic yet
A003,configuration,C1 retained and inactive assets,BF6 and KGF1 retained; BF7 inactive; KGF2 inactive,policy,C1,C5 docs and configuration scope,modelling_policy,Controls coke gas and BF-BOF route scale,Check against configuration rows and source cards,Is the retained plant convention acceptable for C1 review,Keep current convention; create sensitivity only after decision,Preserve unless methodological decision changes C1,P0_review_before_economics,Coke and WAG balances depend on this convention
A004,production,Active production target,6.75,Mt liquid steel per year,C0 and C1,C5p_e annual reconciliation,development_reconciliation,Normalises C0 and C1 comparison,Check c5_annual_config_comparison.csv,Is 6.75 Mt/y acceptable as active physical baseline with 7.2 and 6.8 as validation context,6.75; 6.8; 7.2 Mt/y,Keep 6.75 until supervisor decision,P0_review_before_economics,Changing this changes the accepted C5 baseline
A005,production,Raw public LS anchors,C0 7.2; C1 6.8,Mt liquid steel per year,C0 and C1,C5p_e annual reconciliation,source_backed_validation_anchor,Validation context but not executable target,Check anchor reconciliation matrix,Should raw anchors remain validation-only rather than constraints,Use as constraints; use as context; scale to one basis,Keep validation-only for now,P0_review_before_economics,Do not silently force raw anchors into model equations
A006,production,C1 route split,BOF 3.4; EAF 3.35; total 6.75,Mt liquid steel per year,C1,C5p_e annual reconciliation,development_reconciliation,Sets DRP/EAF scale and retained BOF route,Check anchor reconciliation matrix,Is the C1 split around 3.35 EAF and 3.4 BOF directionally acceptable,Use raw 3.3 EAF; use exact 50-50; sensitivity later,Keep current C5 split for review,P0_review_before_economics,Route-origin tagging remains incomplete downstream
A007,production,Final-product proxy,C0 6.259091; C1 6.800535,Mt product proxy per year,C0 and C1,C5p_e annual reconciliation,development_reconciliation,Affects later EUR per tonne denominator if used,Check annual config comparison,Should economics report primarily per active LS target with product proxy secondary,Liquid steel denominator; final-product proxy; dual reporting,Use dual reporting later but do not freeze denominator,P0_review_before_economics,Denominator unresolved
A008,production,Raw product anchors,C0 6.9; C1 7.0,Mt product proxy per year,C0 and C1,C5p_e annual reconciliation,source_backed_validation_anchor,Validation context for downstream output,Check anchor reconciliation matrix,Should raw product anchors remain context until denominator is fixed,Use as hard denominator; use as context,Keep context-only,P0_review_before_economics,Not a EUR/t denominator yet
A009,materials,PEFA fired pellets,C0 4.3125; C1 4.963235,Mt/y,C0 and C1,C5n_a and C5p_e,development_reconciliation,Controls pellet balance and PEFA utility demand,Check annual config comparison and PEFA source card,Are current PEFA outputs acceptable for C5 baseline,Use raw anchors; adjust imports; sensitivity later,Preserve current reconciliation,P1_review_before_thesis_results,Single fired-pellet proxy with no grade split
A010,materials,Imported pellets,C0 1.40625; C1 0.198529,Mt/y,C0 and C1,C5n_b and C5p_e,development_reconciliation,Affects pellet balance and import exposure,Check annual config comparison,Is the C1 low imported-pellet assumption acceptable,Keep fixed import; enforce raw import anchor; sensitivity,Preserve current value for C5 review,P1_review_before_thesis_results,Import is fixed exogenous supply not slack
A011,materials,BF pellet demand,C0 5.71875; C1 1.405803,Mt/y,C0 and C1,C5n_b and C5p_e,development_reconciliation,Controls retained BF material demand,Check annual config comparison,Is the BF pellet coefficient acceptable as reconciliation rather than recipe,Keep reconciliation; source-review coefficient; sensitivity,Review later but do not tune now,P1_review_before_thesis_results,Coefficient is not BF burden truth
A012,materials,DRP pellet demand,C1 3.755962,Mt/y,C1,C5o_a and C5p_e,development_reconciliation,Controls DRP feed and PEFA/import balance,Check anchor reconciliation matrix,Is the DRP pellet input basis acceptable for Phase 1,1.35 to 1.40 t pellets per t DRI; current C5 value,Preserve current basis pending review,P1_review_before_thesis_results,Vendor range is plausible but not Tata-validated
