parameter_id,parameter_category,description,unit,possible_source_type,public_availability,model_role,suitable_phase,approval_status,confidence,caveat,notes
FIN_ELEC_IMPORT_PRICE,electricity_price,Electricity import price time series,EUR_per_MWh,exchange_or_market_data,public,cost_input,S3,candidate_not_approved,high,Requires timestamp source and market-zone tag,Base economic layer needs time series not a scalar
FIN_ELEC_EXPORT_PRICE,electricity_price,Electricity export price time series if export is allowed,EUR_per_MWh,exchange_or_market_data,public,revenue_or_offset,S4,candidate_not_approved,medium,Only relevant if explicit export path exists,Not required for base fixed-target cost-min case
FIN_NATURAL_GAS_PRICE,fuel_price,Natural gas price time series or scenario,EUR_per_MWh,exchange_or_commodity_data,public,cost_input,S3,candidate_not_approved,high,Requires timestamp source and scenario tag,Keep separate from transport tariff
FIN_HYDROGEN_PRICE,fuel_price,Hydrogen price scenario,EUR_per_kg_or_EUR_per_MWh_H2,scenario_study_or_contract_proxy,mixed,cost_input,S3,sensitivity_only,medium,Hydrogen availability and connection flags must also be explicit,Not a default always-on cost input
FIN_EUA_PRICE,carbon_price,EUA or ETS allowance price time series,EUR_per_tCO2,market_or_policy_data,public,cost_input,S3,candidate_not_approved,high,Requires timestamp source and scenario tag,Base carbon policy uses gross ETS cost visibly
FIN_IRON_ORE_PELLET_PRICE,commodity_price,Iron ore or pellet price scenario,EUR_per_t,commodity_reference_series,public,cost_input,S3,candidate_not_approved,medium,Requires timestamp source and scenario tag,Route and grade basis must be explicit
FIN_DR_GRADE_PELLET_PRICE,commodity_price,DR-grade pellet price scenario,EUR_per_t,commodity_or_industry_reference,mixed,cost_input,S3,candidate_not_approved,medium,Public generic sources may be weaker than standard pellet references,Keep grade distinction explicit
FIN_SCRAP_PRICE,commodity_price,Scrap price scenario,EUR_per_t,commodity_reference_series,public,cost_input,S3,candidate_not_approved,medium-high,Requires timestamp source and scenario tag,Scrap-grade basis should be explicit if used later
FIN_COKING_COAL_PRICE,commodity_price,Coking coal price scenario,EUR_per_t,commodity_reference_series,public,cost_input,S3,candidate_not_approved,medium,Requires timestamp source and scenario tag,Do not silently substitute generic coal series
FIN_COKE_PRICE,commodity_price,Coke price scenario,EUR_per_t,commodity_or_industry_reference,mixed,cost_input,S3,candidate_not_approved,medium,Requires timestamp source and scenario tag,Public series may be patchy
FIN_PCI_COAL_PRICE,commodity_price,PCI coal price scenario,EUR_per_t,commodity_or_industry_reference,mixed,cost_input,S3,candidate_not_approved,medium,Requires timestamp source and scenario tag,Keep PCI separate from coking coal if used
FIN_OXYGEN_INDUSTRIAL_GAS_COST,utility_cost,Oxygen or industrial gas cost proxy,EUR_per_t_or_EUR_per_Nm3,public_tariff_or_industry_proxy,mixed,cost_input,S3,candidate_not_approved,low_to_medium,Proxy only unless better evidence is added,Later utility refinement likely needed
FIN_ELECTRODES_REFRACTORIES,consumables_cost,Electrodes and refractories proxy,EUR_per_t_steel_or_batch,industry_proxy,limited,cost_input,S3,sensitivity_only,low,Public exact cost support is weak,Use only as explicit proxy or later sensitivity
FIN_LIME_FLUXES,consumables_cost,Lime and fluxes cost proxy,EUR_per_t,commodity_reference_or_proxy,mixed,cost_input,S3,candidate_not_approved,medium,Requires timestamp source and scenario tag,Keep as separate consumables family
FIN_SLAG_BYPRODUCT_VALUE,byproduct_credit,Slag or by-product value or disposal offset,EUR_per_t,industry_proxy_or_contract_context,limited,reporting_or_sensitivity,S3,sensitivity_only,low,Strongly local and contract dependent,Do not assume autonomous revenue
FIN_WASTE_DISPOSAL_COST,disposal_cost,Waste or disposal cost proxy,EUR_per_t,public_proxy_or_contract_context,limited,cost_input,S3,sensitivity_only,low,Site-specific contract effects may dominate,Keep explicit if used
FIN_VARIABLE_OM_PROXY,om_cost,Variable O and M proxy,EUR_per_t_or_EUR_per_hour,industry_proxy,limited,cost_input,S3,candidate_not_approved,medium,Proxy only and not approved site truth,Useful for coarse route economics
FIN_FIXED_OM_PROXY,om_cost,Fixed O and M proxy,EUR_per_period,industry_proxy,limited,reporting_or_sensitivity,S3,sensitivity_only,low,Not decisive for short-horizon dispatch unless carefully allocated,May stay outside short-horizon objective
FIN_STEEL_OUTPUT_VALUE_REPORTING,product_value,Steel output value or product margin proxy,EUR_per_t,public_index_or_report_context,limited,reporting_only,S3,reporting_only,medium,Must not drive the base objective,Ex-post margin only unless future policy changes
