method_id,applies_to_asset_or_route,annual_quantity_symbol,availability_assumption_symbol,utilisation_assumption_symbol,derived_hourly_quantity,formula,suitable_use,approval_status,caveat,notes
ATH01,any_continuous_or_aggregate_route,Q_ann,,,"Q_avg_calendar","Q_avg_calendar = Q_ann / 8760",calendar_average_reference,assumption_support,"Calendar average is not the operational hourly maximum.","Use only as a reference baseline for translation discussions."
ATH02,any_asset_with_availability,Q_ann,A_avail,,"H_avail","H_avail = A_avail * 8760",availability_hours_method,assumption_support,"Availability must be stated explicitly and never hidden inside hourly caps.","Core Wave C methodology row."
ATH03,any_asset_with_availability,Q_ann,A_avail,,"Q_avg_online","Q_avg_online = Q_ann / (A_avail * 8760)",online_average_translation,assumption_support,"Online average throughput is not the same as maximum feasible throughput when the asset is online.","Useful for continuity-driven assets."
ATH04,asset_with_nameplate_capacity,Q_ann,A_avail,U_util,"Q_nameplate_online","Q_nameplate_online = Q_ann / (A_avail * U_util * 8760)",nameplate_implied_online_throughput,assumption_support,"Requires explicit utilisation assumption in addition to availability.","Do not back-calculate hidden certainty from annual values."
ATH05,continuity_driven_asset,Q_ann,A_avail,U_util,"hourly_envelope_continuous","hourly envelope = [Q_avg_online, Q_avg_online / U_util]",continuity_driven_hourly_envelope,assumption_support,"Envelope only; exact turndown remains sensitivity-only.","Applicable to BF and DRP in S2."
ATH06,batch_equivalent_asset,Q_ann,A_avail,U_util,"hourly_envelope_batch_equivalent","hourly envelope = annualised equivalent throughput plus explicit batch caveat",batch_equivalent_translation,assumption_support,"BOF and EAF should not be treated as fully continuous free dimmers.","Supports coarse hourly-equivalent representation only."
ATH07,route_or_asset_with_variant_envelopes,Q_ann,A_avail,U_util,"central_conservative_flexible_variants","central, conservative, and flexible variants are created by explicit A_avail and U_util sets",variant_envelope_design,assumption_support,"Envelope variants are methodology choices, not approved operating values.","Use for candidate-sensitivity design."
ATH08,bf_or_drp,bf_or_drp_annual_quantity,A_avail,U_util,"narrow_hourly_envelope","continuity-driven assets use narrow hourly envelopes around online-average throughput",continuity_asset_rule,assumption_support,"Continuity-driven classification must be documented explicitly.","BF and DRP default S2 treatment."
ATH09,bof_or_eaf,bof_or_eaf_annual_quantity,A_avail,U_util,"batch_equivalent_hourly_logic","batch-equivalent assets use annualised hourly logic with explicit batch caveat and no free dimmer assumption",batch_equivalent_rule,assumption_support,"This is a methodological simplification, not an assertion of true continuous operation.","BOF and EAF default S2 treatment."
ATH10,hdrI_transfer,hdrI_annual_flow,A_avail,,"hdrI_short_transfer_rule","HDRI is treated as immediate or short-dwell transfer, not long-duration storage",structural_transfer_rule,assumption_support,"HDRI storage freedom should not be created by the translation method.","Supports hot-DRI arc treatment."
ATH11,cdri_or_hbi_buffer,cdri_hbi_annual_flow,A_avail,U_util,"buffer_like_rule_with_caveats","CDRI or HBI may be represented as buffer-like only with explicit throughput, safety, and endpoint caveats",buffer_like_translation,assumption_support,"Storage-like representation still requires physical caveats and should not become an arbitrage battery.","Reserve for later buffer design."
ATH12,slab_or_wip_route,slab_or_wip_annual_flow,A_avail,U_util,"hot_cold_route_split_rule","hot-route and cold-route downstream handling require explicit routing assumptions and endpoint rules",downstream_route_translation,assumption_support,"Route split and reheating effects should not be hidden in a single unrestricted inventory state.","Supports slab and WIP treatment."
ATH13,inventory_endpoint_state,inventory_ann,,,"inventory_endpoint_neutrality","terminal inventory rule must prevent value creation from end-horizon stock shifts",inventory_endpoint_rule,assumption_support,"Endpoint neutrality is a modelling rule, not a measured technology coefficient.","Needed for DRI and slab/WIP stores."
ATH14,average_vs_maximum_throughput,Q_ann,A_avail,U_util,"distinguish_average_from_maximum","average throughput != operational hourly maximum",methodological_warning,assumption_support,"Public annual values must never be promoted directly to hourly maxima.","Core Wave C warning row."
