parameter_id,category,subcategory,process_or_buffer,carrier_input,carrier_output,candidate_value,candidate_min,candidate_max,unit,relative_unit_basis,source_ids,evidence_strength,modelling_role,recommended_status,sensitivity_required,stage_relevance,approval_blocker,executable_status,thesis_usability,notes
S2F01,inventory_policy,initial_inventory_fraction,all_explicit_internal_buffers,n_a,n_a,0.50,0.50,0.50,fraction_of_capacity,fraction_of_buffer_capacity,F02,high,assumption_library,methodological_policy_candidate,true,S2,Needs explicit future promotion into approved initial-inventory rows; still non-executable,non_executable,false,CYC50 initial inventory fraction for explicit internal buffers only.
S2F02,inventory_policy,terminal_inventory_rule,all_explicit_internal_buffers,n_a,n_a,terminal_equals_initial,terminal_equals_initial,terminal_equals_initial,rule,cyclic_endpoint_policy,F02,high,assumption_library,methodological_policy_candidate,true,S2,Needs explicit future promotion into approved terminal-rule rows; still non-executable,non_executable,false,Cyclic terminal inventory prevents fake flexibility from net depletion.
S2F03,buffer_class,hot_metal_buffer,hot_metal_transport_and_mixer,hot_metal,hot_metal,small_buffer_class,1,3,BOF_heats,heats_or_small_hours_of_shop_feed,F03;F01,high,buffer_candidate,assumption_backed_candidate,true,S2,Relative sizing and local mixer interpretation still require review,non_executable,false,Hot metal is a small real buffer and not a large arbitrage store.
S2F04,buffer_class,hdri_surge_or_feed_bin,hdrI_surge_or_feed_bins,dri,dri,one_to_two_heat_class,1,2,EAF_heats,heats_of_EAF_metallic_feed,F05;F06,high,buffer_candidate,assumption_backed_candidate,true,S2,Vendor-context evidence must be cross-checked before any executable promotion,non_executable,false,Central S2 class for continuous DRP to batch EAF decoupling.
S2F05,buffer_class,cdri_hbi_storage,cdri_or_hbi_storage,dri,dri,hbi_storage_or_cdri_cautious_storage,0.5,3,days_of_EAF_metallic_demand,days_of_EAF_metallic_demand,F06;F07;F08,medium,buffer_candidate,sensitivity_only,true,S2,Storage duration and handling practice are product-form dependent and weakly site-transferable,non_executable,false,Use only as explicit sensitivity and not as a default hot-coupled base store.
S2F06,buffer_class,hot_slab_wip,hot_slab_or_local_hot_wip,slab,slab,small_thermal_wip_class,1.5,3,hours_of_HSM_throughput,hours_of_HSM_throughput,F14,high,buffer_candidate,assumption_backed_candidate,true,S2,Needs explicit hot-versus-cold slab treatment and no-free-buffer checks,non_executable,false,Hot slab is thermally constrained and not a day-scale storage asset.
S2F07,buffer_class,cold_slab_yard_or_wip,cold_slab_yard_or_WIP,slab,slab,one_to_three_day_class,0.5,7,days_of_HSM_throughput,days_of_HSM_throughput,F14;F15,medium,buffer_candidate,assumption_backed_candidate,true,S2,Non-IJmuiden slab-yard evidence means this remains candidate and sensitivity-backed only,non_executable,false,Main plausible internal flexibility buffer in the integrated flat route.
S2F08,buffer_class,coke_product_buffer,coke_product_buffer,coke,coke,throughput_bounded_or_small_buffer,0,2,days_of_BF_coke_demand,days_of_BF_coke_demand,F16,low,buffer_candidate,sensitivity_only,true,S2,Public evidence is weak for operational coke stock rather than battery capacity,non_executable,false,Prefer throughput-bounded coke supply over a rich flexible internal store.
S2F09,buffer_class,sinter_pellet_intermediate_buffer,sinter_or_pellet_intermediate,burden,burden,small_or_none_internal_buffer,0,24,hours_of_downstream_demand,hours_or_days_of_downstream_demand,F01;F16,low,buffer_candidate,sensitivity_only,true,S2,Public evidence mostly covers plant nameplate not usable internal stock,non_executable,false,Prefer throughput caps and external supply framing over large internal buffers.
S2F10,sink_policy,finished_intermediate_steel_sink,finished_or_intermediate_steel_sink,steel,steel,external_sink_no_internal_inventory,n_a,n_a,policy_rule,scope_choice,F14;F20,high,sink_policy,topology_support_only,false,S2,Downstream commercial inventory is outside S2 scope,non_executable,false,Finished or intermediate steel beyond the last modelled sink is not an S2 flexibility buffer.
S2F11,process_class,bf_near_must_run,blast_furnace,burden,hot_metal,near_must_run_class,0.70,0.90,fraction_of_when_on_capacity,minimum_operating_fraction_when_on,F03;F01,medium,process_bound_candidate,assumption_backed_candidate,true,S2,Exact minimum stable load remains unresolved and must stay sensitivity-backed,non_executable,false,BF should not be modelled as free on-off hourly flexibility.
S2F12,process_class,drp_continuous_min_load,direct_reduction_shaft,ore_or_pellets,dri,continuous_min_load_class,0.30,1.00,fraction_of_design_capacity,operating_fraction_when_online,F04;F07,high,process_bound_candidate,assumption_backed_candidate,true,S2,Vendor evidence must be cross-checked and central case should stay stricter than flex edge,non_executable,false,Central later executable candidate would likely be narrower than the full published range.
