record_id,configuration,family,record_kind,component,value,unit,named_share,source_locator,quantity_origin,dispatch_role,notes
c0_ng_total,C0,natural_gas,primary_total,full_site_natural_gas,12.5,PJ/y,false,WD07 Table 4.2 report p17 / PDF p23,direct_mer_table_value,annual_reporting_only,Configuration-matched real-site total.
c0_ng_ironmaking,C0,natural_gas,component,ironmaking,1.5,PJ/y,true,WD07 Table 4.2 report p17 / PDF p23,direct_mer_table_value,annual_service_account,Includes the MER ironmaking boundary; no invented asset split.
c0_ng_steel_downstream,C0,natural_gas,component,steelmaking_and_rolling,9.1,PJ/y,true,WD07 Table 4.2 report p17 / PDF p23,direct_mer_table_value,annual_service_account,HSM and other downstream services remain aggregated at the source boundary.
c0_ng_vattenfall,C0,natural_gas,component,Vattenfall_generators,1.9,PJ/y,true,WD07 Tables 4.2 and 6.5 report pp17 and 69-70,direct_mer_table_value,annual_service_account,Generator fuel category; not an hourly must-run instruction.
c1_ng_total,C1,natural_gas,primary_total,full_site_natural_gas,46.7,PJ/y,false,WD07 Table 6.2 report p65 / PDF p71,direct_mer_table_value,annual_reporting_only,Heracless gas-scenario total.
c1_ng_existing_ironmaking,C1,natural_gas,component,existing_ironmaking_and_energy,2.0,PJ/y,true,WD07 Table 6.2 report p65 / PDF p71,direct_mer_table_value,annual_service_account,Includes documented sinter and HO6 backup within the aggregate source boundary.
c1_ng_existing_downstream,C1,natural_gas,component,existing_steelmaking_and_rolling,13.1,PJ/y,true,WD07 Tables 6.2 and 6.5 report pp65 and 69-70,direct_mer_table_value,annual_service_account,Source-backed category; no plant-level split claimed.
c1_ng_vattenfall,C1,natural_gas,component,Vattenfall_generators,3.8,PJ/y,true,WD07 Tables 6.2 and 6.5 report pp65 and 69-70,direct_mer_table_value,annual_service_account,Increases as process-gas availability falls.
c1_ng_dri,C1,natural_gas,component,DRI_factory,27.7,PJ/y,true,WD07 Tables 6.2 and 6.5 report pp65 and 69-70,direct_mer_table_value,production_linked_service,Consistent with 9.9 GJ-LHV/t H-DRI at the MER production basis.
c1_ng_eaf,C1,natural_gas,component,EAF,0.1,PJ/y,true,WD07 Tables 6.2 and 6.5 report pp65 and 69-70,direct_mer_table_value,production_linked_service,Includes EAF gas service at the source boundary.
c0_electricity_total,C0,electricity,primary_total,full_site_electricity,13.7,PJ/y,false,WD07 Table 6.6 report p71 / PDF p77,direct_mer_table_value,annual_reporting_only,Broader full-site electricity total.
c0_electricity_ironmaking,C0,electricity,component,ironmaking,5.1,PJ/y,true,WD07 Table 4.2 report p17 / PDF p23,direct_mer_table_value,annual_service_account,Named operating-process demand.
c0_electricity_downstream,C0,electricity,component,steelmaking_and_rolling,4.5,PJ/y,true,WD07 Table 4.2 report p17 / PDF p23,direct_mer_table_value,annual_service_account,Named operating-process demand.
c0_electricity_oxygen,C0,electricity,component,oxygen_production,1.8,PJ/y,true,WD07 Table 4.2 report p17 / PDF p23,direct_mer_table_value,annual_service_account,Named operating-process demand.
