table_name,category,structural_status,numerical_status,model_role,approval_status,executable_status,thesis_grade_numerical_eligibility,annual_value_status,constraint_driver_status,allowed_use,approval_blocker,notes
process_units_candidate_review.csv,process_units,structure_candidate_supported_numerical_blocked,numerical_not_approved,input,candidate_not_approved,non_executable_candidate_review,false,not_annual_value,not_a_constraint_driver,topology_and_process_presence_review_only,Hourly envelopes and process-role calibration remain unresolved,Process presence may support structure without approving throughput values.
carriers_candidate_review.csv,carriers,structure_candidate_supported_numerical_blocked,numerical_not_approved,input,candidate_not_approved,non_executable_candidate_review,false,not_annual_value,not_a_constraint_driver,carrier_dictionary_review_only,Unit and sign conventions are not yet frozen,Carrier structure does not approve numerical coefficients.
stores_candidate_review.csv,stores,structure_candidate_supported_numerical_capacity_missing,missing_evidence,input_and_constraint_later,candidate_not_approved,non_executable_candidate_review,false,not_annual_value,not_a_constraint_driver,buffer_class_review_only,Capacities and slab_or_wip abstraction remain unresolved,Structural store support does not approve capacities or opening stocks.
topology_routes_candidate_review.csv,topology_routes,structure_candidate_supported_numerical_blocked,numerical_not_applicable,input,candidate_not_approved,non_executable_candidate_review,false,not_annual_value,not_a_constraint_driver,route_membership_review_only,Configuration activation and route-membership interpretation still require review,Structural route membership cannot imply route-cap approval.
process_bounds_candidate_review.csv,process_bounds,structural_methodology_support_only,candidate_numerical_blocked,input_and_constraint_later,candidate_not_approved,non_executable_candidate_review,false,annual_value_must_not_be_hourly_cap,not_a_constraint_driver,annual_to_hourly_method_review_and_candidate_range_review,Annual anchors are not hourly caps and translation methods are not approved bounds,Structural method rows and annual anchors remain separate from executable hourly bounds; see S2.5b process-bounds promotion packet.
conversion_coefficients_candidate_review.csv,conversion_coefficients,sign_and_structure_review_only,candidate_numerical_blocked,input_and_constraint_later,candidate_not_approved,non_executable_candidate_review,false,not_annual_value,not_a_constraint_driver,unit_and_sign_review_only,Site calibration and signed loader convention are unresolved,Structural sign placeholders cannot be read as approved coefficients; see S2.5b conversion-coefficients promotion packet.
production_targets_candidate_review.csv,production_targets,structure_requires_target_policy_but_values_blocked,validation_anchor_or_candidate_only,validation_target_or_later_input,validation_only,non_executable_validation_only,false,annual_value_must_not_be_hourly_cap,cannot_drive_constraints,target_policy_review_and_validation_anchor_review,Annual target anchors must stay distinct from executable constraints,Structural need for a target policy does not approve any annual public target value; see S2.5b production-targets promotion packet.
initial_inventories_candidate_review.csv,initial_inventories,structural_buffer_present_numeric_policy_missing,missing_evidence,input_later,candidate_not_approved,non_executable_candidate_review,false,not_annual_value,not_a_constraint_driver,inventory_policy_review_only,Only toy placeholders exist and reviewed candidate evidence is missing,Buffer existence does not approve initial inventory values; see S2.5c initial-inventories promotion packet and shared unit-sign-endpoint convention note.
terminal_inventory_rules_candidate_review.csv,terminal_inventory_rules,structural_endpoint_rule_supported_numeric_policy_missing,missing_evidence,constraint_later,candidate_not_approved,non_executable_candidate_review,false,not_annual_value,not_a_constraint_driver,endpoint_neutrality_review_only,Numeric terminal-policy values are unreviewed,Structural endpoint neutrality does not approve terminal quantities; see S2.5c terminal-inventory-rules promotion packet and shared unit-sign-endpoint convention note.
validation_targets_candidate_review.csv,validation_targets,validation_structure_supported_not_executable,validation_only_non_executable,validation_target,validation_only,non_executable_validation_only,false,annual_value_must_not_be_hourly_cap,cannot_drive_constraints,validation_anchor_only,Validation targets must not drive constraints or hide hourly caps,Validation-only rows remain outside executable model inputs.
excluded_scope,s3_internal_energy_and_wag,postponed_outside_s2,postponed_outside_s2,postponed,postponed,not_s2_executable_postponed,false,not_annual_value,cannot_drive_constraints,postponed_reference_only,S3 WAG and internal-energy layers are outside frozen S2 scope,Later-stage categories must remain non-executable in S2 classification.
excluded_scope,da_market_and_risk_layers,postponed_outside_s2,postponed_outside_s2,postponed,postponed,not_s2_executable_postponed,false,not_annual_value,cannot_drive_constraints,postponed_reference_only,DA mFRR CVaR 15-minute and D_plus_4 layers are outside frozen S2 scope,No market or risk layer may be classified as S2 executable here.
