arc_id,configuration_id,route_id,from_node,to_node,carrier_id,arc_role,structural_status,numerical_status,executable_status,thesis_usability,approval_status,source_ids,notes
C0_ARC01,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,c0_raw_material_supply_boundary,c0_burden_prep_boundary,iron_ore_or_pellet_input_boundary,external_feed_to_burden_boundary,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F17,Structural burden feed arc in C0.
C0_ARC02,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,c0_raw_material_supply_boundary,c0_bof_converter,scrap_input_boundary,external_scrap_feed_to_converter,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F09,Structural scrap feed arc into converter treatment in C0.
C0_ARC03,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,c0_raw_material_supply_boundary,c0_bof_converter,flux_input_boundary,external_flux_feed_to_converter,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03,Structural flux feed arc into converter treatment in C0.
C0_ARC04,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,c0_coke_supply_or_coke_oven_boundary,c0_blast_furnace,coke,coke_feed_to_blast_furnace,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F16,Structural coke feed arc into the C0 blast furnace.
C0_ARC05,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,c0_burden_prep_boundary,c0_blast_furnace,sinter_or_pellet_feed,prepared_burden_to_blast_furnace,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F17,Structural burden transfer arc into the C0 blast furnace.
C0_ARC06,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,c0_blast_furnace,c0_hot_metal_buffer,hot_metal,hot_metal_to_buffer,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F03,Structural hot-metal transfer arc into the bounded buffer candidate in C0.
C0_ARC07,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,c0_hot_metal_buffer,c0_bof_converter,hot_metal,buffer_to_converter,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F03,Structural hot-metal release arc from the bounded buffer candidate in C0.
C0_ARC08,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,c0_bof_converter,c0_cast_slab_handling,crude_steel_or_liquid_steel,converter_to_casting,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F13,Structural liquid-metal transfer arc from converter treatment to casting treatment in C0.
C0_ARC09,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,c0_cast_slab_handling,c0_hot_slab_transfer_buffer,slab_or_WIP,casting_to_hot_slab_transfer_buffer,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F13;F14,Structural casting-to-transfer-buffer arc in C0.
C0_ARC10,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,c0_hot_slab_transfer_buffer,c0_slab_wip_buffer,slab_or_WIP,transfer_buffer_to_slab_wip_buffer,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F14;F15,Structural transfer-buffer to slab-or-WIP buffer arc in C0.
C0_ARC11,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,c0_slab_wip_buffer,c0_downstream_metal_sink,hot_rolled_or_final_metallic_sink,buffer_to_downstream_sink,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F14;F15,Structural downstream release arc from slab-or-WIP buffer treatment in C0.
C1_ARC01,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,c1_bf_bof_supply_boundary,c1_blast_furnace,iron_ore_or_pellet_input_boundary,external_iron_feed_to_retained_blast_furnace,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F17,Structural iron-bearing feed arc into the retained blast-furnace route in C1.
C1_ARC02,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,c1_bf_bof_supply_boundary,c1_blast_furnace,coal_or_coke_input_boundary,external_carbonaceous_feed_to_retained_blast_furnace,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F16,Structural carbonaceous feed arc into the retained blast-furnace route in C1.
