audit_id,process_unit_or_asset,configuration_id,route_id,previous_row_status,new_row_status,annual_anchor_used,translation_formula,effective_hours_or_batch_basis,translated_value_tph,bound_type,envelope_case,source_ids,evidence_status,sensitivity_required,thesis_usability,approval_status,executable_status,reviewer_decision_required,codex_may_decide,remaining_blocker,notes
PBTA001,bf6,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,formula_only_not_executable,dev_executable_only,2.8_Mt_per_year,2800000_div_8760_times_0.80,effective_hours=8760_and_near_must_run_fraction=0.80,255.708,min_continuous_rate,base,PBR01;PBR04;PBR06;S2F11;NPD003;NPD004,average_placeholder_minimum_translation_for_dev_execution,false,false,provisional_development_only,dev_executable_only,true,false,later_human_review_before_thesis_use,C0_BF_minimum_uses_retained_BF6_anchor_proxy_for_dev_smoke_only
PBTA002,bf6,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,formula_only_not_executable,dev_executable_only,2.8_Mt_per_year,2800000_div_8760_times_0.80,effective_hours=8760_and_near_must_run_fraction=0.80,255.708,min_continuous_rate,base,PBR01;PBR04;PBR06;S2F11;NPD003;NPD004,average_placeholder_minimum_translation_for_dev_execution,false,false,provisional_development_only,dev_executable_only,true,false,later_human_review_before_thesis_use,C1_retained_BF_minimum_is_dev_only_not_site_truth
PBTA003,dri,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,formula_only_not_executable,dev_executable_only,2.8_Mt_per_year,2800000_div_8760_times_0.65,effective_hours=8760_and_turndown_fraction=0.65,207.763,minimum_continuous_rate,base,PBR02;PBR06;S2F12;NPD003;NPD005,average_placeholder_minimum_translation_for_dev_execution,true,false,provisional_development_only,dev_executable_only,true,false,later_human_review_before_thesis_use,DRP_minimum_is_dev_only_midpoint_placeholder
PBTA004,dri,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,formula_only_not_executable,dev_executable_only,2.8_Mt_per_year,2800000_div_8760,effective_hours=8760,319.635,maximum_continuous_rate,average_placeholder,PBR02;PBR06;NPD003;NPD005,average_placeholder_maximum_translation_for_dev_execution,false,false,provisional_development_only,dev_executable_only,true,false,later_human_review_before_thesis_use,DRP_maximum_is_dev_only_average_placeholder_not_true_design_capacity
PBTA005,osf_converters,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,formula_only_not_executable,dev_executable_only,3.5_Mt_per_year,3500000_div_8760,effective_hours=8760_and_batch_equivalent_method=ATH09,399.543,maximum_batch_equivalent_rate,average_placeholder,PTR03;VTR03;PBR07;NPD003;NPD006,average_placeholder_batch_translation_for_dev_execution,false,false,provisional_development_only,dev_executable_only,true,false,later_human_review_before_thesis_use,C0_BOF_hourly_equivalent_is_dev_only_average_placeholder
PBTA006,osf_converters,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,formula_only_not_executable,dev_executable_only,3.5_Mt_per_year,3500000_div_8760,effective_hours=8760_and_batch_equivalent_method=ATH09,399.543,maximum_batch_equivalent_rate,average_placeholder,PTR03;VTR03;PBR07;NPD003;NPD006,average_placeholder_batch_translation_for_dev_execution,false,false,provisional_development_only,dev_executable_only,true,false,later_human_review_before_thesis_use,C1_retained_BOF_hourly_equivalent_is_dev_only_average_placeholder
PBTA007,eaf,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,formula_only_not_executable,dev_executable_only,3.3_Mt_per_year,3300000_div_8760,effective_hours=8760_and_batch_equivalent_method=ATH06,376.712,maximum_batch_equivalent_rate,average_placeholder,PTR04;VTR04;PBR03;PBR05;NPD003;NPD007,average_placeholder_batch_translation_for_dev_execution,false,false,provisional_development_only,dev_executable_only,true,false,later_human_review_before_thesis_use,EAF_hourly_equivalent_is_dev_only_average_placeholder
PBTA008,hot_strip_mill,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF;C1_ROUTE_NG_DRP_EAF,policy_defer_non_executable,not_executable,not_applicable,not_applicable,scope_stops_at_last_modelled_metallic_sink_liquid_steel,not_executable,downstream_throughput_cap,defer,PTR01;PTR02;NPD008;NPD021,policy_traceable_downstream_bound_deferred,false,false,provisional_development_only,not_executable,true,false,downstream_scope_deferred,Downstream_sink_row_intentionally_left_non_executable_for_first_smoke_scope
PBTA009,bf6,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,new_row,dev_executable_only,2.8_Mt_per_year,2800000_div_8760,effective_hours=8760,319.635,maximum_continuous_rate,average_placeholder,PBR01;PBR04;PBR06;NPD003;NPD004,average_placeholder_maximum_translation_for_dev_execution,false,false,provisional_development_only,dev_executable_only,true,false,later_human_review_before_thesis_use,C0_BF_maximum_row_added_for_first_smoke_envelope
PBTA010,bf6,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,new_row,dev_executable_only,2.8_Mt_per_year,2800000_div_8760,effective_hours=8760,319.635,maximum_continuous_rate,average_placeholder,PBR01;PBR04;PBR06;NPD003;NPD004,average_placeholder_maximum_translation_for_dev_execution,false,false,provisional_development_only,dev_executable_only,true,false,later_human_review_before_thesis_use,C1_retained_BF_maximum_row_added_for_first_smoke_envelope
