closure_item_id,closure_family,parameter_or_profile,configuration_id,required_for_runtime,source_or_profile_id,selection_status,selected_value_or_profile,unit_or_schema,sensitivity_required,loader_eligible,runtime_ready,blocking_reason,human_review_required,thesis_usability,notes,downstream_accounting_drivers_ready,continuous_casting_driver_ready,hsm_driver_ready,asu_oxygen_driver_ready,downstream_auxiliary_electricity_boundary_ready,downstream_heat_steam_boundary_ready,full_downstream_process_logic_ready,cost_da_ready
S30B_WAG_RUNTIME_001,cog_chain,cog_raw_yield_per_tonne_dry_coal,both,true,S30B_WAG_DEV_005,accepted_existing_dev_input,365,m3/t_dry_coal,true,true,true,,false,false,Existing source-backed selected input remains available but does not close full COG chain.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_002,cog_chain,cog_lhv_raw_gas,both,true,S30B_WAG_DEV_006,accepted_existing_dev_input,18.7,MJ/Nm3,false,true,true,,false,false,Existing source-backed selected input remains available.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_003,cog_chain,coke_rate_per_t_hot_metal,C0_current_BF_BOF_reference,true,S30B_WAG_DEV_019,accepted_dev_assumption,0.29,t_coke/t_hot_metal,true,true,true,,false,false,C0-only public-range midpoint assumption with low 0.27 and high 0.31. Downstream driver-level closure added in S3 downstream audit; coefficient-level energy/cost readiness remains false.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_004,cog_chain,dry_coal_input_per_t_coke,C0_current_BF_BOF_reference,true,S30B_WAG_DEV_020,accepted_dev_assumption,1.285,t_dry_coal/t_coke,true,true,true,,false,false,C0-only JRC BREF midpoint assumption with low 1.22 and high 1.35. Downstream driver-level closure added in S3 downstream audit; coefficient-level energy/cost readiness remains false.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_005,cog_chain,c0_onsite_coke_production_share,C0_current_BF_BOF_reference,false,S30B_WAG_DEV_021,superseded_by_capacity_capped_mode,capacity_capped,t_coke/year,false,true,true,,false,false,C0 uses annual capacity-capped proxy instead of arbitrary on-site share. Downstream driver-level closure added in S3 downstream audit; coefficient-level energy/cost readiness remains false.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_006,cog_chain,c1_retained_onsite_coke_production_share,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,false,S30C_C1_INPUT_007,superseded_by_route_share_scaled_coking_proxy,route_share_scaled_c0_coking_proxy,scenario_policy,false,true,true,,false,false,C1 WAG-generation-only profiles use retained BF-route-scaled coking proxy; this is not a retained coking capacity claim and does not close full C1 energy readiness. S3.0d-a gate: component diagnostics remain non-plant-level; cost/DA integration false until boundary closure. Downstream driver-level closure added in S3 downstream audit; coefficient-level energy/cost readiness remains false.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_007,cog_chain,mandatory_cog_self_or_process_use_fraction,C0_current_BF_BOF_reference,false,S30B_WAG_DEMAND_004,superseded_by_explicit_coking_underfiring_demand,3.55,GJ_fuel/t_coke,true,true,true,,false,false,Fraction blocker replaced by explicit throughput-coupled coking fuel demand. Downstream driver-level closure added in S3 downstream audit; coefficient-level energy/cost readiness remains false.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_008,demand_profile,mandatory_bfg_process_use_demand,C0_current_BF_BOF_reference,true,S30B_WAG_DEMAND_001,accepted_dev_assumption,479.2,Nm3_BFG/t_hot_metal,false,true,true,,false,false,IEAGHG reference-mill BFG hot-stove coefficient. Downstream driver-level closure added in S3 downstream audit; coefficient-level energy/cost readiness remains false.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_009,demand_profile,mandatory_bofg_process_use_demand,C0_current_BF_BOF_reference,false,,blocked_scope,not_selected,not_applicable,false,false,true,,false,false,No separate mandatory BOFG sink is selected for first C0 diagnostic. Downstream driver-level closure added in S3 downstream audit; coefficient-level energy/cost readiness remains false.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_010,demand_profile,throughput_coupled_steam_boiler_demand,C0_current_BF_BOF_reference,true,S30B_WAG_DEMAND_005,accepted_dev_assumption,0.43,GJ_useful_steam/t_coke,true,true,true,,false,false,Minimum-known coking steam demand only. Downstream driver-level closure added in S3 downstream audit; coefficient-level energy/cost readiness remains false.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_011,demand_profile,site_electricity_demand_cap,C0_current_BF_BOF_reference,true,S30B_WAG_DEMAND_006,accepted_dev_assumption,3000000,MWh/year,false,true,true,,false,false,Annual-average proxy for 24-hour development diagnostic only. Downstream driver-level closure added in S3 downstream audit; coefficient-level energy/cost readiness remains false.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_012,route_share,c1_bf_bof_route_share,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,true,s3_c1_route_share_policy_register.csv,accepted_user_selected_development_scenarios,0.55;0.61;0.68,fraction,true,true,true,,false,false,Three same-output route-share scenarios are selected by user policy inside or near the S2 feasible envelope; not Tata-exact and not route optimisation. S3.0d-a gate: component diagnostics remain non-plant-level; cost/DA integration false until boundary closure. Downstream driver-level closure added in S3 downstream audit; coefficient-level energy/cost readiness remains false.,true,true,true,true,false,false,false,false
S30B_WAG_RUNTIME_013,fixed_profile,c0_fixed_activity_and_demand_profile,C0_current_BF_BOF_reference,true,s3_provisional_dev_input/fixed_profiles/c0_wag_fixed_profile_24h_dev.csv,accepted_dev_profile,c0_wag_fixed_profile_24h_dev.csv,s3_0b_fixed_activity_profile_input_schema.csv,false,true,true,,false,false,Deterministic governed 24-hour C0 development profile with synthetic diagnostic metadata. Downstream driver-level closure added in S3 downstream audit; coefficient-level energy/cost readiness remains false.,true,true,true,true,false,false,false,false
