config_component_id,configuration_id,component_type,component_id,active,activation_mode,retained_added_closed,controllable,source_model_status,selected_model_status,topology_decision_id,source_card_ids,source_locator,evidence_link_ids,value_status,source_status,human_review_required,caveat
C0_current_BF_BOF_reference__Link__coking_plant_1,C0_current_BF_BOF_reference,Link,coking_plant_1,true,default_topology,retained,limited,Plant Link,Structural Link with gas/fuel ports,TOPO_C1_BF7_KGF2_CLOSURE,STEEL-SC-0016;REPO-ATH-GAS-ADDENDUM,Figure 31 and MER topology,EL_00100,source_supported,candidate,true,C1 KGF closure conflict preserved; frozen default used.
C0_current_BF_BOF_reference__Link__coking_plant_2,C0_current_BF_BOF_reference,Link,coking_plant_2,true,default_topology,retained,limited,Plant Link,Structural Link with gas/fuel ports,TOPO_C1_BF7_KGF2_CLOSURE,STEEL-SC-0016;REPO-STEEL-FREEZE-V1,MER/freeze closure decision,EL_00101,source_supported,candidate,true,C1 KGF closure conflict preserved; frozen default used.
C0_current_BF_BOF_reference__Link__sintering_plant,C0_current_BF_BOF_reference,Link,sintering_plant,true,default_topology,retained,limited,Plant Link,Structural process,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM;STEEL-SC-0016,Athanasiadis Figure 20/plant relationships; MER topology,EL_00102,source_supported,candidate,true,C1 retained treatment needs review.
C0_current_BF_BOF_reference__Link__pelletizing_plant,C0_current_BF_BOF_reference,Link,pelletizing_plant,true,default_topology,retained,limited,Plant Link,Structural process,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM;STEEL-SC-0016,Athanasiadis pelletizing figures and Figure 31 gas sinks,EL_00103,source_supported,candidate,true,Pellet/import split unresolved.
C0_current_BF_BOF_reference__Link__imported_pellet_import_interface,C0_current_BF_BOF_reference,Link,imported_pellet_import_interface,true,default_topology,retained,false,Boundary Link,Supply route into pellets bus,TOPO_COMMON_SITE_BOUNDARY,REPO-S4-4B2-WORKBOOK,Task required imported-pellet supply route,EL_00104,source_supported,source_supported,false,No price or procurement quantity in this workbook.
C0_current_BF_BOF_reference__Link__blast_furnace_6,C0_current_BF_BOF_reference,Link,blast_furnace_6,true,default_topology,retained,limited,Plant Link,Structural BF process,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0001,MER topology; JRC BREF WAG coefficients,EL_00105,source_supported,candidate,true,Retained default C1 BF route.
C0_current_BF_BOF_reference__Link__blast_furnace_7,C0_current_BF_BOF_reference,Link,blast_furnace_7,true,default_topology,retained,limited,Plant Link,Structural BF process,TOPO_C1_BF7_KGF2_CLOSURE,STEEL-SC-0016;REPO-STEEL-FREEZE-V1,MER/freeze closure decision,EL_00106,source_supported,candidate,true,C1 KGF closure conflict preserved; frozen default used.
C0_current_BF_BOF_reference__Link__basic_oxygen_furnace,C0_current_BF_BOF_reference,Link,basic_oxygen_furnace,true,default_topology,retained,limited,Plant Link,Structural BOF process,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM;STEEL-SC-0001,Athanasiadis plant figures; JRC BREF BOFG,EL_00107,source_supported,candidate,true,Retained in C1 topology where retained BF-BOF route remains.
C0_current_BF_BOF_reference__Link__continuous_caster_or_slab_conversion,C0_current_BF_BOF_reference,Link,continuous_caster_or_slab_conversion,true,default_topology,retained,limited,Plant Link,Structural caster abstraction,TOPO_COMMON_SITE_BOUNDARY,REPO-STEEL-FREEZE-V1,S2.13 downstream scheduling governance,EL_00108,source_supported,candidate,true,Exact caster capacities missing.
C0_current_BF_BOF_reference__Link__hot_strip_mill,C0_current_BF_BOF_reference,Link,hot_strip_mill,true,default_topology,retained,limited,Plant Link,Structural HSM with fuel gas,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-002 Figure 31,EL_00109,source_supported,candidate,true,HSM fuel and scheduling constraints missing.
