gap_id,configuration,route,procurement_family,active_physical_flow_status,cost_coverage_status,base_policy,source_evidence_status,source_locator,blocks_fixed_reference_cost,blocks_future_extension,resolution_or_caveat
C0_KGF_COAL,C0,C0_BF_BOF,purchased dry coking coal,active_solved_flow,covered,C0 coking input is purchased external dry coal,source_backed_central,Coking_Plants_Parameters.md,no,no,Internal coke is not priced.
C1_KGF_COAL,C1,C1_BF_BOF,purchased dry coking coal,active_solved_flow,covered,C1 retained coking input is purchased external dry coal,source_backed_central,Coking_Plants_Parameters.md,no,no,Internal coke is not priced.
C0_BF_PCI,C0,C0_BF_BOF,purchased PCI,active_named_accounting_flow,covered,PCI follows solved hot-metal output at governed coefficient,source_backed_central,Blast_Furnace_Parameters.md BF_PCI_COAL_INPUT_T_PER_T_HM,no,no,Accounting flow does not change the represented BF burden balance.
C1_BF_PCI,C1,C1_BF_BOF,purchased PCI,active_named_accounting_flow,covered,PCI follows solved retained BF6 hot-metal output at governed coefficient,source_backed_central,Blast_Furnace_Parameters.md BF_PCI_COAL_INPUT_T_PER_T_HM,no,no,BF7 remains inactive.
C0_SINTER_ORE,C0,C0_BF_BOF,purchased sinter iron ore,active_solved_flow,covered,Sinter bus0 iron-ore feed is external purchase,boundary_reconciled_development,SINTER_Parameters.md and Gate-1 contract,no,no,Only the represented sinter burden is claimed.
C1_SINTER_ORE,C1,C1_BF_BOF,purchased sinter iron ore,active_solved_flow,covered,Retained sinter bus0 iron-ore feed is external purchase,boundary_reconciled_development,SINTER_Parameters.md and Gate-1 contract,no,no,Only the represented sinter burden is claimed.
C0_PEFA_ORE,C0,C0_common_material_preparation,purchased PEFA iron ore,active_named_accounting_flow,covered,External ore follows represented PEFA pellet output,accepted_development,PELLETIZING_Parameters.md PEFA_IRON_ORE_INPUT_T_PER_T_PELLETS,no,no,Internal fired pellets receive no purchase price.
C1_PEFA_ORE,C1,C1_common_material_preparation,purchased PEFA iron ore,active_named_accounting_flow,covered,External ore follows represented PEFA pellet output,accepted_development,PELLETIZING_Parameters.md PEFA_IRON_ORE_INPUT_T_PER_T_PELLETS,no,no,No PEFA-to-DRP material link is claimed.
C0_BF_PELLETS,C0,C0_BF_BOF,imported BF-grade pellets,no_active_physical_flow,explicit_scope_gap_not_free,No BF-pellet quantity enters the represented BF burden,blocked,Blast_Furnace_Parameters.md and PELLETIZING_Parameters.md,no,yes,Must be closed before a complete burden or total-site cost claim.
C1_BF_PELLETS,C1,C1_BF_BOF,imported BF-grade pellets,no_active_physical_flow,explicit_scope_gap_not_free,No BF-pellet quantity enters the represented retained BF burden,blocked,Blast_Furnace_Parameters.md and PELLETIZING_Parameters.md,no,yes,Must be closed before a complete burden or total-site cost claim.
C1_DRP_PELLETS,C1,C1_DRP_EAF,purchased or imported DR-grade pellets,active_solved_flow,covered,All solved DRP pellet input is purchased or imported because no PEFA-to-DRP link exists,boundary_reconciled_development,DRP_Parameters.md and MER pellet transport context,no,no,Visible represented-boundary assumption and not a Tata procurement fact.
C0_BOF_SCRAP,C0,C0_BF_BOF,purchased BOF scrap,active_solved_flow,covered,Represented boundary scrap is purchased in the base development scenario,boundary_reconciled_development,PROJECT_DECISIONS.md scrap policy,no,yes,Later internal-scrap sensitivity requires an origin loop.
C1_BOF_SCRAP,C1,C1_BF_BOF,purchased BOF scrap,active_solved_flow,covered,Represented boundary scrap is purchased in the base development scenario,boundary_reconciled_development,PROJECT_DECISIONS.md scrap policy,no,yes,No internal recycling percentage is invented.
C1_EAF_SCRAP,C1,C1_DRP_EAF,purchased EAF scrap,active_solved_flow,covered,Represented boundary scrap is purchased in the base development scenario,source_backed_central,PROJECT_DECISIONS.md scrap policy,no,yes,No internal recycling percentage is invented.
C1_HBI,C1,C1_DRP_EAF,imported HBI,inactive_route,not_applicable,No HBI route is active,not_in_first_cost_layer,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md,no,yes,Price remains inactive unless a physical HBI route is added.
SHARED_GRID,both,site_shared,represented grid electricity,active_solved_flow,covered,Price net grid import only,boundary_reconciled_development,c5_future_cost_boundary_contract.csv,no,no,Gross buckets and internal generation are not separately priced.
SHARED_NG,both,site_shared,represented named NG,active_solved_flows,covered,Each eligible named consumer is priced once,boundary_reconciled_development,c5_future_cost_boundary_contract.csv,no,no,Residual NG is excluded.
C1_IMPORTED_SLAB,C1,C1_imported_slab_downstream,actual imported slab to HSM,active_solved_flow,covered,Price actual use within the separate cap,boundary_reconciled_development,PROJECT_DECISIONS.md imported-slab boundary,no,no,Zero upstream site burden is retained.
COST_BENCHMARK,both,all,independent variable-procurement benchmark,no_matching_local_benchmark,reporting_gap,Do not validate prices against physical anchors,blocked,canonical anchor register,no,yes,Report absence instead of tuning prices or physical coefficients.
