parameter_id,description,value_or_range,unit,process_carrier_configuration,model_role,required_phase,source_id,confidence,public_reportability,caveat,approval_status,notes
PC01,Site liquid steel baseline reference,7.2,Mt/y,baseline site,annual_validation_cap,Wave_B,S03,high,public,"MER reference value, not actual output every year.",validation_only_candidate,"Validation-oriented candidate only."
PC02,Site liquid steel Phase 1 planning case,6.8,Mt/y,Phase 1 site,annual_validation_cap,Wave_B,S03;S04,high,public,"Measure-defining planning case, not an hourly operating cap.",validation_only_candidate,"Site-level future anchor."
PC03,BF6 hot-metal nominal output,2.8,Mt/y,BF6 Phase 1,route_volume_target,Wave_B,S03,high,public,"Use as annual route target, not direct hourly nameplate.",candidate_not_approved,"Needs separate annual-to-hourly translation if ever promoted."
PC04,DRI nominal output,2.8,Mt/y,DRI Phase 1,route_volume_target,Wave_B,S03,high,public,"Operational flexibility range exists and should remain visible.",candidate_not_approved,"Memo indicates 1.9 to 2.8 Mt/y flexibility range."
PC05,EAF liquid steel nominal output,3.3,Mt/y,EAF Phase 1,route_volume_target,Wave_B,S03,high,public,"Annual nominal value only; batch process in reality.",candidate_not_approved,"Not suitable as direct hourly cap."
PC06,OSF liquid steel Phase 1 route volume,3.4-3.5,Mt/y,OSF route Phase 1,route_volume_target,Wave_B,S03,medium_high,public,"Rounding and alloy-inclusion differences exist across tables.",candidate_not_approved,"Keep as range or noted ambiguity."
PC07,Total scrap share Phase 1,28-41,percent,total site Phase 1,sensitivity_band,Wave_B,S03,high,public,"Range rather than a single public truth value.",sensitivity_only_candidate,"Choose explicit central case only later if needed."
PC08,EAF-route scrap share Phase 1,28-55,percent,EAF route Phase 1,sensitivity_band,Wave_B,S03,high,public,"Public range only; definition and operating context matter.",sensitivity_only_candidate,"Strong sensitivity candidate."
PC09,Phase 1 electricity use in natural-gas operation,16,PJ/y,site electricity Phase 1,annual_energy_check,Wave_C,S03,high,public,"Annual energy value, not a dispatch cap.",validation_only_candidate,"Later energy-scale check."
PC10,Additional grid-import energy,10,PJ/y,site grid import Phase 1,annual_energy_check,Wave_C,S03,high,public,"Depends on internal generation and by-product-gas use.",validation_only_candidate,"Do not confuse with MW import capacity."
PC11,Average power demand Phase 1 gas case,565,MW,site average power Phase 1 natural-gas case,validation_target,Wave_C,S03,high,public,"Average demand is not peak demand and not connection capacity.",validation_only_candidate,"Explicit anti-misuse caveat required."
PC12,Average power demand Phase 1 hydrogen-mix case,545,MW,site average power Phase 1 hydrogen mix,validation_target,Wave_C,S03,high,public,"Average demand only; memo notes electrolysis excluded.",validation_only_candidate,"Sanity-check candidate only."
PC13,DRI CO2 capture,0.8,Mt CO2/y,DRI Phase 1 natural-gas operation,emissions_module_candidate,Wave_C_or_D,S03;S04,high,public,"Capture does not equal sequestration or guaranteed storage chain availability.",candidate_not_approved,"Relevant only in later emissions layer."
PC14,Oxygasholder volume,"83,400",m3,oxygas buffer,later_utility_parameter,Wave_E,S03,high,public,"Public buffer evidence, not a dispatch rule.",candidate_not_approved,"Utility module only."
PC15,DSP capacity Phase 1,1.5,Mt/y,DSP downstream,downstream_validation,Wave_B_or_C,S03,high,public,"Annual sink check only.",validation_only_candidate,"Supports downstream plausibility."
PC16,WBW capacity Phase 1,5.5,Mt/y,WBW downstream,downstream_validation,Wave_B_or_C,S03,high,public,"May mask slab-import dependence if over-interpreted.",validation_only_candidate,"Use with slab-import caveat."
PC17,Oxygen buffer inventory public evidence,"20x50 plus 1x670",m3,oxygen buffers,utility_topology_evidence,Wave_E,S03,high,public,"Utility-buffer evidence only.",candidate_not_approved,"Relevant if oxygen-buffer module is later added."
PC18,Compressed dry air extra supply,20000,Nm3/h,Linde compressed dry air utility,utility_candidate,Wave_E,S03,medium,public,"Utility detail likely too fine for early phases.",sensitivity_only_candidate,"Reserve for later utility work."
PC19,HO6 natural-gas line limit,8500,Nm3/min,HO6 hot stoves utility modification,utility_candidate,Wave_E,S03,medium,public,"Specific modification figure likely sensitivity-only and not core topology.",sensitivity_only_candidate,"Keep out of base input layer."
PC20,EAF tap size,325,t/tap,EAF batch operation,later_discretisation_check,Wave_D_or_E,S03,medium,public,"Do not use in a continuous LP without explicit batching methodology.",sensitivity_only_candidate,"Future discretisation aid only."
