gate_id,gate_name,required_for_s3,current_status,pass_fail_or_blocked,evidence_artifact,risk_if_ignored,required_action,notes
S211_GATE_001,S2_topology_frozen,true,frozen,pass,STEEL_S2_MATERIAL_FLOW_FREEZE_AND_S3_ENTRY_CONTRACT.md,S3 could drift away from the governed plant scaffold,Preserve topology as read only,Topology freeze is already in place
S211_GATE_002,C0_C1_configurations_frozen,true,frozen,pass,STEEL_S2_CONFIGURATION_ASSET_AND_ASSUMPTION_SUMMARY.md,S3 could change the meaning of the reference and hybrid cases,Keep C0 and C1 definitions fixed,Configuration meaning is already frozen
S211_GATE_003,liquid_steel_LP_solves,true,validated,pass,STEEL_S2_LIQUID_STEEL_SMOKE_BASELINE_FREEZE.md,S3 could build on an unverified core LP,Preserve current liquid-steel smoke solver baseline,Restricted LP solve evidence is present
S211_GATE_004,first_buffer_inventory_solves,true,validated,pass,STEEL_S2_FIRST_BUFFER_AWARE_BASELINE_FREEZE.md,S3 could rely on unverified buffer balance logic,Preserve current first-buffer mechanics evidence,First-buffer runs already solve
S211_GATE_005,one_week_smoke_solved,true,validated,pass,STEEL_S2_ZERO_HIT_ATTRIBUTION_AND_WEEK_GATE.md,S3 could widen horizon logic without any longer-horizon smoke evidence,Keep weekly smoke labelled diagnostic only,Weekly smoke is solved but non-thesis
S211_GATE_006,no_hidden_shortfall_slack,true,frozen,pass,STEEL_S2_LIQUID_STEEL_SMOKE_BASELINE_FREEZE.md,S3 could hide infeasibility behind penalties or slack,Retain hard targets with no hidden shortfall slack,This is a hard stop condition
S211_GATE_007,no_fake_free_buffers,true,validated,pass,STEEL_S2_ZERO_HIT_ATTRIBUTION_AND_WEEK_GATE.md,S3 could inherit fake material creation or disappearance,Keep store coupling to process flows explicit,Zero-hit gate preserved this condition
S211_GATE_008,blocked_deferred_stores_remain_blocked,true,frozen,pass,STEEL_S2_CONFIGURATION_ASSET_AND_ASSUMPTION_SUMMARY.md,S3 could widen scope implicitly through blocked stores,Keep cold slab hot slab and excluded stocks inactive,Blocked stores stay blocked
S211_GATE_009,production_target_status_understood,true,frozen,pass,STEEL_S2_MATERIAL_FLOW_FREEZE_AND_S3_ENTRY_CONTRACT.md,S3 could mistake smoke targets for operational truth,Keep smoke targets diagnostic and route-neutral,Target status is explicitly documented
S211_GATE_010,public_annual_targets_not_used_as_executable_truth,true,frozen,pass,STEEL_S2_ZERO_HIT_ATTRIBUTION_AND_WEEK_GATE.md,S3 could import impossible annual anchors as executable hourly truth,Keep public anchors diagnostic only,Stress targets remain safeguards only
S211_GATE_011,approved_input_tables_zero_row,true,validated,pass,s2_approved_model_input/README.md,S3 could claim approved inputs exist when they do not,Preserve zero-row approved-input validation,Approved shells remain empty
S211_GATE_012,S3_scope_limited_to_energy_cost_emissions_first,true,contract_ready,pass_with_scope_limit,STEEL_S2_MATERIAL_FLOW_FREEZE_AND_S3_ENTRY_CONTRACT.md,S3 could widen directly into market or stochastic scope,Limit S3.0 to energy cost and emissions overlay first,This is a scope limit not a broad go
S211_GATE_013,no_DA_stochastic_mfrr_in_S3_0,true,contract_ready,pass_with_scope_limit,STEEL_S2_MATERIAL_FLOW_FREEZE_AND_S3_ENTRY_CONTRACT.md,S3 could import later-stage market logic before the physical layer is stable,Keep DA stochastic CVaR and mFRR out of S3.0,Market and risk scope remain blocked
