anchor_id,anchor_name,configuration,anchor_category,metric,raw_value,raw_unit,converted_value,converted_unit,scaled_value_to_6_75,scaled_unit,scaling_method,scaling_allowed,production_denominator_raw,denominator_type,source_title,source_type,source_trust_rank,evidence_tier,source_locator,locator_quality,anchor_role,model_use_status,use_in_primary_score,thesis_claim_eligibility,conflict_status,supersedes_anchor_id,superseded_by_anchor_id,caveat,review_status,last_reviewed_stage,notes
active_steel_target_6_75,Active C5 physical production target,both,active_model_target_anchors,liquid steel equivalent active production target,6.75,Mt/y,6.75,Mt/y,6.75,Mt/y,none,not_applicable,6.75 Mt/y active target,liquid_steel,C5k production normalisation and C5p_f alignment gate,internal_c5_diagnostic,internal_c5_diagnostic,internal_diagnostic,data/03_Optimisation/inputs/assets/steel/S4/s4_4c5p_f_pre_economics_alignment_gate/c5_anchor_acceptance_policy.csv,indirect,active_model_target,scenario_definition,no,no,none,,,Scenario target defines the run and cannot validate it,reviewed_for_development,pre_cost_methodology_closure,Excluded from independent pre-cost and post-cost validation
c0_public_liquid_steel_7_2,C0 public reference liquid steel,C0,production_and_denominator_anchors,liquid steel production,7.2,Mt/y,7.2,Mt/y,6.75,Mt/y,linear_6_75_over_7_2,yes,7.2 Mt/y liquid steel,liquid_steel,MER or official Tata production context via source cards,official_public_site_specific,Rank 1,Tier A,source_cards and C5p_e annual matrix,indirect,scenario_definition,scenario_definition,no,limited,none,,,C0 downstream conversion and reference route derive from this value so it is not independent validation,reviewed_for_development,pre_cost_methodology_closure,Retained as public denominator context only
c1_public_liquid_steel_6_8,C1 Heracless public liquid steel,C1,production_and_denominator_anchors,liquid steel production,6.8,Mt/y,6.8,Mt/y,6.75,Mt/y,linear_6_75_over_6_8,yes,6.8 Mt/y liquid steel,liquid_steel,MER Heracless production context via source cards,official_public_site_specific,Rank 1,Tier A,source_cards and C5p_e annual matrix,indirect,scenario_definition,scenario_definition,no,limited,none,,,C1 conversion and reference route derive from this value so it is not independent validation,reviewed_for_development,pre_cost_methodology_closure,Retained as public denominator context only
c0_dsp_raw_output_1_5,C0 DSP raw output anchor,C0,final_product_downstream_proxy_anchors,DSP output,1.5,Mt/y,1.5,Mt/y,1.40625,Mt/y,linear_6_75_over_7_2,approximate,7.2 Mt/y liquid steel,final_product,DSP source card and C5p_e annual matrix,official_public_site_specific,Rank 1,Tier A,source_cards/DSP_Parameters.md,partial,scenario_definition,scenario_definition,no,limited,boundary_unclear,,,Used to derive the C0 route and reference band and therefore excluded from validation,reviewed_for_development,pre_cost_methodology_closure,Raw 20 percent and 1.5 Mt inconsistency remains visible
c1_dsp_raw_output_1_5,C1 DSP raw output anchor,C1,final_product_downstream_proxy_anchors,DSP output,1.5,Mt/y,1.5,Mt/y,1.488970588,Mt/y,linear_6_75_over_6_8,approximate,6.8 Mt/y liquid steel,final_product,DSP source card and C5p_e annual matrix,official_public_site_specific,Rank 1,Tier A,source_cards/DSP_Parameters.md,partial,scenario_definition,scenario_definition,no,limited,boundary_unclear,,,Used to derive the C1 reference route and therefore excluded from validation,reviewed_for_development,pre_cost_methodology_closure,Denominator remains explicit
c0_hsm_wbw_raw_output_5_4,C0 HSM WBW rolled-coil anchor,C0,final_product_downstream_proxy_anchors,HSM/WBW rolled output,5.4,Mt/y,5.4,Mt/y,,Mt/y,not_scaled_downstream_boundary_open,approximate,7.2 Mt/y liquid steel,final_product,HSM source card and C5p_e annual matrix,official_public_site_specific,Rank 1,Tier A,source_cards/HSM_Parameters.md,partial,scenario_definition,scenario_definition,no,limited,denominator_unclear,,,Used with C0 liquid steel and DSP output to derive HSM conversion and reference bands,reviewed_for_development,pre_cost_methodology_closure,Not independent validation
c1_hsm_wbw_raw_output_5_5,C1 HSM WBW rolled-coil anchor,C1,final_product_downstream_proxy_anchors,HSM/WBW rolled output,5.5,Mt/y,5.5,Mt/y,,Mt/y,not_scaled_downstream_boundary_open,approximate,6.8 Mt/y liquid steel,final_product,HSM source card and C5p_e annual matrix,official_public_site_specific,Rank 1,Tier A,source_cards/HSM_Parameters.md,partial,scenario_definition,scenario_definition,no,limited,denominator_unclear,,,Used to derive the C1 downstream conversion and reference band,reviewed_for_development,pre_cost_methodology_closure,Not independent validation
c1_imported_slab_0_6,C1 imported slab context,C1,final_product_downstream_proxy_anchors,imported slab,0.6,Mt/y,0.6,Mt/y,,Mt/y,not_scaled_exogenous_supply_context,no,6.8 Mt/y liquid steel,final_product,BUFFERS storage and HSM context,official_public_site_specific,Rank 1,Tier F,source_cards/BUFFERS_STORAGE_Parameters.md,partial,scenario_definition,scenario_definition,no,limited,boundary_unclear,,,External slab import is a governed cap and reference-band definition and cannot validate itself,reviewed_for_development,pre_cost_methodology_closure,Keep separate from slab inventory and final denominator
c0_final_product_proxy_6_9,C0 final product proxy raw anchor,C0,final_product_downstream_proxy_anchors,HSM plus DSP final-product proxy,6.9,Mt/y,6.9,Mt/y,,Mt/y,not_scaled_denominator_unresolved,no,7.2 Mt/y liquid steel,final_product,HSM DSP and C5p_e annual matrix,official_public_site_specific,Rank 1,Tier F,C5p_e annual matrix,indirect,secondary_validation,validation_only,no,limited,denominator_unclear,,,Not a final economics denominator,reviewed_for_development,C5p_e,Use only for downstream gap reporting
c1_final_product_proxy_7_0,C1 final product proxy raw anchor,C1,final_product_downstream_proxy_anchors,HSM plus DSP final-product proxy,7.0,Mt/y,7.0,Mt/y,,Mt/y,not_scaled_denominator_unresolved,no,6.8 Mt/y liquid steel,final_product,HSM DSP and C5p_e annual matrix,official_public_site_specific,Rank 1,Tier F,C5p_e annual matrix,indirect,scenario_definition,scenario_definition,no,limited,denominator_unclear,,,Aggregate is derived from constrained HSM and DSP scenario rows and cannot validate itself,reviewed_for_development,pre_cost_methodology_closure,Use only for downstream context
c0_total_site_electricity_3twh_context,C0 current total site electricity context,C0,electricity_gross_use_anchors,total site electricity use context,3.0,TWh/y,3.0,TWh/y,,TWh/y,not_scaled_context_anchor,no,site annual total,site_total,C5p_g residual electricity diagnostics,internal_c5_diagnostic,internal_c5_diagnostic,Tier F,c5_residual_electricity_anchor_gap_options.csv,exact,reporting_context,residual_kpi,no,limited,boundary_unclear,,,Context only until source locator and boundary are repaired,reviewed_for_development,C5p_g,Useful residual KPI candidate but not executable load
c0_average_power_360mw_context,C0 current average electric power context,C0,electricity_gross_use_anchors,average electric power,360,MW,3.1536,TWh/y,,TWh/y,convert_360mw_to_8760h_context_not_scaled,no,site annual total,site_total,IJ01 VN25 source card and C5p_g diagnostics,source_card_candidate,Rank 1,Tier F,source_cards/IJ01_VN25_GENERATORS_Parameters.md,partial,reporting_context,reporting_only,no,limited,boundary_unclear,,,Average power is not connection capacity,reviewed_for_development,C5p_g,Use as context not a hard electricity-load target
c0_official_total_site_electricity_13_7pj_missing,C0 official total site electricity use missing locator,C0,electricity_gross_use_anchors,total site electricity use,13.7,PJ/y,13.7,PJ/y,,TWh/y,not_scaled_missing_source_locator,no,unknown,site_total,MER Heracless / official Tata public anchor inherited from prior C5 source-card and candidate-register work,official_public_site_specific,Rank 1,Tier F,Existing source-card/C5 candidate-register prior work; exact raw MER/Tata locator intentionally not searched in this task,partial,secondary_validation,residual_kpi,no,limited,boundary_unclear,,,"Inherited from prior source-card/candidate work; exact public locator, denominator, and boundary confirmation required before primary scoring.",open,C5p_k_anchor_patch,Create source-card locator before use; Reclassified from blocked/missing to open partial-provenance anchor without raw-PDF inspection.
