contract_item_id,item_type,description,required_for_s3_0b,allowed_source,must_not_source_from,allowed_stage,blocked_logic,validation_requirement,thesis_usability,notes
S30B_CONTRACT_001,input_schema,Fixed S2 activity profile input schema,true,frozen_S2_activity_profile_export_with_manifest,unversioned_generated_run_folder,S3_0b,no_optimisation_objective,Schema must preserve configuration object IDs and time basis,false,Cross-reference s3_0b_fixed_activity_profile_input_schema.csv and s3_0b_activity_profile_provenance_policy.csv
S30B_CONTRACT_002,provenance,Explicit provenance for activity profiles,true,governed_manifest_or_reproducible_smoke_summary,generated_run_folder_as_canonical_source,S3_0b,no_silent_source_substitution,Source profile must trace to frozen S2 run or approved export,false,Generated folders are diagnostic not canonical
S30B_CONTRACT_003,wag_generation_coefficients,WAG generation coefficients remain candidate or provisional until reviewed,true,s3_candidate_or_provisional_review_surface,approved_input_without_human_review,S3_0b,no_approved_numerical_claim,Rows must carry source status review status and thesis_usability=false,false,Cross-reference s3_wag_selected_dev_inputs.csv for development-only values; no approved coefficient in S3.0b-a
S30B_CONTRACT_004,allocation_modes,Allocation modes limited to fixed-profile diagnostic,true,s3_wag_allocation_mode_register,price_responsive_dispatch_or_arbitrage,S3_0b,no_price_responsive_allocation,Allowed modes must match process-first process fuel boiler import-offset and flare/spill diagnostic scope,false,No optimisation of allocation and no hierarchy sensitivity
S30B_CONTRACT_005,da_prices,DA market prices excluded,true,not_applicable,DA_price_files_or_forecast_artifacts,S4_or_later,no_DA_market_prices,Validator must block DA price dependency,false,Market prices begin later
S30B_CONTRACT_006,export_revenue,Export revenue excluded,true,not_applicable,WAG_export_contract_or_power_market_revenue,S3_0b,no_export_revenue,WAG may not create revenue in diagnostic,false,Net import offset is not export settlement
S30B_CONTRACT_007,objective_optimisation,Objective optimisation excluded,true,not_applicable,model_objective_or_dispatch_solver,S3_0b,no_objective_optimisation,Diagnostic calculations must be fixed-profile accounting only,false,No optimisation model implementation
S30B_CONTRACT_008,flare_spill_residual,Flare spill or unused residual accounting required,true,s3_wag_accounting_boundary_register,implicit_free_disposal,S3_0b,no_free_disposal,WAG residual must be visible and non-disappearing,false,Residual sink is mandatory
S30B_CONTRACT_009,emissions_boundary,Emissions boundary prevents double counting,true,s3_accounting_input_schema,emissions_counted_at_generation_and_use_without_rule,S3_0b,no_double_counting,No double-counting and point-of-oxidation checks required,false,Generation alone must not count carbon; count once at combustion flare or explicit transfer
S30B_CONTRACT_010,net_import_offset,Net-import offset may be diagnostic only,true,wag_to_power_interface_mapping,settlement_or_export_revenue,S3_0b,no_settlement_logic,Any offset must be capped by demand where available and labelled diagnostic and non-settlement,false,No market settlement export revenue or full Vattenfall dispatch in S3.0b
S30B_CONTRACT_011,price_responsive_allocation,Price-responsive WAG allocation excluded,true,not_applicable,electricity_prices_or_shadow_prices,S3_1_or_later,no_price_responsive_allocation,Must remain blocked in S3.0b,false,Cross-reference s3_0b_wag_diagnostic_calculation_contract.csv and s3_0b_wag_diagnostic_output_schema.csv; reserved for S3.1 after deterministic accounting is stable
