row_id,configuration_id,asset_id,asset_name,asset_type,route_or_scope,active_in_s2_lp,active_in_first_buffer_model,carrier_or_material,main_assumption,numerical_input_source,numerical_status,flexibility_role,capacity_or_bound_status,conversion_status,inventory_status,validation_role,thesis_usability,remaining_risk,next_required_review
S211_ASSET_001,C0_current_BF_BOF_reference,c0_external_iron_burden_supply_boundary,C0 external iron and burden supply boundary,external_supply_boundary,C0_ROUTE_BF_BOF,true,false,iron_ore_or_pellet_input_boundary,External burden feed is treated as an exogenous availability boundary,c0_raw_material_supply_boundary;C0_ARC01,structural_only,non_flexible_upstream_boundary,not_capacity_modelled,not_conversion_modelled,no_inventory_role,topology_and_feed_scope,false,Supply economics are absent,Keep boundary exogenous until S3 energy layer
S211_ASSET_002,C0_current_BF_BOF_reference,c0_external_scrap_flux_supply_boundary,C0 external scrap and flux supply boundary,external_supply_boundary,C0_ROUTE_BF_BOF,true,false,scrap_and_flux_input_boundary,Converter scrap and flux are modelled as exogenous feeds,C0_ARC02;C0_ARC03,structural_only,auxiliary_metallic_feed_boundary,not_capacity_modelled,not_conversion_modelled,no_inventory_role,topology_and_minimal_recipe_scope,false,Scrap mix remains simplified,Review only if recipe scope widens
S211_ASSET_003,C0_current_BF_BOF_reference,c0_coke_supply_or_coke_oven_boundary,C0 coke supply or coke oven boundary,excluded_deferred_asset,C0_ROUTE_BF_BOF,false,false,coke,Coke treatment remains a boundary and not an executable flexibility asset,c0_coke_supply_or_coke_oven_boundary;C0_ARC04,structural_only,excluded_from_flexibility_scope,boundary_only,not_conversion_modelled,no_inventory_role,scope_refusal,false,Internal coke logic is absent,Keep excluded from S3.0
S211_ASSET_004,C0_current_BF_BOF_reference,c0_burden_prep_boundary,C0 burden preparation boundary,structural_topology_only,C0_ROUTE_BF_BOF,false,false,sinter_or_pellet_feed,Burden preparation is represented only to preserve route structure,c0_burden_prep_boundary;C0_ARC05,structural_only,non_flexible_structural_boundary,boundary_only,not_conversion_modelled,no_inventory_role,topology_completeness,false,Burden prep has no executable numbers,Review only if upstream process detail is reopened
S211_ASSET_005,C0_current_BF_BOF_reference,c0_blast_furnace,C0 blast furnace,process_unit,C0_ROUTE_BF_BOF,true,false,hot_metal,BF is continuity-driven with dev-only min and max hourly placeholders,DEV_PB_001;DEV_PB_009;DEV_CC_001,dev_executable_only,continuity_driven_non_flexible,bounded_by_dev_process_bounds,output_reference_only,no_inventory_role,feasible_smoke_and_stress_regression,false,Annual-to-hourly anchor translation is still placeholder,Review true plant envelope before any thesis use
S211_ASSET_006,C0_current_BF_BOF_reference,c0_hot_metal_buffer,C0 hot-metal buffer,store_buffer,C0_ROUTE_BF_BOF,true,true,hot_metal,Hot metal buffer is a small synchronisation buffer with CYC50 endpoint neutrality,DEV_SC_001;DEV_II_001;DEV_EP_001,dev_executable_only,short_synchronisation_only,bounded_dev_capacity_available,not_applicable,active_first_buffer_store,first_buffer_mechanics_and_zero_hit_gate,false,Not evidence of strategic storage,Recheck if downstream or longer horizons are widened
S211_ASSET_007,C0_current_BF_BOF_reference,c0_bof_converter,C0 BOF converter block,process_unit,C0_ROUTE_BF_BOF,true,false,hot_metal_to_liquid_steel,BOF uses a minimal deterministic recipe and dev-only batch-equivalent bound,DEV_PB_005;DEV_CC_002;DEV_CC_003,dev_executable_only,route_conversion_without_market_flexibility,bounded_by_dev_process_bounds,minimal_dev_recipe_only,no_inventory_role,feasible_smoke_and_stress_regression,false,Recipe and cap remain placeholders,Review before any cost or emissions interpretation
S211_ASSET_008,C0_current_BF_BOF_reference,c0_cast_slab_handling,C0 casting and slab handling node,structural_topology_only,C0_ROUTE_BF_BOF,false,false,liquid_steel_to_slab_or_WIP,Casting node preserves downstream topology but is outside executable S2 scope,c0_cast_slab_handling;C0_ARC08;C0_ARC09,structural_only,no_current_flexibility_claim,deferred_downstream_bound,shared_casting_yield_not_consumed_here,no_inventory_role,scope_boundary,false,S2 stops at liquid steel sink in practice,Keep structural only until downstream is reopened
S211_ASSET_009,C0_current_BF_BOF_reference,c0_liquid_steel_target_sink,C0 liquid-steel target sink,sink_target_boundary,C0_ROUTE_BF_BOF,true,false,liquid_steel,Route-neutral horizon-total target is a development-only smoke sink,DEV_PT_005;DEV_PT_001;DEV_PT_007,dev_executable_only,target_boundary_only,hard_target_without_slack,not_applicable,no_inventory_role,feasible_smoke_stress_and_weekly_gate,false,Smoke targets are not production truth,Do not reinterpret in S3
S211_ASSET_010,C0_current_BF_BOF_reference,c0_slab_wip_buffer,C0 slab or WIP buffer,excluded_deferred_asset,C0_ROUTE_BF_BOF,false,false,slab_or_WIP,Cold slab or WIP storage remains formula-only and downstream-gated,DEV_SC_002;DEV_II_002;DEV_EP_002,not_executable_formula_only,deferred_downstream_buffer,not_tonne_grounded,not_applicable,blocked_deferred_store,scope_refusal,false,Tonne basis unresolved,Require tonne grounding before any activation
S211_ASSET_011,C0_current_BF_BOF_reference,c0_hot_slab_transfer_buffer,C0 hot-slab transfer buffer,excluded_deferred_asset,C0_ROUTE_BF_BOF,false,false,slab_or_WIP,Hot slab transfer remains omit-or-tiny feasibility treatment only,DEV_SC_003;DEV_II_003;DEV_EP_003,not_executable_policy_only,not_strategic_flexibility,policy_only_no_capacity,not_applicable,blocked_deferred_store,scope_refusal,false,Could create fake flexibility if widened,Keep blocked from strategic use
S211_ASSET_012,C0_current_BF_BOF_reference,c0_excluded_bulk_stocks,C0 excluded coke sinter pellet and finished-goods stocks,excluded_deferred_asset,C0_scope_exclusions,false,false,coke_sinter_pellet_finished_goods,Excluded bulk and finished stocks are outside S2 flexibility claims,S2_policy_scope_freeze,blocked_scope_only,excluded_from_s2_flexibility,no_capacity_claim,not_applicable,not_allowed,scope_refusal,false,Would change scope materially,Keep excluded through S3.0
S211_ASSET_013,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,c1_retained_bf_bof_supply_boundary,C1 retained BF-BOF supply boundary,external_supply_boundary,C1_ROUTE_RETAINED_BF_BOF,true,false,iron_ore_pellet_flux_boundary,Retained BF-BOF route uses exogenous feed boundaries,c1_bf_bof_supply_boundary;C1_ARC01;C1_ARC02;C1_ARC03,structural_only,non_flexible_upstream_boundary,not_capacity_modelled,not_conversion_modelled,no_inventory_role,topology_and_feed_scope,false,Boundary economics are absent,Keep exogenous in S3.0
S211_ASSET_014,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,c1_ng_drp_eaf_supply_boundary,C1 NG-DRP-EAF supply boundary,external_supply_boundary,C1_ROUTE_NG_DRP_EAF,true,false,ore_scrap_flux_boundary,Hybrid route feed boundary remains exogenous in S2,c1_ng_drp_eaf_supply_boundary;C1_ARC06;C1_ARC07;C1_ARC11;C1_ARC12,structural_only,exogenous_metallic_feed_boundary,not_capacity_modelled,not_conversion_modelled,no_inventory_role,topology_and_feed_scope,false,Feed logistics are simplified,Keep exogenous until broader scope review
S211_ASSET_015,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,c1_retained_blast_furnace,C1 retained blast furnace,process_unit,C1_ROUTE_RETAINED_BF_BOF,true,false,hot_metal,Retained BF keeps the same dev-only continuity envelope as C0,DEV_PB_002;DEV_PB_010;DEV_CC_005,dev_executable_only,continuity_driven_non_flexible,bounded_by_dev_process_bounds,output_reference_only,no_inventory_role,feasible_smoke_and_weekly_gate,false,Still a placeholder annual translation,Review before thesis interpretation
S211_ASSET_016,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,c1_hot_metal_buffer,C1 hot-metal buffer,store_buffer,C1_ROUTE_RETAINED_BF_BOF,true,true,hot_metal,Retained hot metal buffer is a small synchronisation buffer only,DEV_SC_004;DEV_II_004;DEV_EP_004,dev_executable_only,short_synchronisation_only,bounded_dev_capacity_available,not_applicable,active_first_buffer_store,first_buffer_mechanics_and_zero_hit_gate,false,Not a strategic storage asset,Keep synchronisation-only interpretation
S211_ASSET_017,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,c1_retained_bof_converter,C1 retained BOF converter block,process_unit,C1_ROUTE_RETAINED_BF_BOF,true,false,hot_metal_to_liquid_steel,Retained BOF uses the same dev-only minimal recipe as the reference route,DEV_PB_006;DEV_CC_006;DEV_CC_007,dev_executable_only,route_conversion_without_market_flexibility,bounded_by_dev_process_bounds,minimal_dev_recipe_only,no_inventory_role,feasible_smoke_and_weekly_gate,false,Recipe remains simplified,Review before cost or emission layering
S211_ASSET_018,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,c1_ng_drp,C1 NG-DRP unit,process_unit,C1_ROUTE_NG_DRP_EAF,true,false,ore_or_pellets_to_DRI_or_HDRI,DRP is a continuous metallic producer with dev-only min and max hourly placeholders,DEV_PB_003;DEV_PB_004;DEV_CC_009,dev_executable_only,continuous_short_term_route_supply,bounded_by_dev_process_bounds,ore_to_DRI_recipe_dev_only,no_inventory_role,feasible_smoke_stress_and_weekly_gate,false,Vendor-style recipe and turndown remain provisional,Review before broader physical claims
S211_ASSET_019,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,c1_dri_hdri_buffer,C1 DRI or HDRI buffer,store_buffer,C1_ROUTE_NG_DRP_EAF,true,true,DRI_or_HDRI,DRI HDRI buffer is the main short-term surge and decoupling store in S2,DEV_SC_005;DEV_II_005;DEV_EP_005,dev_executable_only,short_term_surge_buffer,bounded_dev_capacity_available,not_applicable,active_first_buffer_store,first_buffer_mechanics_and_weekly_gate,false,Short-term use only and still non-thesis,Review before any strategic flexibility claim
S211_ASSET_020,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,c1_eaf,C1 EAF,process_unit,C1_ROUTE_NG_DRP_EAF,true,false,DRI_or_HDRI_and_scrap_to_liquid_steel,EAF is the main flexible metallic conversion unit with placeholder cap and dev yield,DEV_PB_007;DEV_CC_010;DEV_CC_011,dev_executable_only,main_metallic_flexibility_unit,bounded_by_dev_process_bounds,metallic_yield_and_recipe_dev_only,no_inventory_role,feasible_smoke_stress_and_weekly_gate,false,EAF placeholder cap is not a plant truth,Review before any thesis use
S211_ASSET_021,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,c1_new_secondary_met,C1 new secondary metallurgy node,structural_topology_only,C1_ROUTE_NG_DRP_EAF,false,false,liquid_steel,Secondary metallurgy is represented structurally and not as executable S2 logic,c1_new_secondary_met;C1_ARC13;C1_ARC14,structural_only,no_current_flexibility_claim,deferred,not_conversion_modelled,no_inventory_role,topology_completeness,false,No executable parameters exist,Keep structural only until downstream widening
