builder_input_gate_id,builder_input_gate_name,contract_item_id,future_approved_table,candidate_review_source_table,existing_schema_reference,new_schema_created_flag,applies_to_configuration,applies_to_stage,required_before_executable_builder,allowed_status,forbidden_status,approval_blocker,executable_status,thesis_usability,approval_status,notes
SBIA01,topology_view_selection,MBIC02,validated_topology_view_only__not_approved_input_table,s2_topology_skeleton/configurations.csv;s2_topology_skeleton/routes.csv;s2_topology_skeleton/process_units.csv;s2_topology_skeleton/stores.csv;s2_topology_skeleton/topology_arcs.csv;s2_topology_skeleton/inventory_policy.csv,scripts/Data/04_Steel_Test_Case/steel/topology_queries.py,false,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,validated_topology_view_required_before_builder,structural_view_required_before_builder,raw_csv_bypass_without_validation,Topology must remain structural and validated before any numerical builder gate is opened,non_executable,false,schema_alignment_only,Structural topology consumption stays outside approved numerical tables.
SBIA02,inventory_endpoint_policy,MBIC08,inventory_endpoint_policies.csv,s2_topology_skeleton/inventory_policy.csv;terminal_inventory_rules_candidate_review.csv;initial_inventories_candidate_review.csv,docs/optimisation/steel/STEEL_S2_UNIT_SIGN_AND_ENDPOINT_CONVENTIONS.md,true,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,approved_endpoint_policy_required_before_execution,template_only_pending_promotion,candidate_review_endpoint_policy_as_live_parameter;implicit_terminal_quantity_from_structure_only,Structural endpoint support exists but no approved numerical endpoint-policy row exists,non_executable,false,template_only,The new shell separates endpoint-policy structure from future executable numeric policy.
SBIA03,fixed_production_target_policy,MBIC09,production_targets.csv,production_targets_candidate_review.csv;s2_model_builder_interface_contract.csv,data/03_Optimisation/inputs/assets/steel/s2_schema/production_targets_schema.csv,false,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,approved_target_policy_required_before_execution,fixed_target_policy_only,candidate_review_targets_as_live_parameters;free_output_maximisation_without_target_or_penalty,Fixed target policy is frozen but annual anchors remain non-approved and non-executable,non_executable,false,schema_alignment_only,Policy stays fixed-target-only until explicit row-level promotion exists.
SBIA04,process_bounds,MBIC10,process_bounds.csv,process_bounds_candidate_review.csv,data/03_Optimisation/inputs/assets/steel/s2_schema/process_bounds_schema.csv,false,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,approved_process_bounds_required_before_execution,template_only_pending_promotion,candidate_review_bounds_as_live_parameter;annual_public_anchor_as_hourly_cap,Annual anchors are not hourly caps and process-class translation remains unresolved,non_executable,false,template_only,Process-bound shell exists but no numerical row is approved.
SBIA05,conversion_coefficients,MBIC11,conversion_coefficients.csv,conversion_coefficients_candidate_review.csv,data/03_Optimisation/inputs/assets/steel/s2_schema/conversion_coefficients_schema.csv,false,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,approved_conversion_coefficients_required_before_execution,template_only_pending_promotion,candidate_review_coefficients_as_live_parameter,Unit basis sign direction and site-calibration blockers remain unresolved,non_executable,false,template_only,Coefficient shell exists but remains empty and non-executable.
SBIA06,store_capacities,MBIC12,store_capacities.csv,stores_candidate_review.csv,data/03_Optimisation/inputs/assets/steel/s2_schema/stores_schema.csv,true,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,approved_store_capacities_required_before_execution,template_only_pending_promotion,candidate_review_store_capacity_as_live_parameter,Store classes exist structurally but approved numerical capacities do not,non_executable,false,template_only,This task introduces the first dedicated store-capacity shell.
SBIA07,initial_inventories,MBIC13,initial_inventories.csv,initial_inventories_candidate_review.csv,data/03_Optimisation/inputs/assets/steel/s2_schema/initial_inventories_schema.csv,false,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,approved_initial_inventories_required_before_execution,template_only_pending_promotion,candidate_review_initial_inventory_as_live_parameter,Opening-state semantics and evidence remain unresolved,non_executable,false,template_only,Initial-inventory shell exists but remains empty.
SBIA08,terminal_inventory_rules,MBIC14,terminal_inventory_rules.csv,terminal_inventory_rules_candidate_review.csv,data/03_Optimisation/inputs/assets/steel/s2_schema/terminal_inventory_rules_schema.csv,false,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,approved_terminal_inventory_rules_required_before_execution,template_only_pending_promotion,candidate_review_terminal_rules_as_live_parameter,Rule-type support exists but no approved numeric terminal rule exists,non_executable,false,template_only,Terminal-rule shell exists but remains empty.
SBIA09,production_targets,MBIC15,production_targets.csv,production_targets_candidate_review.csv;validation_targets_candidate_review.csv,data/03_Optimisation/inputs/assets/steel/s2_schema/production_targets_schema.csv,false,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,approved_production_targets_required_before_execution,template_only_pending_promotion,candidate_review_targets_as_live_parameter;annual_public_anchor_as_hourly_cap,Annual public anchors remain blocked from direct executable hourly target use,non_executable,false,template_only,The shell exists to receive future approved targets after explicit promotion only.
SBIA10,validation_targets,MBIC16,validation_targets.csv,validation_targets_candidate_review.csv,data/03_Optimisation/inputs/assets/steel/s2_schema/validation_targets_schema.csv,false,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,future_S2_builder,validation_reference_only,validation_reference_only,validation_target_as_constraint;annual_public_anchor_as_hourly_cap,Validation targets remain external checks and annual anchors cannot become hourly caps or live constraints,non_executable,false,blocked,The shell is a governance boundary not an executable constraint table.
