source_id,canonical_title,author_or_institution,year,source_type,url_or_doi,local_file_reference,public_reportability,vendor_or_neutral_status,stage_relevance,supported_parameter_rows,modelling_role,source_card_path,metadata_status,limitations,executable_approval_status
F01,Feasibility study on climate-neutral pathways for TSN IJmuiden,Roland Berger for Tata Steel Netherlands and FNV,2021,public_consultancy_report,https://products.tatasteelnederland.com/sites/producttsn/files/TSN%20Climate%20Neutral%20Pathways%20Final%20Report.pdf,none,public,neutral_context,S2_and_governance,TOPOLOGY_TSN_BASELINE_BF_BOF;TARGET_SITE_ANNUAL_STEEL;ROUTE_DRI_TRANSITION,topology_support;validation_target;assumption_support,data/03_Optimisation/inputs/assets/steel/source_cards/F01_roland_berger_tsn_climate_neutral_pathways.md,complete_or_reviewed,Public transition anchor and not a site-operating dataset,not_approved
F02,Flexibility options in a decarbonising iron and steel industry,Annika Boldrini et al.,2024,peer_reviewed_journal_article,https://doi.org/10.1016/j.rser.2023.113988,none,public,neutral_academic,S2,INV_CYCLIC_TERMINAL;INV_INITIAL_FINAL_EQUAL;ANTI_FAKE_FLEXIBILITY;AVAILABLE_HOURS_OR_CAPACITY_FACTOR,assumption_support;governance_precedent;candidate_value_range,data/03_Optimisation/inputs/assets/steel/source_cards/F02_boldrini_flexibility_options_decarbonising_steel.md,complete_or_reviewed,Model and review source rather than Tata numerical truth,not_approved
F03,Best Available Techniques (BAT) Reference Document for Iron and Steel Production,European Commission Joint Research Centre,2013,JRC_BREF,https://doi.org/10.2791/97469,none,public,neutral_technical,S2_and_S3,BUF_HOT_METAL_CAPACITY;HOT_METAL_MIXER_RANGE;BF_TO_BOF_COUPLING,assumption_support;candidate_value_range;topology_support,data/03_Optimisation/inputs/assets/steel/source_cards/F03_jrc_bref_iron_and_steel_hot_metal_buffer.md,complete_or_reviewed,Generic technical source and not Tata numerical truth,not_approved
F04,The MIDREX Process,Midrex Technologies,2018,vendor_brochure,https://www.midrex.com/wp-content/uploads/MIdrex_Process_Brochure_4-12-18.pdf,none,public,vendor_context,S2,PROC_DRP_CAPACITY_RANGE;PROC_DRP_CONTINUITY_CLASS;PROC_DRP_MIN_LOAD;DRP_NOT_BATCH,candidate_value_range;assumption_support;vendor_context,data/03_Optimisation/inputs/assets/steel/source_cards/F04_midrex_process_brochure.md,complete_or_reviewed,Vendor context and not neutral site truth,not_approved
F05,Getting the Most from Direct Reduced Iron - Operational Results of MIDREX Hot Transport-Hot Charging,Brian Voelker and Sean Boyle; Midrex Technologies,2022,vendor_technical_magazine_article,https://www.midrex.com/wp-content/uploads/Midrex-DFM-3rdQtr2022-Final-1.pdf,none,public,vendor_context,S2,BUF_HDRI_SURGE;BUF_DRI_EAF_DECOUPLING;HDRI_THERMAL_CAVEAT;EAF_PRODUCTIVITY_HDRI,assumption_support;sensitivity_support;candidate_value_range,data/03_Optimisation/inputs/assets/steel/source_cards/F05_midrex_hot_transport_hot_charging.md,complete_or_reviewed,Vendor case material and not neutral site evidence,not_approved
F06,Hot Transport Vessel (HTV) System: Hot Transport Vessel for Hot Charging DRI,Midrex Technologies,2014_or_undated_brochure,vendor_brochure,https://www.midrex.com/wp-content/uploads/Hot_Transport_-_HTV.pdf,none,public,vendor_context,S2,BUF_HTV_CAPACITY;HDRI_SHORT_TRANSFER;HBI_STORAGE_CLASS,assumption_support;sensitivity_support;candidate_value_range,data/03_Optimisation/inputs/assets/steel/source_cards/F06_midrex_htv_system.md,complete_or_reviewed,Vendor brochure and not neutral site evidence,not_approved
F07,ENERGIRON: DRI Technology by Tenova and Danieli,Tenova / Danieli,undated_2026_url_path,vendor_brochure,https://tenova.com/sites/default/files/files/solutions/2026/ENERGIRON_Brochure_ENG.pdf,ENERGIRON_Brochure_ENG.pdf_not_found_in_repo_scan_2026_06_14,public,vendor_context,S2,PROC_DRP_CAPACITY_RANGE;COEFF_ORE_TO_DRI;DRI_METALLIZATION;DRI_CARBON;CDRI_HBI_HANDLING_CLASS,candidate_value_range;assumption_support;sensitivity_support,data/03_Optimisation/inputs/assets/steel/source_cards/F07_energiron_dri_technology_tenova_danieli.md,complete_metadata_local_reference_unverified,Vendor technical evidence and local file reference not verified in repo scan,not_approved
F08,Reoxidation Behavior of the Direct Reduced Iron and Hot Briquetted Iron during Handling and Their Integration into Electric Arc Furnace Steelmaking: A Review,Lina Kieush et al.,2024,peer_reviewed_open_access_review,https://doi.org/10.3390/met14080873,none,public,neutral_academic,S2,PROC_EAF_BATCH_EQUIVALENT;EAF_TAP_TO_TAP_RANGE;COEFF_EAF_YIELD_SCRAP;COEFF_EAF_YIELD_DRI;DRI_HBI_REOXIDATION_CAVEAT,candidate_value_range;assumption_support;sensitivity_support,data/03_Optimisation/inputs/assets/steel/source_cards/F08_kieush_dri_hbi_reoxidation_review.md,complete_or_reviewed,Generic review support and not Tata site truth,not_approved
F09,70 Years of LD-Steelmaking - Quo Vadis?,Jurgen Cappel et al.,2022,peer_reviewed_journal_article,https://doi.org/10.3390/met12060912,none,public,neutral_academic,S2,PROC_BOF_BATCH_EQUIVALENT;BOF_HOT_METAL_SHARE;BOF_SCRAP_SHARE;BOF_HEAT_DURATION,candidate_value_range;assumption_support;sensitivity_support,data/03_Optimisation/inputs/assets/steel/source_cards/F09_cappel_70_years_ld_steelmaking.md,complete_or_reviewed,Global BOF practice ranges and not Tata-specific converter truth,not_approved
F10,Modeling of Electric Arc Furnaces (EAF) with electromagnetic stirring,ABB AB Corporate Research / ABB Metallurgy,undated,vendor_technical_note,https://library.e.abb.com/public/c6577f6a9f91b38485257961006aa934/Modeling%20of%20Electric%20Arc.pdf,none,public,vendor_context,S2,EAF_FAST_TAP_TO_TAP_BOUND;PROC_EAF_BATCH_EQUIVALENT,assumption_support;sensitivity_support;vendor_context,data/03_Optimisation/inputs/assets/steel/source_cards/F10_abb_eaf_modelling_note.md,complete_or_reviewed,Vendor context and not neutral plant-average evidence,not_approved
F11,Electric Arc Furnace Process Modelling and Simulation,Hermann Volkl; TU Wien,2023,academic_thesis,https://repositum.tuwien.at/bitstream/20.500.12708/158341/1/Voelkl%20Hermann%20-%202023%20-%20Electric%20Arc%20Furnace%20Process%20Modelling%20and%20Simulation.pdf,none,public,neutral_academic,S2,EAF_HEAT_SIZE;EAF_TAP_WEIGHT;EAF_HOT_HEEL;EAF_BATCH_DURATION;EAF_HOURLY_EQUIVALENT_THROUGHPUT,candidate_value_range;assumption_support;modelling_precedent,data/03_Optimisation/inputs/assets/steel/source_cards/F11_voelkl_eaf_process_modelling_and_simulation.md,complete_or_reviewed,Single academic case and not Tata site truth,not_approved
F12,Steel and raw materials: Fact sheet,World Steel Association,2023,industry_factsheet,https://worldsteel.org/wp-content/uploads/Fact-sheet-raw-materials-2023-1.pdf,none,public,neutral_industry,S2,COEFF_BF_BOF_IRON_ORE;COEFF_BF_BOF_COAL;COEFF_BF_BOF_LIMESTONE;COEFF_BOF_RECYCLED_STEEL;RAW_MATERIAL_EXTERNAL_SUPPLY,candidate_value_range;validation_target;assumption_support,data/03_Optimisation/inputs/assets/steel/source_cards/F12_worldsteel_raw_materials_fact_sheet_2023.md,complete_or_reviewed,Route-average industry factors and not site recipes,not_approved
F13,Recent Trends and Future Prospects of Continuous Casting Technology,Hirohiko Okumura,1994,technical_report_paper,https://www.nipponsteel.com/en/tech/report/nsc/pdf/6102.pdf,none,public,neutral_technical,S2,COEFF_CASTING_YIELD;PROC_CASTING_CONTINUOUS_SEQUENCE;CASTING_TO_SLAB_YIELD,candidate_value_range;sensitivity_support;assumption_support,data/03_Optimisation/inputs/assets/steel/source_cards/F13_okumura_continuous_casting_technology.md,complete_or_reviewed,Older technical source and not modern site truth,not_approved
F14,The Hot Strip Mill Production Scheduling Problem in the Steel Industry: A Heuristic Approach Using Tabu Search,Leovigildo Lopez-Garcia,1997,academic_thesis,https://www.collectionscanada.gc.ca/obj/s4/f2/dsk2/ftp02/NQ35442.pdf,none,public,neutral_academic,S2,HSM_DOWNSTREAM_SINK;SLAB_WIP_THERMAL_CLASS;REHEAT_TIME_PROXY;HOT_WARM_COLD_SLAB_CAVEAT,assumption_support;sensitivity_support;modelling_structure_precedent,data/03_Optimisation/inputs/assets/steel/source_cards/F14_lopez_garcia_hot_strip_mill_scheduling.md,complete_or_reviewed,Older downstream thesis and not Tata truth,not_approved
F15,Improving the operations of a Slab Yard through the implementation of best practices,Geani Kasselman,2011,academic_operational_practice_study,https://repository.up.ac.za/server/api/core/bitstreams/8240a454-8f3c-4704-972b-c5201497e0ec/content,Kasselman_Operations(2011).pdf_not_found_in_repo_scan_2026_06_14,public,neutral_non_ijmuiden,S2,BUF_SLAB_YARD_ORDER_OF_MAGNITUDE;SLAB_YARD_DAYS_SCALE_SENSITIVITY;WIP_BUFFER_WEAK_TRANSFER,sensitivity_support;assumption_support;not_a_numerical_input_source,data/03_Optimisation/inputs/assets/steel/source_cards/F15_kasselman_slab_yard_best_practices_2011.md,complete_metadata_local_reference_unverified,Non-IJmuiden source and local file reference not verified in repo scan,not_approved
F16,Operation of Cutting-Edge Coke Oven Having all of Durability Safety and Efficiency,Paul Wurth IHI Co. Ltd. / IHI technical information,2017,vendor_technical_paper,https://www.ihi.co.jp/en/technology/techinfo/contents_no/__icsFiles/afieldfile/2023/06/17/e8259f5361c09473fa1f08cd63e362ca.pdf,none,public,vendor_context,S2,PROC_COKE_OVEN_CONTINUITY;COKE_OVEN_CAPACITY_EXAMPLE;COKE_NEAR_MUST_RUN;COKE_BUFFER_WEAK_EVIDENCE,assumption_support;sensitivity_support;vendor_context,data/03_Optimisation/inputs/assets/steel/source_cards/F16_ihi_cutting_edge_coke_oven_operation.md,complete_or_reviewed,Vendor continuity example and weak storage evidence,not_approved
F17,Technologies to decarbonise the EU steel industry,Julian Somers; European Commission JRC,2022,JRC_technical_report,https://doi.org/10.2760/069150,none,public,neutral_technical,S2_and_later,ROUTE_DRP_EAF_CONTEXT;EU_STEEL_DECARBONISATION_TECH;HYDROGEN_DRI_CONTEXT,topology_support;assumption_support;governance_precedent,data/03_Optimisation/inputs/assets/steel/source_cards/F17_jrc_technologies_to_decarbonise_eu_steel.md,complete_or_reviewed,High-level route context and not direct numerical input evidence,not_approved
F18,Modeling the Energy Transition of an Integrated Steel Site: The Case of Tata Steel's IJmuiden Site,Ioannis Athanasiadis; TU Delft,2025,academic_thesis,uploaded_local_reference_only,Master_Thesis_Report_Athanasiadis (1).pdf_not_found_in_repo_scan_2026_06_14,local_only,precedent_only,governance_only,MODELLING_STRUCTURE_PRECEDENT;TATA_INSPIRED_NOT_DIGITAL_TWIN;REDACTED_VALUES_WARNING,governance_precedent;not_a_numerical_input_source,data/03_Optimisation/inputs/assets/steel/source_cards/F18_athanasiadis_tata_ijmuiden_thesis.md,complete_or_reviewed,Precedent and redacted-values warning only,not_executable
F19,Optimising Industrial Participation in the Day-Ahead Electricity Market: A Stochastic Bidding Framework with Risk Management,Mukunda Badarinath; TU Delft,2025,academic_thesis,uploaded_local_reference_only,Master_Thesis_Mukunda_Badarinath.pdf_not_found_in_repo_scan_2026_06_14,local_only,precedent_only,governance_only_and_later_market,BIDDING_METHOD_PRECEDENT;BENCHMARK_LOGIC;HYDROGEN_VERIFICATION_PRECEDENT;NOT_S2_PARAMETER_SOURCE,governance_precedent;not_a_numerical_input_source,data/03_Optimisation/inputs/assets/steel/source_cards/F19_badarinath_stochastic_bidding_framework.md,complete_or_reviewed,Bidding and hydrogen precedent rather than S2 parameter evidence,not_executable
F20,AGENTS.md,Project repository governance,current_repository_file,repository_governance_file,local_repository_governance_file,AGENTS.md,internal_governance,governance_only,governance_only,REPO_GOVERNANCE;STAGE_DISCIPLINE;NO_HARDCODED_ASSUMPTIONS,governance_precedent;not_a_numerical_input_source,data/03_Optimisation/inputs/assets/steel/source_cards/F20_agents_governance_file.md,complete_or_reviewed,Governance file and not a numerical evidence source,not_executable
