route_id,configuration,process,input_carrier_material,output_carrier_material,input_unit,output_unit,conversion_factor,capacity_basis,operating_class,origin_tag,reference_mode_rule,endogenous_mode_rule,activity_driver,source_evidence_status,cost_design_inclusion_status,caveat
C0_COKE,C0,coking_KGF1_KGF2,dry_coal,coke,t_dry_coal,t_coke,0.7782101167,KGF hourly bounds plus coke inventory,continuous_must_run,endogenous,raw route rows are scenario definitions; no fixed hours,free bounded throughput,coke_output_t,source_backed_central,physical_constraint_retained,Inverse of 1.285 t dry coal per t coke.
C0_SINTER,C0,sinter,iron_ore,sinter,t_iron_ore,t_sinter,1.23,170 t iron ore feed per h represented limit,continuous_must_run,endogenous,raw public output is context only,free bounded throughput,sinter_iron_ore_feed_t,boundary_reconciled_development,physical_constraint_retained,Partial represented burden; pellets and direct ore are outside this balance.
C0_BF,C0,BF6_BF7,sinter,hot_metal,t_sinter,t_hot_metal,2.1041666667,BF6 and BF7 hourly represented-sinter bounds,continuous_must_run,endogenous,raw 7.2 Mt liquid steel is scenario context,free bounded throughput,bf_sinter_input_t,boundary_reconciled_development,physical_constraint_retained,Coke is balanced separately; this is not a complete BF burden recipe.
C0_BOF_HM,C0,BOF_OSF,hot_metal,liquid_steel,t_hot_metal,t_liquid_steel,0.875 input_per_output,BOF hourly bound and material recipe,batch_equivalent,endogenous,scaled BOF band defines reference scenario,free bounded throughput,bof_liquid_steel_output_t,source_backed_central,physical_constraint_retained,Companion scrap and explicit loss rows complete the represented recipe.
C0_BOF_SCRAP,C0,BOF_OSF,scrap,liquid_steel,t_scrap,t_liquid_steel,0.208 input_per_output,1.5 Mt per y consumer cap converted by horizon,batch_equivalent,endogenous,derived aggregate is scenario_definition,free within consumer cap,bof_liquid_steel_output_t,source_backed_central,physical_constraint_retained,No residual scrap supply.
C0_BOF_LOSS,C0,BOF_OSF,BOF_metallics,internal_material_loss,t_metallics,t_loss,0.083 loss_per_t_liquid_steel,material identity,batch_equivalent,endogenous,reporting identity only,reporting identity only,bof_liquid_steel_output_t,boundary_reconciled_development,physical_constraint_retained,Loss equals represented inputs minus liquid-steel output.
C0_HSM_ROUTE,C0,BOF_OSF,liquid_steel_HSM_route,slab_to_HSM,t_liquid_steel,t_slab_input,1.0,HSM hourly capacity plus cold-slab inventory,bounded_downstream,endogenous,scaled HSM output band defines reference scenario,optimizer chooses route,hsm_slab_input_t,boundary_reconciled_development,physical_constraint_retained,No fixed HSM/DSP share in endogenous mode.
C0_HSM_CONVERSION,C0,HSM,slab,HRC_final_product,t_slab,t_HRC,0.96 output_per_input,5.4 Mt per y raw HSM output used once for conversion derivation,bounded_downstream,endogenous,raw 5.4 and derived aggregates are scenario_definition,free bounded output,HSM_HRC_output_t,boundary_reconciled_development,physical_constraint_retained,Equivalent to 1.0416666667 t slab per t HRC.
C0_HSM_LOSS,C0,HSM,slab,internal_HSM_loss,t_slab,t_loss,0.04 loss_per_t_slab,material identity,bounded_downstream,endogenous,reporting identity only,reporting identity only,HSM_slab_input_t,boundary_reconciled_development,physical_constraint_retained,Explicitly reported and never reused as supply.
C0_DSP_ROUTE,C0,BOF_OSF,liquid_steel_DSP_route,DSP_input,t_liquid_steel,t_liquid_steel,1.0,1.5 Mt per y final-output cap plus hourly equivalent,bounded_downstream,endogenous,scaled DSP output band defines reference scenario,optimizer chooses route,DSP_input_t,boundary_reconciled_development,physical_constraint_retained,Raw 20 percent route and raw 1.5 Mt output conflict remains visible; neither pair is imposed simultaneously.
