policy_id,policy_value,value_type,accounting_status,objective_status,source_status,source_locator,caveat
ex_post_cost_accounting_enabled,true,boolean,active,not_applicable,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md sections 7 and 10,Reads accepted executed quantities only.
accounting_result_label,represented-boundary ex-post deterministic procurement cost,string,active,not_applicable,governed_development_policy,user acceptance contract,Must not be described as total Tata site cost profit or NPV.
physical_parent_execution_mode,fixed_reference_physical,string,active,not_applicable,governed_fixed_reference_policy,c5_fixed_reference_scenario_contract.csv,Reference-validation output remains prohibited from economic reporting.
execution_booking_policy,first_24h_of_each_of_7_replans,string,active,not_applicable,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 7,Never sum overlapping planned 168-hour horizons.
grid_electricity_price_scenario,development_central,string,active,not_applicable,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 4.2,Low and high remain inactive sensitivities.
named_ng_price_scenario,development_central,string,active,not_applicable,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 4.2,Residual NG remains excluded.
imported_slab_price_scenario,development_central,string,active,not_applicable,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 4.2,Price actual solved delivery rather than the annual cap.
cost_objective_enabled,true,boolean,active_fixed_reference_only,enabled_fixed_reference_only,governed_development_policy,long-running fixed-reference procurement-cost goal,Physical baseline remains price-free; only fixed_reference_cost mode activates the objective.
product_revenue_enabled,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 9.3,No product value term.
internal_wag_price_enabled,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 9.3,WAG remains an internal physical carrier.
mixed_or_aggregate_wag_price_enabled,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 9.3,Aggregate and mixed WAG are reporting only.
steam_price_enabled,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 9.3,Steam remains internal and unpriced.
generator_export_revenue_enabled,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 9.3,No export revenue.
residual_electricity_cost_enabled,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 9.3,Residual is a reporting gap and never an input.
residual_ng_cost_enabled,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 9.3,Residual is a reporting gap and never an input.
ets_in_base_objective,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md sections 2.3 and 9.3,Partial Mode B remains excluded.
free_allocation_enabled,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 9.3,No free-allocation model.
cbam_enabled,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 9.3,No CBAM model.
reference_bands_enabled_in_economic_mode,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 9.3,Endogenous routing remains physical.
raw_material_costs_enabled,true,boolean,active_fixed_reference_only,enabled_fixed_reference_only,represented_boundary_development_policy,c5_future_cost_boundary_contract.csv,Only named external solved flows with adequate represented-boundary coverage are priced.
reference_validation_cost_output_enabled,false,boolean,inactive,disabled,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 7,Only accepted endogenous lineage may be costed.
route_cost_coverage_status,adequate_represented_major_inputs_with_explicit_scope_gaps,string,active,enabled_fixed_reference_only,route_cost_coverage_gate,c5_procurement_boundary_gap_register.csv,BF pellets remain unrepresented and HBI inactive; neither is a free active flow.
physical_builder_mutation_enabled,false,boolean,inactive,disabled,accepted_physical_lineage,user phase boundary,The physical builder constraints and objective remain unchanged.
fixed_reference_scenario_bands_enabled,true,boolean,active,enabled_fixed_reference_only,governed_fixed_reference_policy,c5_fixed_reference_scenario_contract.csv,Cumulative annual/horizon route bands are scenario definitions; hourly operation remains endogenous.
cost_objective_scope,fixed_reference_cost_only,string,active,enabled_fixed_reference_only,governed_fixed_reference_policy,PROJECT_DECISIONS.md,No endogenous route-selection economic claim.
coking_coal_price_scenario,development_central,string,active,enabled_fixed_reference_only,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 4.2,Proxy price and not a Tata contract.
pci_price_scenario,development_central,string,active,enabled_fixed_reference_only,governed_development_policy,DEVELOPMENT_ECONOMIC_FINANCIAL_LAYER_COSTS.md section 4.2,Proxy price with weaker public PCI evidence.
