configuration,topic,flow_or_asset,status,model_value,unit,source_or_anchor,gap_or_issue,risk,recommended_fix_or_defer,caveat
C0_current_BF_BOF_reference,PEFA_to_pellet_burden,PEFA fired pellets -> pellet balance,true,0.0,t/y,C5n_a/C5n_b,gap/surplus diagnostic only,physical/economic claim can be overstated if caveat is ignored,Keep; grade split deferred.,"Single fired_pellets_proxy, no grade quality."
C0_current_BF_BOF_reference,pellet_burden_to_DRP,DRP pellet demand,closed,0.0,t/y,C5n_b/C5o_a,none if closed,physical/economic claim can be overstated if caveat is ignored,Keep; no double counting.,C0 inactive.
C0_current_BF_BOF_reference,DRP_to_DRI_buffer_to_EAF,DRI buffer handoff,pass,0.0,t,C5o_a/C5o_b,terminal violation if nonzero,physical/economic claim can be overstated if caveat is ignored,Keep terminal equality.,Temporary DRI interface replaced.
C0_current_BF_BOF_reference,BOF_EAF_to_DSP_HSM,liquid steel to downstream,closed_with_caveats,6259090.90891,t/y,C5l_d/C5o_c,route-origin pooled; gross DSP input exposed separately,physical/economic claim can be overstated if caveat is ignored,Add route-origin split only if needed for thesis route-share claim.,No hidden LS source in C5o_c.
C0_current_BF_BOF_reference,DSP_HSM_to_final_proxy,final product proxy,reported,6259090.90891,t/y,C5l_d/C5o_c,denominator not frozen,physical/economic claim can be overstated if caveat is ignored,Freeze denominator before economics.,"HSM + DSP proxy, not product revenue."
C0_current_BF_BOF_reference,coke_balance,KGF coke vs BF coke demand,gap_closed_true,-0.001687,t/y,C5m_e/C5m_f,bounded reconciliation is active development baseline; external coke fallback not active,physical/economic claim can be overstated if caveat is ignored,Keep C5m_f bounded reconciliation status visible in future stages.,External coke fallback not implemented.
C0_current_BF_BOF_reference,bulk_storage,pellet/coke/sinter storage,diagnostic_nonbinding_policy,,-,C5n_b/C5m_b,inventory drift can hide if not monitored,physical/economic claim can be overstated if caveat is ignored,Keep terminal/inventory diagnostics.,Practically non-binding capacity is not free supply.
C0_current_BF_BOF_reference,internal_scrap,BOF_scrap_input,active_material_demand,1404000.0,t/y,C5k,active demand visible,EAF scrap economics incomplete until internal/external scrap boundary is frozen.,Add governed scrap-pool accounting later; do not connect reporting-only scrap silently.,BOF scrap input is active route accounting.
C0_current_BF_BOF_reference,internal_scrap,EAF_scrap_input,active_material_demand,0.0,t/y,C5o_b,active demand visible,EAF scrap economics incomplete until internal/external scrap boundary is frozen.,Add governed scrap-pool accounting later; do not connect reporting-only scrap silently.,No hidden scrap import slack beyond explicit accounting row.
C0_current_BF_BOF_reference,internal_scrap,HSM_internal_loss_or_scrap,reporting_only,490909.0925700003,t/y,C5l_d,scrap loop not closed,EAF scrap economics incomplete until internal/external scrap boundary is frozen.,Add governed scrap-pool accounting later; do not connect reporting-only scrap silently.,Not connected to scrap loop.
