source_card_id,source_title,author_or_organisation,publication_year,source_type,authority_class,public_status,stable_document_identifier,stable_url_or_doi,page_table_or_section,primary_or_secondary,source_scope,source_review_status,locator_complete,eligible_for_candidate_evidence,eligible_for_dev_input_review,thesis_usability,discovery_provenance,notes
STEEL-SC-0001,Best Available Techniques BAT Reference Document for Iron and Steel Production,European Commission Joint Research Centre / European IPPC Bureau / Remus et al.,2013,EU JRC BREF,public_technical_reference,public,Report EUR 25521 EN; JRC 69967; DOI 10.2791/97469; Industrial Emissions Directive 2010/75/EU,https://bureau-industrial-transformation.jrc.ec.europa.eu/sites/default/files/2019-11/IS_Adopted_03_2012.pdf,Table 5.1; Table 5.2; Chapter 6; Table 6.2; Table 6.8; Table 7.5; Table 7.6,primary,EU integrated BF-BOF steelworks WAG generation LHV composition and flare context,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0002,Guidance Document no 8 on harmonised free allocation methodology for EU ETS - Waste gases and process emissions sub-installation,European Commission Directorate-General Climate Action,2024,EU ETS guidance,EU policy guidance,public,EU ETS FAR Guidance Document 8; final version 28 March 2024,https://climate.ec.europa.eu/document/download/8ed1815d-3408-4f3d-9286-efb7618ee307_en?filename=8_gd8_waste_gases_process_emissions_en.pdf&prefLang=pt,Section 1.1; Chapter 4; HALWasteGas formula; Corr_eta and natural-gas reference sections,primary,EU ETS allocation convention for waste gases and process emissions,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0003,Commission Implementing Regulation EU 2018/2066 on monitoring and reporting of greenhouse gas emissions,European Commission via Energy Community consolidated/adapted version,2018,EU regulation,EU legal regulation,public,Commission Implementing Regulation EU 2018/2066; MRR,https://www.energy-community.org/dam/jcr%3Aaf029ec5-13d3-4b10-a754-ddf890ce6814/IMPLEMENTING_REGULATION_EU_2018_2066.pdf,Article 3; Article 48; Article 49; Annex IV; Annex VI; flares section,primary,EU MRV accounting boundary and default factors for waste gases,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0004,Guidance on Monitoring and Reporting in Relation to the Free Allocation Rules,European Commission Directorate-General Climate Action,2024,EU ETS guidance,EU policy guidance,public,EU ETS FAR Guidance Document 5,https://climate.ec.europa.eu/document/download/91ac02da-9b82-4b08-9d8a-9ebf4aa31638_en?filename=5_gd5_mnr_guidance_for_far_en.pdf&prefLang=sv,Integrated steel plant bubble approach; Section 6.15; waste-gas attribution examples and tables,primary,EU free-allocation monitoring guidance for integrated steel and waste gases,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0005,2006 IPCC Guidelines for National Greenhouse Gas Inventories Volume 3 Chapter 4 Metal Industry Emissions,IPCC National Greenhouse Gas Inventories Programme,2006,IPCC guidance,international inventory guidance,public,2006 IPCC Guidelines Volume 3 Chapter 4,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_4_Ch4_Metal_Industry.pdf,Coke production and iron/steel production completeness; double counting or omission text,primary,International inventory accounting boundary for coke steel and by-product gases,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0006,2019 Refinement to the 2006 IPCC Guidelines Volume 3 Chapter 4 Metal Industry Emissions,IPCC National Greenhouse Gas Inventories Programme,2019,IPCC guidance,international inventory guidance,public,2019 Refinement Volume 3 Chapter 4,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/3_Volume3/19R_V3_Ch04_Metal_Industry.pdf,Box 4.0; integrated facilities and Tier combinations text,primary,International inventory accounting and flaring caveats for integrated plants,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-0007,Energy use in the steel industry,World Steel Association,2021,industry fact sheet,sector association public reference,public,Fact sheet April 2021 HR/CB/IM,https://worldsteel.org/wp-content/uploads/Fact-sheet-energy-in-the-steel-industry-2021-1.pdf,Page 1 co-product gases section; Table 1 energy inputs and applications,primary,Sector-level structural evidence for co-product gas use,extracted_from_primary_source,true,true,true,false,docs/optimisation/steel/research_memos/WAG_Source_Card_Register.md; docs/optimisation/steel/research_memos/deepsearch_7_WAG.md,
STEEL-SC-S32-ATHANASIADIS-SLAB-YARD,Athanasiadis public thesis slab storage limit,Athanasiadis,2024,public thesis,public_thesis,public,human-verified public thesis locator packet,local_source_carded_thesis,Slab storage limitation 25000 t,secondary,Public-thesis-derived slab-yard capacity anchor for S2.13a and S3.2,selected_from_human_verified_user_instruction,true,true,true,false,current S3.2 task prompt,Not Tata-exact; sensitivity required
STEEL-SC-S32-CBS-GRID-2024,CBS 2024 average electricity-production emission factor,CBS,2024,public statistics,national statistics,public,human-verified CBS 2024 operational electricity factor,https://www.cbs.nl/,2024 average electricity-production emission factor,primary,Operational Scope 2 static Dutch grid factor,selected_from_human_verified_user_instruction,true,true,true,false,current S3.2 task prompt,Used only for static location-based operational Scope 2 reporting
STEEL-SC-S32-GRID-LIFECYCLE-2024,Dutch grid-mix full-chain emission factor,CO2emissiefactoren.nl / Dutch public factor list,2024,public factor list,national factor list,public,human-verified Dutch grid-mix total factor,https://www.co2emissiefactoren.nl/,Location-based electricity grid mix total factor,secondary,Full-chain grid CO2e sensitivity factor,selected_from_human_verified_user_instruction,true,true,true,false,current S3.2 task prompt,Reporting sensitivity only; not added to operational factor
