mapping_id,source_record_id,configuration,carrier,source_component,source_value_pj_y,dynamic_overlap_fields,baseload_eligible,overlap_classification,source_id,source_locator,original_unit,activity_basis,energy_basis,time_basis,model_field_nonoverlap_rule,notes
P5G-C0-NG-IRON,c0_ng_ironmaking,C0,natural_gas,ironmaking,1.5,,true,unmodelled_source_component,STEEL-SC-0017,WD07 Table 4.2 report p17 / PDF p23,PJ/y,MER configuration category,LHV,annual,no model field mapped elsewhere,No compatible explicit NG field exists for this aggregate source category.
P5G-C0-NG-DOWN,c0_ng_steel_downstream,C0,natural_gas,steelmaking_and_rolling,9.1,NG_to_HSM_mwh;NG_to_PEFA_malerij_mwh;NG_to_PEFA_branderij_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Table 4.2 report p17 / PDF p23,PJ/y,MER configuration category,LHV,annual,each listed model field appears in one source component only,HSM and PEFA are the compatible explicit downstream consumers.
P5G-C0-NG-GEN,c0_ng_vattenfall,C0,natural_gas,Vattenfall_generators,1.9,generator_named_ng_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Tables 4.2 and 6.5 report pp17 and 69-70,PJ/y,MER configuration category,LHV,annual,each listed model field appears in one source component only,Generator NG remains distinct from process-gas fuel.
P5G-C1-NG-IRON,c1_ng_existing_ironmaking,C1,natural_gas,existing_ironmaking_and_energy,2.0,,true,unmodelled_source_component,STEEL-SC-0017,WD07 Table 6.2 report p65 / PDF p71,PJ/y,MER configuration category,LHV,annual,no model field mapped elsewhere,Aggregate includes services without a compatible model denominator.
P5G-C1-NG-DOWN,c1_ng_existing_downstream,C1,natural_gas,existing_steelmaking_and_rolling,13.1,NG_to_HSM_mwh;NG_to_PEFA_malerij_mwh;NG_to_PEFA_branderij_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Tables 6.2 and 6.5 report pp65 and 69-70,PJ/y,MER configuration category,LHV,annual,each listed model field appears in one source component only,HSM and PEFA are the compatible explicit downstream consumers.
P5G-C1-NG-GEN,c1_ng_vattenfall,C1,natural_gas,Vattenfall_generators,3.8,generator_named_ng_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Tables 6.2 and 6.5 report pp65 and 69-70,PJ/y,MER configuration category,LHV,annual,each listed model field appears in one source component only,Generator NG remains distinct from process-gas fuel.
P5G-C1-NG-DRI,c1_ng_dri,C1,natural_gas,DRI_factory,27.7,DRP_named_NG_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Tables 6.2 and 6.5 report pp65 and 69-70,PJ/y,MER configuration category,LHV,annual,each listed model field appears in one source component only,DRI total retains the 9.9 GJ per tonne LHV caveat.
P5G-C1-NG-EAF,c1_ng_eaf,C1,natural_gas,EAF,0.1,EAF_named_NG_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Tables 6.2 and 6.5 report pp65 and 69-70,PJ/y,MER configuration category,LHV,annual,each listed model field appears in one source component only,EAF named NG is production linked.
P5G-C0-EL-IRON,c0_electricity_ironmaking,C0,electricity,ironmaking,5.1,BF_electricity_mwh;KGF_electricity_mwh;BOF_electricity_mwh;PEFA_electricity_mwh;sinter_electricity_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Table 4.2 report p17 / PDF p23,PJ/y,MER configuration category,electricity,annual,each listed model field appears in one source component only,Compatible explicit ironmaking loads.
P5G-C0-EL-DOWN,c0_electricity_downstream,C0,electricity,steelmaking_and_rolling,4.5,HSM_rolling_electricity_mwh;DSP_electricity_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Table 4.2 report p17 / PDF p23,PJ/y,MER configuration category,electricity,annual,each listed model field appears in one source component only,Compatible explicit downstream loads.
P5G-C0-EL-O2,c0_electricity_oxygen,C0,electricity,oxygen_production,1.8,ASU_oxygen_electricity_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Table 4.2 report p17 / PDF p23,PJ/y,MER configuration category,electricity,annual,each listed model field appears in one source component only,Compatible explicit oxygen load.
P5G-C0-EL-BOUND,c0_electricity_boundary,C0,electricity,third_party_and_electricity_boundary,2.3,,false,boundary_remainder_ineligible,STEEL-SC-0017,WD07 Table 4.2 p17 and Table 6.6 p71,PJ/y,difference between independent MER totals,electricity,annual,no model field may map to an ineligible boundary remainder,Excluded from the baseload pool and dispatch.
P5G-C1-EL-IRON,c1_electricity_ironmaking,C1,electricity,ironmaking,5.0,BF_electricity_mwh;KGF_electricity_mwh;BOF_electricity_mwh;PEFA_electricity_mwh;sinter_electricity_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Table 6.2 report p65 / PDF p71,PJ/y,MER configuration category,electricity,annual,each listed model field appears in one source component only,Compatible explicit ironmaking loads.
P5G-C1-EL-DOWN,c1_electricity_downstream,C1,electricity,steelmaking_and_rolling,3.7,HSM_rolling_electricity_mwh;DSP_electricity_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Table 6.2 report p65 / PDF p71,PJ/y,MER configuration category,electricity,annual,each listed model field appears in one source component only,Compatible explicit downstream loads.
P5G-C1-EL-O2,c1_electricity_oxygen,C1,electricity,oxygen_production,1.2,ASU_oxygen_electricity_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Table 6.2 report p65 / PDF p71,PJ/y,MER configuration category,electricity,annual,each listed model field appears in one source component only,Compatible explicit oxygen load.
P5G-C1-EL-DRI,c1_electricity_dri,C1,electricity,DRI_factory,1.1,DRP_electricity_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Table 6.2 report p65 / PDF p71,PJ/y,MER configuration category,electricity,annual,each listed model field appears in one source component only,Confirms the 0.3 GJ per tonne DRI electricity candidate.
P5G-C1-EL-EAF,c1_electricity_eaf,C1,electricity,EAF,5.2,EAF_arc_electricity_mwh;EAF_secondary_electricity_mwh,true,direct_dynamic_overlap,STEEL-SC-0017,WD07 Table 6.2 report p65 / PDF p71,PJ/y,MER configuration category,electricity,annual,each listed model field appears in one source component only,Compatible explicit EAF loads.
P5G-C1-EL-BOUND,c1_electricity_boundary,C1,electricity,third_party_and_electricity_boundary,1.6,,false,boundary_remainder_ineligible,STEEL-SC-0017,WD07 Table 6.2 p65 and Table 6.6 p71,PJ/y,difference between independent MER totals,electricity,annual,no model field may map to an ineligible boundary remainder,Excluded from the baseload pool and dispatch.
