component_id,configuration_scope,emissions_component,driver,factor_or_proxy,unit,counted_in_current_policy,counting_method,source_or_policy_basis,evidence_tier,model_use_status,double_counting_risk,blocks_complete_direct_emissions,sensitivity_required,limitations,next_action
bfg_oxidation,C0 and C1,BFG oxidation,BFG use at process/boiler/power/flare sinks,selected WAG CO2 factor,t CO2/GJ converted from kg CO2/GJ,true,point_of_oxidation_use,s3_wag_selected_dev_inputs.csv,D/E development assumption,partial_direct_proxy_counted,low if generation remains uncounted,false,false,Counts BFG carbon once at represented use/oxidation sinks; not complete site emissions.,Retain point-of-oxidation convention.
cog_oxidation,C0 and C1,COG oxidation,COG use at process/boiler/power/flare sinks,selected WAG CO2 factor,t CO2/GJ converted from kg CO2/GJ,true,point_of_oxidation_use,s3_wag_selected_dev_inputs.csv,D/E development assumption,partial_direct_proxy_counted,low if generation remains uncounted,false,false,Counts COG carbon once at represented use/oxidation sinks; coking non-WAG emissions remain missing.,Retain point-of-oxidation convention and later add coking non-WAG process emissions.
bofg_oxidation,C0 and C1,BOFG/LDG oxidation,BOFG/LDG use at process/boiler/power/flare sinks,selected WAG CO2 factor,t CO2/GJ converted from kg CO2/GJ,true,point_of_oxidation_use,s3_wag_selected_dev_inputs.csv,D/E development assumption,partial_direct_proxy_counted,low if generation remains uncounted,false,false,Counts BOFG/LDG carbon once at represented use/oxidation sinks; not complete site emissions.,Retain point-of-oxidation convention.
wag_flare_spill,C0 and C1,WAG flare/spill oxidation,flare_spill_unused sink where present,selected WAG CO2 factors,t CO2/GJ converted from kg CO2/GJ,true,point_of_oxidation_use_if_profile_routes_to_flare,current WAG diagnostic allocation sinks,D/E development assumption,partial_direct_proxy_counted,"low; flare is a use/oxidation sink, not a generation count",false,true,Currently near zero or scenario-dependent; not validated actual flare.,Keep explicit sink and avoid interpreting zero as plant truth.
drp_direct_co2_proxy,C1 only,DRP direct CO2 proxy,drp_direct_co2_proxy profile rows,ng_drp_direct_co2_factor,t CO2/t pellets converted to t CO2/t steel proxy,true,direct_proxy_non_double_counting_policy,s3_c1_route_energy_inputs.csv,B public secondary literature derived,partial_direct_proxy_counted,high if NG combustion CO2 is also added,false,true,Selected Tier B proxy is partial and not Tata-exact; counted instead of separate DRP NG combustion CO2.,Retain sensitivity status and review before thesis-final use.
drp_ng_combustion_co2,C1 only,DRP natural-gas combustion CO2,DRP natural-gas volume,natural-gas CO2 factor,t CO2/GJ or t CO2/m3,false,not_counted_by_current_policy,non-double-counting policy,policy blocked,blocked_while_drp_direct_proxy_active,high if added to DRP direct proxy,true,true,Not physically zero; blank in results because current policy blocks additive NG combustion CO2 for DRP.,Select explicit NG combustion decomposition only as an alternative to the DRP direct proxy.
retained_bf_bof_non_wag_process,C0 and retained C1 BF/BOF,Retained BF/BOF non-WAG process emissions,BF/BOF process activity,missing,t CO2/t process output,false,missing_not_zero,not selected,not selected,blocked,material omission if complete ledger claimed,true,true,Missing material direct-emissions component blocks complete direct-emissions readiness.,Select or explicitly exclude retained BF/BOF non-WAG process emissions.
coking_non_wag_process,C0 and retained C1 coking,Coking non-WAG process emissions,coking/coke/dry-coal proxy,missing,t CO2/t coke or t CO2/t dry coal,false,missing_not_zero,not selected,not selected,blocked,material omission if complete ledger claimed,true,true,"COG oxidation is counted, but coking process emissions beyond WAG oxidation are not represented.",Select coking direct-emissions boundary or explicit exclusion policy.
downstream_reheating_emissions,C0 and C1 downstream,Downstream/reheating emissions,downstream accounting drivers,missing,t CO2/t or GJ/t plus fuel factor,false,missing_not_zero,s3_downstream_accounting_boundary_register.csv,not selected,blocked,material omission if complete ledger claimed,true,true,Downstream driver rows do not imply downstream emissions and are not hidden zeros.,Select downstream/reheating emissions coefficients or explicit exclusion policy.
electricity_scope2,C0 and C1,Electricity scope-2 emissions,proxy residual grid import or selected electricity boundary,missing,t CO2/MWh,false,factor_missing_not_counted,not selected,not selected,blocked,scope-2 must stay separate from direct emissions,false,true,No selected grid emissions factor; proxy import is reported only in MWh.,Select an explicit electricity emissions factor only if scope-2 reporting is reopened.
oxygen_asu_emissions,C0 and C1 auxiliary,Oxygen/ASU emissions,oxygen_demand_auxiliary_driver,missing,MWh/t O2 plus scope/fuel factor,false,missing_not_zero,s3_downstream_accounting_boundary_register.csv,not selected,blocked,material auxiliary omission if complete ledger claimed,true,true,Oxygen/ASU driver exists without electricity or emissions coefficients.,Select ASU/oxygen electricity and emissions boundary.
residual_site_emissions,C0 and C1 site boundary,Residual site emissions boundary,residual site processes and utilities,missing,various,false,missing_not_zero,S3.0d plant-boundary gate,policy not selected,blocked,material omission if complete ledger claimed,true,true,Residual direct-emissions components are not closed.,Review residual site emissions boundary.
gross_ets_cost_basis,C0 and C1 economics,Gross ETS cost basis,eligible direct CO2 under future complete policy,missing CO2 price and complete emissions boundary,EUR/t CO2,false,blocked_no_monetary_result,S3.0e economic-accounting policy,policy not selected,blocked,ETS cost cannot be calculated from partial proxy,true,true,Gross ETS cost remains blocked; free allocation out of scope.,Close complete emissions policy before ETS price or gross cost result.
